voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Carrière;DE LA CARRIERE;CARRIERE;164244639
CHEMIN;Chemin de la Messe;DE LA MESSE;MESSE;164068973,589630113
CHEMIN;Chemin des Anglais;DES ANGLAIS;ANGLAIS;164250154
CHEMIN;Chemin du Bas des Roches;DU BAS DES ROCHES;ROCHES;164068975
CHEMIN;Chemin du Château d'Eau;DU CHATEAU D EAU;EAU;164068976
CHEMIN;Chemin du Côteau Paillot;DU COTEAU PAILLOT;PAILLOT;164244640
GRANDE RUE;Grande Rue;;EAU;164068979
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;164250156
ROUTE;Route de Sombernon;DE SOMBERNON;SOMBERNON;157737302,164244643
ROUTE;Route de la Casquette;DE LA CASQUETTE;CASQUETTE;164244644,164244645,361792272
RUE;Rue Carnot;CARNOT;MARE;666716368
RUE;Rue Champ Rond;CHAMP ROND;ROND;164250157
RUE;Rue Jacotin;JACOTIN;ROND;164250158
RUE;Rue Niquet;NIQUET;CASQUETTE;164244646
RUE;Rue Saint-Antoine;SAINT ANTOINE;ANTOINE;164244647
RUE;Rue Saint-Éloi;SAINT ELOI;ELOI;505853195
RUE;Rue Traversière;TRAVERSIERE;ROND;164250159
RUE;Rue au-devant de la Roche;AU DEVANT DE LA ROCHE;ROCHE;164244648
RUE;Rue de Bordes-Bricard;DE BORDES BRICARD;BRICARD;164250160,164250161
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;164250162,666716336,666716348
RUE;Rue de l'École;DE L ECOLE;ECOLE;164069468
RUE;Rue de l'Église;DE L EGLISE;EGLISE;164250163
RUE;Rue de la Casquette;DE LA CASQUETTE;CASQUETTE;164068981
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;164244649
RUE;Rue de la Combre Mulion;DE LA COMBRE MULION;MULION;164250164
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;164250165,164250166,164250167
RUE;Rue de la Fontaine Saint-Martin;DE LA FONTAINE SAINT MARTIN;MARTIN;164250168
RUE;Rue de la Marche à la Tour;DE LA MARCHE A LA TOUR;TOUR;164250169
RUE;Rue de la Mare;DE LA MARE;MARE;505853197
RUE;Rue des Chenevières;DES CHENEVIERES;CHENEVIERES;164068984
RUE;Rue des Herbues;DES HERBUES;HERBUES;164250170
RUE;Rue des Roches;DES ROCHES;ROCHES;164244650
RUE;Rue des Tisserands;DES TISSERANDS;TISSERANDS;164250171
RUE;Rue du Castel;DU CASTEL;CASTEL;164250172,164250173
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;164068985
RUE;Rue du Clos du Crais;DU CLOS DU CRAIS;CRAIS;164250174
RUE;Rue du Crais;DU CRAIS;CRAIS;164250175
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;53047835
RUE;Rue du Moulin à Vent;DU MOULIN A VENT;VENT;164250176
RUE;Rue du Patis;DU PATIS;PATIS;505853196
