voie;name;name_norm;last_word_norm;ways
AIRE;Aire de Genetoy;DE GENETOY;GENETOY;569338630
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;54225287,94651705,94651793,173380566,173380567,173380568
CHEMIN;Chemin de la Barre;DE LA BARRE;BARRE;173380580
PLACE;Place de la Bard;DE LA BARD;BARD;589534240
PLACE;Place de la Poste;DE LA POSTE;POSTE;550968334
PLACE;Place de la Tournelle;DE LA TOURNELLE;TOURNELLE;589528283
PLACE;Place des Fauvettes;DES FAUVETTES;FAUVETTES;589534239
PLACE;Place du Petit Pont;DU PETIT PONT;PONT;236866436
RUE;Rue Dame Toinette;DAME TOINETTE;TOINETTE;287880685
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;287880686
RUE;Rue de la Maison Commune;DE LA MAISON COMMUNE;COMMUNE;236866429
RUE;Rue de la Miraine;DE LA MIRAINE;MIRAINE;173380583,173380624,173380636
RUE;Rue de la Tournelle;DE LA TOURNELLE;TOURNELLE;287880407
RUE;Rue de la Varenne;DE LA VARENNE;VARENNE;173380589
RUE;Rue des Alouettes;DES ALOUETTES;ALOUETTES;236866427
RUE;Rue des Fauvettes;DES FAUVETTES;FAUVETTES;236866409
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;236866442
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;287880254
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;173380584
RUE;Rue du Champ Merle;DU CHAMP MERLE;MERLE;236866438,287880339
RUE;Rue du Foulon;DU FOULON;FOULON;236866400
RUE;Rue du Moulin de la Varenne;DU MOULIN DE LA VARENNE;VARENNE;287880157
RUE;Rue du Pré Martin;DU PRE MARTIN;MARTIN;173380616,173380623
RUE;Rue du Sorbonnais;DU SORBONNAIS;SORBONNAIS;173380588
RUE;Rue du Teurreau;DU TEURREAU;TEURREAU;287879951
