voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Jean Louis Collin;JEAN LOUIS COLLIN;COLLIN;372448919
ALLEE;Allée Jean Moulin;JEAN MOULIN;MOULIN;96277144,424840937,424840938
ALLEE;Allée Xavier Grall;XAVIER GRALL;GRALL;425431295
ALLEE;Allée d'Aquitaine;D AQUITAINE;AQUITAINE;296859299
ALLEE;Allée de Picardie;DE PICARDIE;PICARDIE;296859321
ALLEE;Allée de Provence;DE PROVENCE;PROVENCE;296859322
ALLEE;Allée des Albatros;DES ALBATROS;ALBATROS;96277213
ALLEE;Allée des Bernaches;DES BERNACHES;BERNACHES;247798673
ALLEE;Allée des Cormorans;DES CORMORANS;CORMORANS;247798680
ALLEE;Allée des Goélands;DES GOELANDS;GOELANDS;247798683,433177072
ALLEE;Allée des Macareux;DES MACAREUX;MACAREUX;247798675
ALLEE;Allée des Sternes;DES STERNES;STERNES;372448934
ALLEE;Allée des Violettes;DES VIOLETTES;VIOLETTES;296859284,296859307
ALLEE;Allée des Écoliers;DES ECOLIERS;ECOLIERS;425075888
ALLEE;Allée du Clos Pilé;DU CLOS PILE;PILE;425075885
ALLEE;Allée du Fou de Bassan;DU FOU DE BASSAN;BASSAN;96277167
;Bembridge;BEMBRIDGE;MORIN;296859273
CHEMIN;Chemin de la Touche Jéguée;DE LA TOUCHE JEGUEE;JEGUEE;96284825,530287435,530287437
CHEMIN;Chemin des Aulnaies;DES AULNAIES;AULNAIES;96603143
CITE;Cité des Jardins;DES JARDINS;JARDINS;424840934
IMPASSE;Impasse Fulgence Bienvenue;FULGENCE BIENVENUE;BIENVENUE;296863215
IMPASSE;Impasse Jean Louis Collin;JEAN LOUIS COLLIN;COLLIN;372448923
IMPASSE;Impasse Saint-Jean;SAINT JEAN;JEAN;296859315
IMPASSE;Impasse Thomine;THOMINE;PILE;425075886
IMPASSE;Impasse d'Artois;D ARTOIS;ARTOIS;296859324
IMPASSE;Impasse de la Commune;DE LA COMMUNE;COMMUNE;296859311,424854756
IMPASSE;Impasse de la Jaunaie;DE LA JAUNAIE;JAUNAIE;96277194
IMPASSE;Impasse de la Ville Orin;DE LA VILLE ORIN;ORIN;296866959
IMPASSE;Impasse de la Villette;DE LA VILLETTE;VILLETTE;296863127
IMPASSE;Impasse des Ajoncs d'Or;DES AJONCS D OR;OR;296859302
IMPASSE;Impasse des Champs;DES CHAMPS;CHAMPS;296859334
IMPASSE;Impasse des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;96277212
IMPASSE;Impasse des Closiaux;DES CLOSIAUX;CLOSIAUX;296867724
IMPASSE;Impasse des Flandres;DES FLANDRES;FLANDRES;296859288
IMPASSE;Impasse des Noisetiers;DES NOISETIERS;NOISETIERS;296859285
IMPASSE;Impasse des Portes Rouges;DES PORTES ROUGES;ROUGES;424854760
IMPASSE;Impasse des Roses;DES ROSES;ROSES;96277143
IMPASSE;Impasse des Saules;DES SAULES;SAULES;96277203
IMPASSE;Impasse du Clos Pilé;DU CLOS PILE;PILE;219544176,219544182
IMPASSE;Impasse du Haras;DU HARAS;HARAS;296859326
IMPASSE;Impasse du Lavoir de Jaunette;DU LAVOIR DE JAUNETTE;JAUNETTE;296867629,296867630
IMPASSE;Impasse du Val;DU VAL;VAL;217529043
;La Croix Péran;LA CROIX PERAN;PERAN;272371210
;La Ville Poyen;LA VILLE POYEN;POYEN;303599716
PLACE;Place Julien Tanguy;JULIEN TANGUY;TANGUY;219685464
PLACE;Place de la Belle Issue;DE LA BELLE ISSUE;ISSUE;96277231
ROUTE;Route de Moncontour;DE MONCONTOUR;MONCONTOUR;425432976,426201266
ROUTE;Route de la Saudraie;DE LA SAUDRAIE;SAUDRAIE;296861929
ROUTE;Route du Bois de Plédran;DU BOIS DE PLEDRAN;PLEDRAN;426201272
RUE;Rue Alain Colas;ALAIN COLAS;COLAS;424840928
RUE;Rue Anatole Le Braz;ANATOLE LE BRAZ;BRAZ;425431279
RUE;Rue Anjela Duval;ANJELA DUVAL;DUVAL;425431280
RUE;Rue Antoine Mazier;ANTOINE MAZIER;MAZIER;217518207
RUE;Rue Bernard Moitessier;BERNARD MOITESSIER;MOITESSIER;425075890
RUE;Rue Charles de Gaulle;CHARLES DE GAULLE;GAULLE;258295388
RUE;Rue Du 8 Mai 1945;DU 8 MAI 1945;1945;372448941
RUE;Rue Fulgence Bienvenue;FULGENCE BIENVENUE;BIENVENUE;296863214,296863216,296863217
RUE;Rue Georges Palante;GEORGES PALANTE;PALANTE;96284814
RUE;Rue Jacques Duclos;JACQUES DUCLOS;DUCLOS;217422738
RUE;Rue Jacques Prévert;JACQUES PREVERT;PREVERT;217429490,219666930
RUE;Rue Jean Guehenno;JEAN GUEHENNO;GUEHENNO;96284807
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;96277230
RUE;Rue Jean Louis Collin;JEAN LOUIS COLLIN;COLLIN;372448927
RUE;Rue Joseph Hervé;JOSEPH HERVE;HERVE;96277172
RUE;Rue Louis Guilloux;LOUIS GUILLOUX;GUILLOUX;96284900
RUE;Rue Marcel Paul;MARCEL PAUL;PAUL;218704987
RUE;Rue Morvan Lebesque;MORVAN LEBESQUE;LEBESQUE;96284909
RUE;Rue Paul Féval;PAUL FEVAL;FEVAL;96284861
RUE;Rue Paul Vatine;PAUL VATINE;VATINE;433184275
RUE;Rue Per-Jakez Helias;PER JAKEZ HELIAS;HELIAS;425431294
RUE;Rue Roger Vercel;ROGER VERCEL;VERCEL;96284882
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;96284902
RUE;Rue Saint-Maurice;SAINT MAURICE;MAURICE;96277150
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;217483563
