voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Mare;DE LA MARE;MARE;425020854
;La Ruelle;LA RUELLE;RUELLE;412782548
;La Venelle;LA VENELLE;VENELLE;252824182
RUE;Rue Croix Chemin;CROIX CHEMIN;CHEMIN;425020855
RUE;Rue Croix Pinaud;CROIX PINAUD;PINAUD;30620588
RUE;Rue Saint-Fiacre;SAINT FIACRE;FIACRE;412782547
RUE;Rue Saint-Méloir;SAINT MELOIR;MELOIR;31979360
RUE;Rue Tainguy;TAINGUY;MORINAIS;425020849
RUE;Rue d'Hallory;D HALLORY;HALLORY;252824188
RUE;Rue de Launay;DE LAUNAY;LAUNAY;425020843
RUE;Rue de Rodo;DE RODO;RODO;412782557,429167619,429167630,530654208
RUE;Rue de Turquant;DE TURQUANT;TURQUANT;252824181
RUE;Rue de l'Épine;DE L EPINE;EPINE;412782555
RUE;Rue de la Bonnette;DE LA BONNETTE;BONNETTE;98859223
RUE;Rue de la Chambre;DE LA CHAMBRE;CHAMBRE;97538605
RUE;Rue de la Lande;DE LA LANDE;LANDE;425020844
RUE;Rue de la Mare;DE LA MARE;MARE;412782553
RUE;Rue de la Vallée;DE LA VALLEE;VALLEE;252824189
RUE;Rue de la Ville Andrieux;DE LA VILLE ANDRIEUX;ANDRIEUX;98710002
RUE;Rue de la Ville Basse;DE LA VILLE BASSE;BASSE;98859232
RUE;Rue de la Ville Prigent;DE LA VILLE PRIGENT;PRIGENT;425020847
RUE;Rue de la Ville Sotte;DE LA VILLE SOTTE;SOTTE;425020842
RUE;Rue des Champs Morinais;DES CHAMPS MORINAIS;MORINAIS;425020848
RUE;Rue des Rochettes;DES ROCHETTES;ROCHETTES;31979361
RUE;Rue des Sept Fontaines;DES SEPT FONTAINES;FONTAINES;98859208
RUE;Rue des Terres Noires;DES TERRES NOIRES;NOIRES;425020856
RUE;Rue du Goélo;DU GOELO;GOELO;318422979,530595521
RUE;Rue du Grand Chemin;DU GRAND CHEMIN;CHEMIN;273692368
RUE;Rue du Gué;DU GUE;GUE;273692366
RUE;Rue du Martray;DU MARTRAY;MARTRAY;252824185
RUE;Rue du Puits Thomas;DU PUITS THOMAS;THOMAS;404427480,531740726
RUE;Rue du Terray;DU TERRAY;TERRAY;412782549
RUE;Rue du Trégor;DU TREGOR;TREGOR;412782554
;Sous la Ville;SOUS LA VILLE;VILLE;98859206
