voie;name;name_norm;last_word_norm;ways
;Chaumes de la Planche;CHAUMES DE LA PLANCHE;PLANCHE;132852771,410587945
CHEMIN;Chemin Des Contoures;DES CONTOURES;CONTOURES;131944800
CHEMIN RURAL;Chemin Rural Dit Des Rivailles;DIT DES RIVAILLES;RIVAILLES;204262753
CHEMIN RURAL;Chemin Rural Saint-Léonard de Noblat - Grand Vaud;SAINT LEONARD DE NOBLAT   GRAND VAUD;VAUD;332817618
CHEMIN RURAL;Chemin Rural d'Alesme à Saint-Priest;D ALESME A SAINT PRIEST;PRIEST;410550846
CHEMIN RURAL;Chemin Rural d'Alesmes - Saint-Priest;D ALESMES   SAINT PRIEST;PRIEST;410587946
CHEMIN;Chemin des Contoures;DES CONTOURES;CONTOURES;258068034
CHEMIN;Chemin du Saint-Léronard De Noblad-Du Grand Vaud;DU SAINT LERONARD DE NOBLAD DU GRAND VAUD;VAUD;204262777
CHEMIN RURAL;Chemin rural de Dourdannes;DE DOURDANNES;DOURDANNES;410541166
CHEMIN RURAL;Chemin rural de Saint-Priest - Palus;DE SAINT PRIEST   PALUS;PALUS;274489048
CHEMIN RURAL;Chemin rural de Sauviat;DE SAUVIAT;SAUVIAT;209052661
CHEMIN RURAL;Chemin rural du Gourgeatou;DU GOURGEATOU;GOURGEATOU;410541170
CHEMIN RURAL;Chemin rural du Petit Cheissoux;DU PETIT CHEISSOUX;CHEISSOUX;209054720
CHEMIN RURAL;Chemin rural du Peyrat;DU PEYRAT;PEYRAT;410541174
;Communale De Sauviat a Dourdannes;COMMUNALE DE SAUVIAT A DOURDANNES;DOURDANNES;410541177
ROUTE;Route de la Font Rabillou;DE LA FONT RABILLOU;RABILLOU;259067833
ROUTE;Route des Pelades;DES PELADES;PELADES;132852756
;Saint-Moreil par Baconnaille;SAINT MOREIL PAR BACONNAILLE;BACONNAILLE;316010092
VOIE COMMUNALE;Voie Communale de Dourdannes à Rousset;DE DOURDANNES A ROUSSET;ROUSSET;132852772
VOIE COMMUNALE;Voie Communale des Combes;DES COMBES;COMBES;131944801
VOIE COMMUNALE;Voie Communale des Payauds;DES PAYAUDS;PAYAUDS;132852759
VOIE COMMUNALE;Voie Communale du Cimetière;DU CIMETIERE;CIMETIERE;131429564,131944807
VOIE COMMUNALE;Voie Communale du Menudier;DU MENUDIER;MENUDIER;131944796,204180080,410541179
