voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Gouttes;DES GOUTTES;GOUTTES;178825473
CHEMIN;Chemin Langladure;LANGLADURE;LANGLADURE;131625525
CHEMIN;Chemin des Arces;DES ARCES;ARCES;178825478
CHEMIN;Chemin du Lavoir;DU LAVOIR;LAVOIR;319291223
CHEMIN;Chemin du Moulin Gasne du Clos;DU MOULIN GASNE DU CLOS;CLOS;369921216,411095921
CHEMIN;Chemin du Puy Limoges;DU PUY LIMOGES;LIMOGES;192743105
ROUTE;Route de la Chapelle;DE LA CHAPELLE;CHAPELLE;192742577
ROUTE;Route de la Régeasse;DE LA REGEASSE;REGEASSE;376070066
ROUTE;Route de la Souterraine;DE LA SOUTERRAINE;SOUTERRAINE;319291219,618768743
ROUTE;Route du Montalescot;DU MONTALESCOT;MONTALESCOT;178825476
ROUTE;Route du Puy Soulier;DU PUY SOULIER;SOULIER;319291221
RUE;Rue de Montignat;DE MONTIGNAT;MONTIGNAT;178825474
RUE;Rue des Coutures;DES COUTURES;COUTURES;178825468
RUE;Rue du Bois de la Font;DU BOIS DE LA FONT;FONT;178825477
RUE;Rue du Tamilier;DU TAMILIER;TAMILIER;201442060
