voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Benjamin Bord;BENJAMIN BORD;BORD;47121641,321095257
AVENUE;Avenue Charles de Gaulle;CHARLES DE GAULLE;GAULLE;375372366
;Beauvais;BEAUVAIS;PECHER;124078138
;Bramant;BRAMANT;PERELLE;124081092
CHEMIN;Chemin de la Jardreix;DE LA JARDREIX;JARDREIX;144251212
CHEMIN;Chemin de la Jardreix Chambourtre;DE LA JARDREIX CHAMBOURTRE;CHAMBOURTRE;144251209
;La Pérelle;LA PERELLE;PERELLE;124081084,124081095
;Le Mont;LE MONT;MONT;124081081
;Le Pécher;LE PECHER;PECHER;124078132
;Les Coutures;LES COUTURES;COUTURES;144245187
PLACE;Place de l'Église Saint-Paul;DE L EGLISE SAINT PAUL;PAUL;124078125
ROUTE;Route d'Aigurande;D AIGURANDE;AIGURANDE;123739850
ROUTE;Route de Villard;DE VILLARD;VILLARD;123617478
RUE;Rue de l'École;DE L ECOLE;ECOLE;124078128
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;123620542
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;124078112
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;123620548,124078126
RUE;Rue du Pré Charraud;DU PRE CHARRAUD;CHARRAUD;124078116
;Vitrat;VITRAT;PERELLE;124081086
