voie;name;name_norm;last_word_norm;ways
ANCIENNE ROUTE;Ancienne Route de Château-l'Evêque;DE CHATEAU L EVEQUE;EVEQUE;164430105
CHEMIN;Chemin de Boschaud;DE BOSCHAUD;BOSCHAUD;62941316
CHEMIN;Chemin de Boulanger;DE BOULANGER;BOULANGER;62941318
CHEMIN;Chemin de Chantelaube;DE CHANTELAUBE;CHANTELAUBE;317993774
CHEMIN;Chemin de Coularède;DE COULAREDE;COULAREDE;551499339
CHEMIN;Chemin de Maison Carrée;DE MAISON CARREE;CARREE;248111316
CHEMIN;Chemin de Rivière;DE RIVIERE;RIVIERE;386877849
CHEMIN;Chemin de la Borderie;DE LA BORDERIE;BORDERIE;62126608,309936040
CHEMIN;Chemin de la Monnerie;DE LA MONNERIE;MONNERIE;62915809,62915812
;Grange de Crolus;GRANGE DE CROLUS;CROLUS;62778489
IMPASSE;Impasse de la Feuillarde;DE LA FEUILLARDE;FEUILLARDE;551498477
IMPASSE;Impasse de la Grave;DE LA GRAVE;GRAVE;62220110
IMPASSE;Impasse du Mesplier;DU MESPLIER;MESPLIER;62220120,385684826
;La Grange du Godet;LA GRANGE DU GODET;GODET;62129054
;Les Armagnacs;LES ARMAGNACS;ARMAGNACS;62220118
PLACE;Place des Armagnacs;DES ARMAGNACS;ARMAGNACS;530656217
ROUTE;Route d'Agonac;D AGONAC;AGONAC;62126607,63749167
ROUTE;Route d'Angoulême;D ANGOULEME;ANGOULEME;454925577
ROUTE;Route de Boschaud;DE BOSCHAUD;BOSCHAUD;62778486
ROUTE;Route de Preyssac;DE PREYSSAC;PREYSSAC;63105208
ROUTE;Route des Colys;DES COLYS;COLYS;385540849
ROUTE;Route du Godet;DU GODET;GODET;61978141,61978145,63738378
ROUTE;Route du Royer;DU ROYER;ROYER;61978135,61978143,63738379
RUE;Rue Adhémar de Neufville;ADHEMAR DE NEUFVILLE;NEUFVILLE;64096223
RUE;Rue Antoine Veyssière;ANTOINE VEYSSIERE;VEYSSIERE;274483942
RUE;Rue Dau Relu;DAU RELU;RELU;64096241
RUE;Rue Faurichon Mesplier;FAURICHON MESPLIER;MESPLIER;274484843
RUE;Rue Gabriel Arbouin;GABRIEL ARBOUIN;ARBOUIN;274484742
RUE;Rue Louis Guichard;LOUIS GUICHARD;GUICHARD;274484740
RUE;Rue Rachilde;RACHILDE;RACHILDE;64096234,64096236
RUE;Rue Soeur Jean Gabriel;SOEUR JEAN GABRIEL;GABRIEL;64096233
RUE;Rue d'Agonat;D AGONAT;AGONAT;134552507
RUE;Rue d'Angoulême;D ANGOULEME;ANGOULEME;62220119,63121197,63131891,63131969,64096224,64096228,224608646,224608647,224608648
RUE;Rue de l'Artisanat;DE L ARTISANAT;ARTISANAT;62129055
RUE;Rue de la Roseraie;DE LA ROSERAIE;ROSERAIE;366475821
RUE;Rue des Armagnacs;DES ARMAGNACS;ARMAGNACS;62778488
RUE;Rue des Sabotiers;DES SABOTIERS;SABOTIERS;64096231
RUE;Rue des Sports;DES SPORTS;SPORTS;62778485,62778487
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;62220248
RUE;Rue du Château;DU CHATEAU;CHATEAU;64096237,366475815
RUE;Rue du Couvent;DU COUVENT;COUVENT;385684825
RUE;Rue Élie Sauvinet;ELIE SAUVINET;SAUVINET;274484741
VOIE COMMUNALE;Voie Communale de Preyssac à la Monzie;DE PREYSSAC A LA MONZIE;MONZIE;63971765,63971770,63971774,63971778,63971780
