voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Bourgogne;DE BOURGOGNE;BOURGOGNE;100053925
ALLEE;Allée de Normandie;DE NORMANDIE;NORMANDIE;100183974
ALLEE;Allée de la Filature;DE LA FILATURE;FILATURE;100320470
ALLEE;Allée du Chêne;DU CHENE;CHENE;97868834,100199035
AVENUE;Avenue Aristide Briand;ARISTIDE BRIAND;BRIAND;30397832
AVENUE;Avenue Jean Jaurès;JEAN JAURES;JAURES;99901446
AVENUE;Avenue Joëssel;JOESSEL;BOURGOGNE;100053927
AVENUE;Avenue de l'Europe;DE L EUROPE;EUROPE;9398791,9402762,9405075,30640276,30640286,30640317
AVENUE;Avenue de la Gare;DE LA GARE;GARE;99901477,99901589,264027225,264027226
AVENUE;Avenue de la Révolution 1789;DE LA REVOLUTION 1789;1789;30394748,30395993
AVENUE;Avenue de la Révolution de 1789;DE LA REVOLUTION DE 1789;1789;30451265,30451326,219664227,264027227,572083194
AVENUE;Avenue du 8 Mai 1945;DU 8 MAI 1945;1945;100320464,588810212,588810213
AVENUE;Avenue du Maréchal Foch;DU MARECHAL FOCH;FOCH;100053952,100183958,100183964,100183970
BOULEVARD;Boulevard Moise Foglia;MOISE FOGLIA;FOGLIA;99901481,99901506,99901536,99901563,99901565,99901637,591811989
CHEMIN;Chemin d'Audincourt;D AUDINCOURT;AUDINCOURT;100343622
CHEMIN;Chemin de la;DE LA;LA;97868836,97868877,264027245,535330968
CHEMIN;Chemin de la Baume;DE LA BAUME;BAUME;98642720,178066736
CITE;Cités Keller;S KELLER;KELLER;100055128,100055131,100055132,100055141
GRANDE RUE;Grande Rue;;PASTEUR;30397731,39491564,99901494,99901568,99901640,100199034,100320447,100320448,100320478,264027228,264027229
IMPASSE;Impasse Grisey;GRISEY;MAIRIE;99901671
IMPASSE;Impasse Pierre Rizzi;PIERRE RIZZI;RIZZI;98760999
IMPASSE;Impasse de Bondeval;DE BONDEVAL;BONDEVAL;100343660
IMPASSE;Impasse de la Combe de Dasle;DE LA COMBE DE DASLE;DASLE;485592243,560520768
IMPASSE;Impasse de la Mairie;DE LA MAIRIE;MAIRIE;99901663,99901675,132760181
IMPASSE;Impasse de la Tuilerie;DE LA TUILERIE;TUILERIE;100320460,212343554
IMPASSE;Impasse des Arbletiers;DES ARBLETIERS;ARBLETIERS;100199042
IMPASSE;Impasse des Marais;DES MARAIS;MARAIS;536718879
IMPASSE;Impasse des Peupliers;DES PEUPLIERS;PEUPLIERS;99901656
IMPASSE;Impasse des Taillis;DES TAILLIS;TAILLIS;98761180,100320443,100320461
IMPASSE;Impasse du Bois Nouveau;DU BOIS NOUVEAU;NOUVEAU;100199041
IMPASSE;Impasse du Clôtre;DU CLOTRE;CLOTRE;98642730
IMPASSE;Impasse du Montanot;DU MONTANOT;MONTANOT;100053935
IMPASSE;Impasse du Ruisseau;DU RUISSEAU;RUISSEAU;100053956
PLACE;Place de Provence;DE PROVENCE;PROVENCE;100053938
PLACE;Place de la Citoyenneté;DE LA CITOYENNETE;CITOYENNETE;100055138
PLACE;Place des Forges;DES FORGES;FORGES;100053915
PLACE;Place du 19 Mars 1962;DU 19 MARS 1962;1962;98657298
PLACE;Place du Temple;DU TEMPLE;TEMPLE;100199036
PONT;Pont François Mitterrand;FRANCOIS MITTERRAND;MITTERRAND;264139345
RUE;Rue Aimé Césaire;AIME CESAIRE;CESAIRE;213430170
RUE;Rue Albert Parrot;ALBERT PARROT;PARROT;99901537,99901669,153437809,264027230
RUE;Rue Camille Steib;CAMILLE STEIB;STEIB;100183952,100183955,100183961
