voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin aux Tourbières de Vessieu;AUX TOURBIERES DE VESSIEU;VESSIEU;32897890
CHEMIN;Chemin de Matandelle;DE MATANDELLE;MATANDELLE;32898081,248005217
CHEMIN;Chemin des Roseaux;DES ROSEAUX;ROSEAUX;32897882
GRANDE RUE;Grande Rue;;CHAMPAGNE;32897095,32897098,155016352,612597099
;La Belle Vie;LA BELLE VIE;VIE;28922346,29024856
ROUTE;Route du Stade;DU STADE;STADE;29999898,32542873
RUE;Rue Champ Brenin;CHAMP BRENIN;BRENIN;32897096,398980650
RUE;Rue Champs Toine;CHAMPS TOINE;TOINE;32897104
RUE;Rue Nationale;NATIONALE;MATANDELLE;32900899
RUE;Rue de Traverse;DE TRAVERSE;TRAVERSE;32897559
RUE;Rue de l'Aérodrome;DE L AERODROME;AERODROME;30441003
RUE;Rue de l'Illion;DE L ILLION;ILLION;29999891
RUE;Rue de la Champagne;DE LA CHAMPAGNE;CHAMPAGNE;32897093,32897100,32897101
RUE;Rue de la Croix Pariot;DE LA CROIX PARIOT;PARIOT;32897549
RUE;Rue de la Dame Verte;DE LA DAME VERTE;VERTE;32897554
RUE;Rue de la Grande Oie;DE LA GRANDE OIE;OIE;29024854
RUE;Rue de la Grange;DE LA GRANGE;GRANGE;32897556
RUE;Rue de la Tourbière;DE LA TOURBIERE;TOURBIERE;32897563
RUE;Rue des Aigaces;DES AIGACES;AIGACES;32897555
RUE;Rue des Champs Jolis;DES CHAMPS JOLIS;JOLIS;32897090
RUE;Rue des Courlis;DES COURLIS;COURLIS;32897565
RUE;Rue des Frênes;DES FRENES;FRENES;32897883
RUE;Rue des Iris;DES IRIS;IRIS;32897886
RUE;Rue des Moutures;DES MOUTURES;MOUTURES;32897889
RUE;Rue des Primevères;DES PRIMEVERES;PRIMEVERES;32897552
RUE;Rue du Gros Murger;DU GROS MURGER;MURGER;32897548
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;32897089
RUE;Rue du Muguet;DU MUGUET;MUGUET;32897560
RUE;Rue du Petit Sentier;DU PETIT SENTIER;SENTIER;32897880
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;32897566,32897885
