voie;name;name_norm;last_word_norm;ways
GRANDE RUE;Grande Rue;;LAJOUX;525715763
IMPASSE;Impasse des Vernois;DES VERNOIS;VERNOIS;501071625
ROUTE;Route d'Orsans;D ORSANS;ORSANS;460076563
ROUTE;Route de Landresse;DE LANDRESSE;LANDRESSE;517425792
RUE;Rue Clos Lajoux;CLOS LAJOUX;LAJOUX;525715762
RUE;Rue Les Faubourgs;LES FAUBOURGS;FAUBOURGS;209317884
RUE;Rue Les Prés de la Vie;LES PRES DE LA VIE;VIE;525715758
RUE;Rue de la Bascule;DE LA BASCULE;BASCULE;209317881
RUE;Rue de la Côte;DE LA COTE;COTE;525715759
RUE;Rue de la Petite Côte;DE LA PETITE COTE;COTE;102572946
RUE;Rue des Cheminées;DES CHEMINEES;CHEMINEES;525715761
RUE;Rue des Goulottes;DES GOULOTTES;GOULOTTES;209317882
RUE;Rue des Sources;DES SOURCES;SOURCES;500687860
