voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Beveau;DE BEVEAU;BEVEAU;224367908
CHEMIN;Chemin de Preferrue;DE PREFERRUE;PREFERRUE;506249105
CHEMIN;Chemin de Rougeolle;DE ROUGEOLLE;ROUGEOLLE;92663313
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;485960588
CHEMIN;Chemin de la Mousse;DE LA MOUSSE;MOUSSE;485960587
CHEMIN;Chemin des Rappes;DES RAPPES;RAPPES;92663272
CHEMIN;Chemin du Croto;DU CROTO;CROTO;224367909
CHEMIN;Chemin du Salou;DU SALOU;SALOU;161852844
PLACE;Place du Breuil;DU BREUIL;BREUIL;485960589
PLACE;Place du Chalet;DU CHALET;CHALET;485960590
RUE;Rue de Crovey;DE CROVEY;CROVEY;485960592
RUE;Rue de Grandes Fosses;DE GRANDES FOSSES;FOSSES;92663240
RUE;Rue de Lavernay;DE LAVERNAY;LAVERNAY;517762943
RUE;Rue de Marnay;DE MARNAY;MARNAY;283859572
RUE;Rue de Prêle;DE PRELE;PRELE;224364385
RUE;Rue de Saint-Vit;DE SAINT VIT;VIT;283859574
RUE;Rue de l'Église;DE L EGLISE;EGLISE;56743174
RUE;Rue de la Ceriseraie;DE LA CERISERAIE;CERISERAIE;56743167
RUE;Rue de la Fontenelle;DE LA FONTENELLE;FONTENELLE;221977017
RUE;Rue des Charmilles;DES CHARMILLES;CHARMILLES;485960586
RUE;Rue des Vergers de Bouto;DES VERGERS DE BOUTO;BOUTO;224367906,224367907
RUE;Rue du Bochet;DU BOCHET;BOCHET;283859569
