voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Cartannaz;DE CARTANNAZ;CARTANNAZ;425281216,425281217,425281218
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;413943501,413943502,413943503
ALLEE;Allée des Cerisiers;DES CERISIERS;CERISIERS;424908883
ALLEE;Allée des Grillons;DES GRILLONS;GRILLONS;173151470
ALLEE;Allée des Merisiers;DES MERISIERS;MERISIERS;93340502
ALLEE;Allée des Noyers;DES NOYERS;NOYERS;173151476
ALLEE;Allée du Bois Fleuri;DU BOIS FLEURI;FLEURI;173151472
ALLEE;Allée du Stade;DU STADE;STADE;173151454,173151481
CHEMIN;Chemin Saint-Antoine;SAINT ANTOINE;ANTOINE;173151471
CHEMIN;Chemin de Pirey;DE PIREY;PIREY;588314294
CHEMIN;Chemin de la Chaille;DE LA CHAILLE;CHAILLE;37393508,224916869
CHEMIN;Chemin de la Naitoure;DE LA NAITOURE;NAITOURE;35545914
CHEMIN;Chemin de la Roche;DE LA ROCHE;ROCHE;173151463,424913075
CLOS;Clos du Moulin;DU MOULIN;MOULIN;173151477,173151484,173151496
;Grande Rue;GRANDE RUE;RUE;173151460,424912704
IMPASSE;Impasse des Coudriers;DES COUDRIERS;COUDRIERS;424909490
;La Comtoise;LA COMTOISE;COMTOISE;129266945,243617325,249377630,249377633
PLACE;Place du Colonel Max de Pirey;DU COLONEL MAX DE PIREY;PIREY;61130042
ROUTE;Route Saint-Martin;SAINT MARTIN;MARTIN;392692282
ROUTE;Route de Besançon;DE BESANCON;BESANCON;18962470,334688149,334688153
ROUTE;Route de Gray;DE GRAY;GRAY;16311141,23153359,57391876,71763659,334688148,501257399,501257400,501257401,588317406
ROUTE;Route de Saint-Martin;DE SAINT MARTIN;MARTIN;91277371
RUE;Rue Saint-Christophe;SAINT CHRISTOPHE;CHRISTOPHE;44742365
RUE;Rue de Beauregard;DE BEAUREGARD;BEAUREGARD;425263687
RUE;Rue de Lausanne;DE LAUSANNE;LAUSANNE;620068800
RUE;Rue de Vignole;DE VIGNOLE;VIGNOLE;173151464,380674439,424913262
RUE;Rue de l'Industrie;DE L INDUSTRIE;INDUSTRIE;334688154
RUE;Rue de l'Église;DE L EGLISE;EGLISE;380674441,425079779
RUE;Rue de la Charlotte;DE LA CHARLOTTE;CHARLOTTE;173151465,424912587,424912588
RUE;Rue de la Croix du Chêne;DE LA CROIX DU CHENE;CHENE;93340493
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;424913077
RUE;Rue de la Forêt;DE LA FORET;FORET;100869075
RUE;Rue de la Louvière;DE LA LOUVIERE;LOUVIERE;426577602,501257398
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;93340488
RUE;Rue des Charmilles;DES CHARMILLES;CHARMILLES;93340496
RUE;Rue des Coudriers;DES COUDRIERS;COUDRIERS;173151493
RUE;Rue des Cryots;DES CRYOTS;CRYOTS;173151473
RUE;Rue des Murgers;DES MURGERS;MURGERS;93340492
RUE;Rue des Noisetiers;DES NOISETIERS;NOISETIERS;93340497
RUE;Rue des Néfliers;DES NEFLIERS;NEFLIERS;424908882
RUE;Rue des Salines;DES SALINES;SALINES;145237928,458215208
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;93340504,93340511,424908881
RUE;Rue des Vignerons;DES VIGNERONS;VIGNERONS;424912586
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;424913076
RUE;Rue du Centre;DU CENTRE;CENTRE;19209778,35920803
RUE;Rue du Château;DU CHATEAU;CHATEAU;93340487,424919348
RUE;Rue du Chêne;DU CHENE;CHENE;18962469,334688156
RUE;Rue du Collège;DU COLLEGE;COLLEGE;93340506,380674434
RUE;Rue du Coteau;DU COTEAU;COTEAU;85711297,380674435
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;425100505
RUE;Rue du Mont;DU MONT;MONT;232789940
RUE;Rue du Moulin;DU MOULIN;MOULIN;35920804,173151461,424913280
RUE;Rue du Stade;DU STADE;STADE;93340499
RUE;Rue du Tillot;DU TILLOT;TILLOT;232789941,413942256
