voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Eurydice;EURYDICE;EURYDICE;114468394
AVENUE;Avenue d'Helvetie;D HELVETIE;HELVETIE;85578093,85578176,441952068
AVENUE;Avenue du Général Leclerc;DU GENERAL LECLERC;LECLERC;30454314,45237167,114577178,247742922
PROMENADE;Promenade de la Rêverie;DE LA REVERIE;REVERIE;114455602,604988841
RUE;Rue Edmond Lenne;EDMOND LENNE;LENNE;114455651
RUE;Rue Eugène Brunner;EUGENE BRUNNER;BRUNNER;114455626
RUE;Rue Frédéric Jaquet;FREDERIC JAQUET;JAQUET;114455603
RUE;Rue Georges Cuvier;GEORGES CUVIER;CUVIER;114455644
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;114455658,114455659
RUE;Rue Jules Ferry;JULES FERRY;FERRY;114455616
RUE;Rue Louis Pasteur;LOUIS PASTEUR;PASTEUR;114455605,114455655,114455663
RUE;Rue Raoul Delattre;RAOUL DELATTRE;DELATTRE;375879683
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;114455665
RUE;Rue d'Épinal;D EPINAL;EPINAL;30382078,30385229,30454205,114455648,114577175,114577176,114577179,114577865
RUE;Rue de Belfort;DE BELFORT;BELFORT;30596066,30596103,30596115,30596745,494439477
RUE;Rue de Grand Charmont;DE GRAND CHARMONT;CHARMONT;30374557,494439478
RUE;Rue de Pontarlier;DE PONTARLIER;PONTARLIER;30454272,30454277,30454392,30454420,30454428,247798085
RUE;Rue de Provence;DE PROVENCE;PROVENCE;496381998
RUE;Rue de l'Eglantine;DE L EGLANTINE;EGLANTINE;114455666
RUE;Rue de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;30385143
RUE;Rue de l'Église;DE L EGLISE;EGLISE;114455654
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;30374780
RUE;Rue de la Paix;DE LA PAIX;PAIX;114455640
RUE;Rue de la Plage;DE LA PLAGE;PLAGE;114455624
RUE;Rue de la Poste;DE LA POSTE;POSTE;114455604
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;114455615,114455667
RUE;Rue de la Victoire;DE LA VICTOIRE;VICTOIRE;114455637
RUE;Rue des Champs sous la Chaux;DES CHAMPS SOUS LA CHAUX;CHAUX;114455628,114455656
RUE;Rue des Chênes;DES CHENES;CHENES;114455627,114455636
RUE;Rue des Graviers;DES GRAVIERS;GRAVIERS;114455609
RUE;Rue des Sablières;DES SABLIERES;SABLIERES;114455617
RUE;Rue des Serres;DES SERRES;SERRES;370316910
RUE;Rue des Vergers;DES VERGERS;VERGERS;114455625,540502892
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;114455641
RUE;Rue du 14 Juillet;DU 14 JUILLET;JUILLET;114455606
RUE;Rue du Canal;DU CANAL;CANAL;114455662
RUE;Rue du Capitaine Thevenot;DU CAPITAINE THEVENOT;THEVENOT;114455657
RUE;Rue du Collège;DU COLLEGE;COLLEGE;48702872,502902648,604988838
RUE;Rue du Crépon;DU CREPON;CREPON;23874573
RUE;Rue du Fort;DU FORT;FORT;30374786
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;23874574,629046559,629046560
RUE;Rue du Stade;DU STADE;STADE;114577180,114577181
RUE;Rue sous la Chaux;SOUS LA CHAUX;CHAUX;30374553,629046564,629046567
RUE;Rue sous la Côte;SOUS LA COTE;COTE;35041689
RUE;Rue sous les Vignes;SOUS LES VIGNES;VIGNES;114455620
RESIDENCE;Résidence de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;114455645
