voie;name;name_norm;last_word_norm;ways
AIRE;Aire de la Coucourde;DE LA COUCOURDE;COUCOURDE;320086320
AIRE;Aire du Logis Neuf;DU LOGIS NEUF;NEUF;367293812
ANCIENNE ROUTE;Ancienne Route Nationale 7;NATIONALE 7;7;144640417
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;516042639,516042640,516042641,516042642,516147906,516147907,516147909,516147910,516147911,516147913,516147914,516147916,516147917
CHEMIN;Chemin des Gilles;DES GILLES;GILLES;302101431
CHEMIN;Chemin du Châlet;DU CHALET;CHALET;43232451
LOTISSEMENT;Lotissement Le Clos des Amandiers;LE CLOS DES AMANDIERS;AMANDIERS;144640408
ROUTE;Route Nationale 7;NATIONALE 7;7;62334547,62334548,62334549,182390383,182390384,182390386,222182220,222182222,605086979,605086982
RUE;Rue Royale;ROYALE;ROYALE;144640407,289205053,378356399,378356400
RUE;Rue de la Gare;DE LA GARE;GARE;289205012
RUE;Rue des Alouettes;DES ALOUETTES;ALOUETTES;378356401
RUE;Rue des Mésanges;DES MESANGES;MESANGES;144640397,378356402
