voie;name;name_norm;last_word_norm;ways
ALLEE;Allée 1 Marius Puzin;1 MARIUS PUZIN;PUZIN;4228841,57902552
ALLEE;Allée 2 Marius Puzin;2 MARIUS PUZIN;PUZIN;4228842
ALLEE;Allée 3 Marius Puzin;3 MARIUS PUZIN;PUZIN;4228843,7137406
ALLEE;Allée 4 Marius Puzin;4 MARIUS PUZIN;PUZIN;4228844
ALLEE;Allée A du Belvédère;A DU BELVEDERE;BELVEDERE;6602465
ALLEE;Allée André Bouloche;ANDRE BOULOCHE;BOULOCHE;4238137
ALLEE;Allée Antoine Laurent de Lavoisier;ANTOINE LAURENT DE LAVOISIER;LAVOISIER;84622475,84622548,466647405,466647408,466647411,466647414
ALLEE;Allée Auguste Renoir;AUGUSTE RENOIR;RENOIR;4238129,472384270
ALLEE;Allée B du Belvédère;B DU BELVEDERE;BELVEDERE;6602469
ALLEE;Allée Beaumarchais;BEAUMARCHAIS;BELVEDERE;143702474
ALLEE;Allée Charles Perrault;CHARLES PERRAULT;PERRAULT;22584096,148076932
ALLEE;Allée Docteur Bonnet;DOCTEUR BONNET;BONNET;25207370
ALLEE;Allée Edouard Branly;EDOUARD BRANLY;BRANLY;22562926,84622458,84622578
ALLEE;Allée Georges Brassens;GEORGES BRASSENS;BRASSENS;7383983,48650024
ALLEE;Allée Guynemer;GUYNEMER;BLERIOT;4817026
ALLEE;Allée Jacques Brel;JACQUES BREL;BREL;4244514
ALLEE;Allée La Palombière;LA PALOMBIERE;PALOMBIERE;472384113
ALLEE;Allée Oscar Romero;OSCAR ROMERO;ROMERO;22584100,22584103
ALLEE;Allée Pascal;PASCAL;BUISSONNETS;7987007,7987008
ALLEE;Allée Simon Bolivar;SIMON BOLIVAR;BOLIVAR;2857416,315082923
ALLEE;Allée Yves Montand;YVES MONTAND;MONTAND;32511979
ALLEE;Allée des Aulnes;DES AULNES;AULNES;32512983
ALLEE;Allée des Campanules;DES CAMPANULES;CAMPANULES;6747477
ALLEE;Allée des Cerisiers;DES CERISIERS;CERISIERS;200131311
ALLEE;Allée des Chênes Verts;DES CHENES VERTS;VERTS;4244513,4716842,4716843
ALLEE;Allée des Frênes;DES FRENES;FRENES;7987088
ALLEE;Allée des Lavandes;DES LAVANDES;LAVANDES;315233041
ALLEE;Allée des Muguets;DES MUGUETS;MUGUETS;315233042
ALLEE;Allée des Ors;DES ORS;ORS;7987090
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;6602675
ALLEE;Allée des Tritons;DES TRITONS;TRITONS;7767703,7767704,7767705,118193350,472384157
ALLEE;Allée du Canal;DU CANAL;CANAL;472384149
ALLEE;Allée du Commandant Teinturier;DU COMMANDANT TEINTURIER;TEINTURIER;7986995,247425803
ALLEE;Allée du Grand Veymont;DU GRAND VEYMONT;VEYMONT;84622511,315082924
ANCIENNE ROUTE;Ancienne Route de Romans;DE ROMANS;ROMANS;84622262,84622320,84622384,148213860,148890421
AVENUE;Avenue Adolphe Figuet;ADOLPHE FIGUET;FIGUET;64728500,64728502,148036005,296901138,296901140,473975999,473976001,473976002
AVENUE;Avenue Berthelot;BERTHELOT;SAILLANT;4232832,4707512,4707514,4707515,35827295,155785540
AVENUE;Avenue Chanoine Jules Chevalier;CHANOINE JULES CHEVALIER;CHEVALIER;2789896,4707516,4707517
AVENUE;Avenue Charles Jourdan;CHARLES JOURDAN;JOURDAN;2788567,4672980,4672982,4672983,141475403
AVENUE;Avenue Château Fleury;CHATEAU FLEURY;FLEURY;2788570,4672991,4672992,4672993,26697465,143868545,148096246,148202561
AVENUE;Avenue Dauphiné Provence;DAUPHINE PROVENCE;PROVENCE;4694792
AVENUE;Avenue Docteur Bonnet;DOCTEUR BONNET;BONNET;4228831,4696702,4696703
AVENUE;Avenue Duchesne;DUCHESNE;GRIVELIERE;4232835,148036936
AVENUE;Avenue Gambetta;GAMBETTA;DIDIER;4358702,4358703,4358705,148035985,148035992,148036017,148036019,148092766,148092787,148203843,314738919,361856077,361856078,361856079,473975992,473976000
AVENUE;Avenue Geneviève Anthonioz - De Gaulle;GENEVIEVE ANTHONIOZ   DE GAULLE;GAULLE;7987243
