voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse de la Haute Equerre;DE LA HAUTE EQUERRE;EQUERRE;505052918
ROUTE;Route Jacques de Courteilles;JACQUES DE COURTEILLES;COURTEILLES;295309892
ROUTE;Route Nationale 12;NATIONALE 12;12;195802178,195802184,195802219,421802642,558076639,605389889
ROUTE;Route de Rochechouart;DE ROCHECHOUART;ROCHECHOUART;295309889
ROUTE;Route de la Ferme du Nillet;DE LA FERME DU NILLET;NILLET;294569643
ROUTE;Route du Fossé Royal;DU FOSSE ROYAL;ROYAL;308586039,308586041,491362912,558332516,558332517
ROUTE;Route du Moulin de Sault;DU MOULIN DE SAULT;SAULT;156956095
RUE;Rue du Capitaine Jacques Mallet;DU CAPITAINE JACQUES MALLET;MALLET;378900490
RUE;Rue du Chene;DU CHENE;CHENE;294569641
RUE;Rue du Défait;DU DEFAIT;DEFAIT;433098926
