voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse des Peupliers;DES PEUPLIERS;PEUPLIERS;521058502
IMPASSE;Impasse du Clos Thorel;DU CLOS THOREL;THOREL;171518363
ROUTE;Route de Chauvincourt;DE CHAUVINCOURT;CHAUVINCOURT;362666207
ROUTE;Route de Vesly;DE VESLY;VESLY;521058504
ROUTE;Route de Villers;DE VILLERS;VILLERS;118530906
ROUTE;Route des Gamaches;DES GAMACHES;GAMACHES;61690572,521058481
RUE;Rue Oulgate;OULGATE;MESSE;521058484
RUE;Rue Saint-Eloi;SAINT ELOI;ELOI;118530908
RUE;Rue aux Juifs;AUX JUIFS;JUIFS;521058489
RUE;Rue de la Mare;DE LA MARE;MARE;521058495
RUE;Rue de la Messe;DE LA MESSE;MESSE;378363322
RUE;Rue du Clos Thorel;DU CLOS THOREL;THOREL;521058497
RUE;Rue du Moulin de Pierre;DU MOULIN DE PIERRE;PIERRE;521058491,521058493
