voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue du 15 Août 1944;DU 15 AOUT 1944;1944;139308354,169544334,266291025,266291026
AVENUE;Avenue du Quinze Août 1944;DU QUINZE AOUT 1944;1944;16117105,139308358,139308359,266291087,313285205,313285209,632592862,632592867,632592868,632592870,646085969
AVENUE;Avenue du Temple de Mars;DU TEMPLE DE MARS;MARS;150646515
BASE;Base de Loisirs de Marboué;DE LOISIRS DE MARBOUE;MARBOUE;401549356
BOULEVARD;Boulevard Serge Fauve;SERGE FAUVE;FAUVE;401548599
CHEMIN;Chemin de Contour du Jardin;DE CONTOUR DU JARDIN;JARDIN;401414417
CHEMIN;Chemin de Logron à Saint-Christophe par Pruneville et le Grès;DE LOGRON A SAINT CHRISTOPHE PAR PRUNEVILLE ET LE GRES;GRES;41685552
CHEMIN;Chemin de Marboué à Donnemain;DE MARBOUE A DONNEMAIN;DONNEMAIN;401538550
CHEMIN;Chemin de Mortiers;DE MORTIERS;MORTIERS;41745696,41745697
CHEMIN;Chemin de Mézelle;DE MEZELLE;MEZELLE;41745683
CHEMIN;Chemin de l'Atelier;DE L ATELIER;ATELIER;401414418
CHEMIN;Chemin de la Chalandrière;DE LA CHALANDRIERE;CHALANDRIERE;41745681,41745692
CHEMIN;Chemin de la Maison;DE LA MAISON;MAISON;401414416
CHEMIN;Chemin de la Taille;DE LA TAILLE;TAILLE;41745690,41745691
CHEMIN;Chemin de la Vue vers le Sud;DE LA VUE VERS LE SUD;SUD;401414421
CHEMIN;Chemin des Arbres Fruitiers;DES ARBRES FRUITIERS;FRUITIERS;401414420
CHEMIN;Chemin des Poules;DES POULES;POULES;401414426
CHEMIN;Chemin du Bois d'Ecoublanc;DU BOIS D ECOUBLANC;ECOUBLANC;401538551
CHEMIN;Chemin du Jardin;DU JARDIN;JARDIN;401414419
CHEMIN;Chemin du Parc de l'Atelier;DU PARC DE L ATELIER;ATELIER;401414427
CHEMIN;Chemin du Potager;DU POTAGER;POTAGER;401429207
CHEMIN;Chemin du Poulailler;DU POULAILLER;POULAILLER;401414424
CHEMIN RURAL;Chemin rural;;BOIS;402454278
CHEMIN RURAL;Chemin rural du Petit Bois;DU PETIT BOIS;BOIS;169547385
CHEMIN RURAL;Chemin rural n°110 du Plessis au Petit Bois;N°110 DU PLESSIS AU PETIT BOIS;BOIS;422535360
CHEMIN RURAL;Chemin rural n°22 du Plessis à Marboué;N°22 DU PLESSIS A MARBOUE;MARBOUE;169547384
CHEMIN RURAL;Chemin rural n°23;N°23;BOIS;402454279
CHEMIN RURAL;Chemin rural n°25 du Petit Bois;N°25 DU PETIT BOIS;BOIS;402454277
CHEMIN RURAL;Chemin rural n°54;N°54;MARBOUE;402440487
COUR;Cour Principale;PRINCIPALE;ATELIER;401414428
COTE;Côte de Greslard;DE GRESLARD;GRESLARD;402453277
IMPASSE;Impasse du Village;DU VILLAGE;VILLAGE;150651414
;Le Paradis Saint-Martin;LE PARADIS SAINT MARTIN;MARTIN;169544930
PASSAGE;Passage de la Cour;DE LA COUR;COUR;401432528
PASSAGE;Passage des Arbres;DES ARBRES;ARBRES;401431377
PASSAGE;Passage des Lapins;DES LAPINS;LAPINS;401414423
PASSAGE;Passage du Parc;DU PARC;PARC;401431376
PLACE;Place de l'Écu;DE L ECU;ECU;527315369
PLACE;Place des Lapins;DES LAPINS;LAPINS;401414422
ROUTE;Route de Marboué;DE MARBOUE;MARBOUE;150349834
RUE;Rue Aristide Briand;ARISTIDE BRIAND;BRIAND;113746451,150646520
RUE;Rue Gallo-Romaine;GALLO ROMAINE;ROMAINE;150651377
RUE;Rue Joseph Renault;JOSEPH RENAULT;RENAULT;150651404
RUE;Rue Lucien Seigneuret;LUCIEN SEIGNEURET;SEIGNEURET;401548597
RUE;Rue Léon Provendier;LEON PROVENDIER;PROVENDIER;150646513
RUE;Rue Martial Taugourdeau;MARTIAL TAUGOURDEAU;TAUGOURDEAU;150349833
RUE;Rue Saint-Martin;SAINT MARTIN;MARTIN;150646512
RUE;Rue Saint-Thomas;SAINT THOMAS;THOMAS;169544525
RUE;Rue de Logron;DE LOGRON;LOGRON;150651380
RUE;Rue de Mienne;DE MIENNE;MIENNE;150651398
RUE;Rue de Mortlers;DE MORTLERS;MORTLERS;41685547
RUE;Rue de Saint-Père;DE SAINT PERE;PERE;169542751
RUE;Rue de l'Écu;DE L ECU;ECU;150646516
RUE;Rue de l'Église;DE L EGLISE;EGLISE;169544003
RUE;Rue de la Gare;DE LA GARE;GARE;150646519
RUE;Rue de la Haie Marty;DE LA HAIE MARTY;MARTY;169542098
RUE;Rue de la Remise;DE LA REMISE;REMISE;266291024
RUE;Rue des Gâts;DES GATS;GATS;203988324
RUE;Rue des Jardiniers;DES JARDINIERS;JARDINIERS;169544892
RUE;Rue des Lilas;DES LILAS;LILAS;150646514
RUE;Rue des Noisetiers;DES NOISETIERS;NOISETIERS;169542370,169542546
RUE;Rue des Petits Champs;DES PETITS CHAMPS;CHAMPS;150646517
RUE;Rue des Terres d'Écoublanc;DES TERRES D ECOUBLANC;ECOUBLANC;150645227
RUE;Rue des Écureuils;DES ECUREUILS;ECUREUILS;169542369
RUE;Rue du Chemin Perret;DU CHEMIN PERRET;PERRET;169544845
RUE;Rue du Château du Grès;DU CHATEAU DU GRES;GRES;443171967
RUE;Rue du Croc Marbot;DU CROC MARBOT;MARBOT;150651384,150651387,169547380
RUE;Rue du Docteur Péan;DU DOCTEUR PEAN;PEAN;150646518
RUE;Rue du Maréchal Ney;DU MARECHAL NEY;NEY;150645225
RUE;Rue du Moulin;DU MOULIN;MOULIN;4944688
VOIE COMMUNALE;Voie Communale n°16 dite Chemin du Plessis;N°16 DITE CHEMIN DU PLESSIS;PLESSIS;401542660
VOIE COMMUNALE;Voie Communale n°19 dite Chemin de Greslard;N°19 DITE CHEMIN DE GRESLARD;GRESLARD;401543239
