voie;name;name_norm;last_word_norm;ways
;Ancienne Voie Romaine;ANCIENNE VOIE ROMAINE;ROMAINE;62677588
CHEMIN;Chemin creux;CREUX;CREUX;584427652
CHEMIN;Chemin de Bel-Air;DE BEL AIR;AIR;71259954
CHEMIN;Chemin de l'Estacade;DE L ESTACADE;ESTACADE;71259670
CHEMIN;Chemin des Aulnes;DES AULNES;AULNES;549355912
CHEMIN;Chemin des Fontaines;DES FONTAINES;FONTAINES;529749657
CHEMIN;Chemin des Sources;DES SOURCES;SOURCES;529749658
CHEMIN;Chemin du Viaduc;DU VIADUC;VIADUC;71260074
CLOS;Clos des Peupliers;DES PEUPLIERS;PEUPLIERS;71260101
IMPASSE;Impasse Jaoua;JAOUA;JAOUA;71259430
IMPASSE;Impasse Leur ar Hardis;LEUR AR HARDIS;HARDIS;71259977
IMPASSE;Impasse Run Ar Moal;RUN AR MOAL;MOAL;71259609,71259614
IMPASSE;Impasse de Roch Gwen;DE ROCH GWEN;GWEN;71259649
IMPASSE;Impasse du Coteau de Keranglien;DU COTEAU DE KERANGLIEN;KERANGLIEN;71259400
IMPASSE;Impasse du Moulin des Salles;DU MOULIN DES SALLES;SALLES;71260051
IMPASSE;Impasse du Petit Moulin;DU PETIT MOULIN;MOULIN;71259404
IMPASSE;Impasse du Terrain de Sports;DU TERRAIN DE SPORTS;SPORTS;71259775
IMPASSE;Impasse du Vallon;DU VALLON;VALLON;71259608
;Le Champ du Loup;LE CHAMP DU LOUP;LOUP;71259950
;Les Hauts du Veillenec;LES HAUTS DU VEILLENEC;VEILLENEC;71259925
LOTISSEMENT;Lotissement Le Vallon;LE VALLON;VALLON;71259805,71259813
LOTISSEMENT;Lotissement Parc Barba;PARC BARBA;BARBA;71259577
LOTISSEMENT;Lotissement Reun Ar Moal;REUN AR MOAL;MOAL;71260130,71260136,285244599,285244604
LOTISSEMENT;Lotissement Roch Gwen;ROCH GWEN;GWEN;71259653
LOTISSEMENT;Lotissement Saint-Roch;SAINT ROCH;ROCH;71259482,71259511,71259515,71259516,71259972
LOTISSEMENT;Lotissement Vern Déredec;VERN DEREDEC;DEREDEC;71259410
LOTISSEMENT;Lotissement de Kertanguy;DE KERTANGUY;KERTANGUY;71259617
LOTISSEMENT;Lotissement l'Orée du Bois;L OREE DU BOIS;BOIS;71259575
LOTISSEMENT;Lotissement le Vallon de l'Estacade;LE VALLON DE L ESTACADE;ESTACADE;71259601
PLACE;Place Jean-François Le Gonidec;JEAN FRANCOIS LE GONIDEC;GONIDEC;71259836
PLACE;Place Jean-Pierre Le Scour;JEAN PIERRE LE SCOUR;SCOUR;71259854
PLACE;Place Saint-Yves;SAINT YVES;YVES;549355913,549355914,660647734
PLACE;Place Tanguy Malmanche;TANGUY MALMANCHE;MALMANCHE;71259831
PLACE;Place de l'Abbaye;DE L ABBAYE;ABBAYE;71260012
PLACE;Place du Calvaire;DU CALVAIRE;CALVAIRE;71259437
PLACE;Place du Docteur Castel;DU DOCTEUR CASTEL;CASTEL;114823437,114823438,435303121,435303122
PLACE;Place du Valy;DU VALY;VALY;71260016,549173455
QUAI;Quai du Valy;DU VALY;VALY;280645408,367898306,660647735
ROUTE;Route de Brest;DE BREST;BREST;71259387,71259393,71259551,71259906,71260048,246727585,246727586,594538761,594538765,594538785,594538789,598577129,598577134
ROUTE;Route de Keranglien;DE KERANGLIEN;KERANGLIEN;71259911,71260075
ROUTE;Route de Leur ar Hardis;DE LEUR AR HARDIS;HARDIS;71259545
ROUTE;Route de Logonna;DE LOGONNA;LOGONNA;71259702,206175177
ROUTE;Route de Loperhet;DE LOPERHET;LOPERHET;71259631,367898307,389311641,435303114,598577131,598577132
ROUTE;Route de Quimper;DE QUIMPER;QUIMPER;71259931,117172014,246734528,246734529,280645410,356622268
ROUTE;Route de Saint-Roch;DE SAINT ROCH;ROCH;71259537,275724091
ROUTE;Route de Saint-Urbain;DE SAINT URBAIN;URBAIN;21896399,71260082,171824494,285244608,594538778,594538783
ROUTE;Route de la Gare;DE LA GARE;GARE;71260036,135311887,135311890,135311892,367876444
ROUTE;Route du Terrain des Sports;DU TERRAIN DES SPORTS;SPORTS;71259471
RUE;Rue Charles et Edouard Danguy des Deserts;CHARLES ET EDOUARD DANGUY DES DESERTS;DESERTS;367876445
RUE;Rue Charles et Edouard des Deserts;CHARLES ET EDOUARD DES DESERTS;DESERTS;71259738
RUE;Rue Hent-ar-Laboussed;HENT AR LABOUSSED;LABOUSSED;285244611
RUE;Rue Jacques Dubois;JACQUES DUBOIS;DUBOIS;71259756
RUE;Rue Joseph Bihan;JOSEPH BIHAN;BIHAN;71259541
RUE;Rue Karn ar Marc'h;KARN AR MARC H;H;71259960
RUE;Rue Marie-Josée Christien;MARIE JOSEE CHRISTIEN;CHRISTIEN;247110258
RUE;Rue Pen ar Guer;PEN AR GUER;GUER;71259555,71259556
RUE;Rue Saint-Roch;SAINT ROCH;ROCH;71260023
RUE;Rue Traverse;TRAVERSE;TRAVERSE;71259440
RUE;Rue Victor Segalen;VICTOR SEGALEN;SEGALEN;71259415
RUE;Rue Xavier Grall;XAVIER GRALL;GRALL;155821776,247110254,247110260,285244615,367898308,367898309
RUE;Rue de Bel-Air;DE BEL AIR;AIR;71259481,71259488,71260091
RUE;Rue de Brest;DE BREST;BREST;71259338,71259357,71259361,246727584,246727587,389218799,598577135
RUE;Rue de La Cité;DE LA CITE;CITE;71259664,206175181
RUE;Rue de Veillenec;DE VEILLENEC;VEILLENEC;71259672,71259801,660647736
RUE;Rue de l'Église;DE L EGLISE;EGLISE;71260018,227097407,367898310,367898311,367898312
RUE;Rue de la Rive;DE LA RIVE;RIVE;71260006
RUE;Rue du Coteau de Keranglien;DU COTEAU DE KERANGLIEN;KERANGLIEN;71259509
RUE;Rue du Parc;DU PARC;PARC;71260124
RUE;Rue du Pont;DU PONT;PONT;71260041,190237528,246727588,246727589,435303117
RUE;Rue du Pouligou;DU POULIGOU;POULIGOU;247110255
RUE;Rue du Valy;DU VALY;VALY;71259849,246727590,246727591,246734530,246734531
RESIDENCE;Résidence Le Clos du Vern;LE CLOS DU VERN;VERN;71259622
RESIDENCE;Résidence de la Duchesse Anne;DE LA DUCHESSE ANNE;ANNE;71259752
SENTIER;Sentier Côtier;COTIER;COTIER;509469528,580233598
SENTIER;Sentier de Coat-Mez;DE COAT MEZ;MEZ;244974926,244974928
SENTIER;Sentier du Littoral;DU LITTORAL;LITTORAL;155788119,246733807,580233599,619401541,619401542,619401543,619401544
VENELLE;Venelle Saint-Nicolas;SAINT NICOLAS;NICOLAS;114823435,246727593,258490868
VENELLE;Venelle des Orfèvres;DES ORFEVRES;ORFEVRES;71259432
