voie;name;name_norm;last_word_norm;ways
;Avneue des Écoles;AVNEUE DES ECOLES;ECOLES;117580290,446700384,446700385
CHEMIN;Chemin du Grès;DU GRES;GRES;166934716
IMPASSE;Impasse du Fort;DU FORT;FORT;181734611
PLACE;Place de l'École;DE L ECOLE;ECOLE;483063798
PLACE;Place de l'Église;DE L EGLISE;EGLISE;483063799
PLACE;Place du 8 Mai 1945;DU 8 MAI 1945;1945;181734612
ROUTE;Route d'Uzés;D UZES;UZES;444422360
RUE;Rue de l'Ancienne Poste;DE L ANCIENNE POSTE;POSTE;181579743
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;166936462,169087049,446700388,446700389
RUE;Rue des Dames Blanches;DES DAMES BLANCHES;BLANCHES;181734613
RUE;Rue du Temple;DU TEMPLE;TEMPLE;169087045
