voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin d'Alteyrac;D ALTEYRAC;ALTEYRAC;184182124,498889552,498889553,498889555
CHEMIN;Chemin de Ban;DE BAN;BAN;223991457
CHEMIN;Chemin de Montjoie;DE MONTJOIE;MONTJOIE;363790801
CHEMIN;Chemin de Salze;DE SALZE;SALZE;363801144
CHEMIN;Chemin de Tagnac;DE TAGNAC;TAGNAC;363820150
CHEMIN;Chemin de la Condamine;DE LA CONDAMINE;CONDAMINE;363820151
CHEMIN;Chemin des Bories;DES BORIES;BORIES;221412761
IMPASSE;Impasse Merle;MERLE;MONTJOIE;363790806
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;310688593
ROUTE;Route d'Alès;D ALES;ALES;310685933,310685934,310686975,310686976,363801147
ROUTE;Route de Bessèges;DE BESSEGES;BESSEGES;129096644
ROUTE;Route de Villefort;DE VILLEFORT;VILLEFORT;310688595,588048707
ROUTE;Route de la Jasse;DE LA JASSE;JASSE;129097233
ROUTE;Route du Barrage;DU BARRAGE;BARRAGE;363820167
ROUTE;Route du Cimetière;DU CIMETIERE;CIMETIERE;363801148
ROUTE;Route du Stade;DU STADE;STADE;363790808,588048710
RUE;Rue Basse;BASSE;GARE;40822100
RUE;Rue Basse de la Jasse;BASSE DE LA JASSE;JASSE;363820153
RUE;Rue Favand;FAVAND;BORIES;223991455
RUE;Rue Haute de la Jasse;HAUTE DE LA JASSE;JASSE;363820154
RUE;Rue de la Cantonade;DE LA CANTONADE;CANTONADE;363790811,498873128
RUE;Rue de la Gare;DE LA GARE;GARE;36501094
RUE;Rue de la Ribeyrette;DE LA RIBEYRETTE;RIBEYRETTE;363801149,588048705
RUE;Rue des Fontanelles;DES FONTANELLES;FONTANELLES;363801150,363801151
