voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Tabarde;DE TABARDE;TABARDE;35681446
AVENUE;Avenue du Bonheur;DU BONHEUR;BONHEUR;186838370
AVENUE;Avenue du Devois;DU DEVOIS;DEVOIS;141461457
AVENUE;Avenue du Lac;DU LAC;LAC;141461454
CHEMIN;Chemin Privé;PRIVE;PRIVE;186839610
CHEMIN;Chemin Privé des Martinets;PRIVE DES MARTINETS;MARTINETS;244707081
CHEMIN;Chemin contre le Mas;CONTRE LE MAS;MAS;179085808
CHEMIN;Chemin de la Fargue;DE LA FARGUE;FARGUE;151225691
RUE;Rue Cazagne;CAZAGNE;CAZAGNE;186839614
RUE;Rue Droite;DROITE;DROITE;245118233
RUE;Rue de Bramabiau;DE BRAMABIAU;BRAMABIAU;141461460,312755233
RUE;Rue de l'Aigoual;DE L AIGOUAL;AIGOUAL;193209144
RUE;Rue de la Calade;DE LA CALADE;CALADE;245118231
RUE;Rue de la Cledette;DE LA CLEDETTE;CLEDETTE;141461456
RUE;Rue de la Croix Haute;DE LA CROIX HAUTE;HAUTE;186839612
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;245118232
RUE;Rue des Poujadettes;DES POUJADETTES;POUJADETTES;244707085
RUE;Rue des Écoles;DES ECOLES;ECOLES;244707084
RUE;Rue du Centre;DU CENTRE;CENTRE;245118235
RUE;Rue du Favilhon;DU FAVILHON;FAVILHON;186839611
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;245118234
RUE;Rue du Pradel;DU PRADEL;PRADEL;244707086
RUE;Rue du Puech;DU PUECH;PUECH;141461462
RUE;Rue Étroite;ETROITE;ETROITE;245118236
TOUR;Tour du Cros;DU CROS;CROS;141461464,175919720,423874537
