voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Cabries;DE CABRIES;CABRIES;239482515
CHEMIN;Chemin de Fosse Malle;DE FOSSE MALLE;MALLE;342273298
CHEMIN;Chemin de la Cabanette;DE LA CABANETTE;CABANETTE;188185410,239488198
CHEMIN;Chemin du Cairier;DU CAIRIER;CAIRIER;239481842
CLOS;Clos de la Cabanette;DE LA CABANETTE;CABANETTE;239489164
IMPASSE;Impasse de la Cabanette;DE LA CABANETTE;CABANETTE;188185063
IMPASSE;Impasse de la Glacière;DE LA GLACIERE;GLACIERE;468056581
IMPASSE;Impasse des Voutes;DES VOUTES;VOUTES;468056579,496066086,496066087
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;468056583
ROUTE;Route de Blateiras;DE BLATEIRAS;BLATEIRAS;342468646
ROUTE;Route de l'Amous;DE L AMOUS;AMOUS;188186629,468056577,468056578
RUE;Rue de Verdun;DE VERDUN;VERDUN;186973652,468056582,496066084,496066085
SENTIER;Sentier de la Fontaine;DE LA FONTAINE;FONTAINE;468056580
