voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Coste;DE COSTE;COSTE;251248733
CHEMIN;Chemin de Fournès;DE FOURNES;FOURNES;218603750
CHEMIN;Chemin de Palisse;DE PALISSE;PALISSE;251249233
CHEMIN;Chemin de Tribes;DE TRIBES;TRIBES;319596260
CHEMIN;Chemin de la Pouzaranque;DE LA POUZARANQUE;POUZARANQUE;319596263
CHEMIN;Chemin des Vieilles Vignes;DES VIEILLES VIGNES;VIGNES;319596265
CHEMIN;Chemin du Queyron;DU QUEYRON;QUEYRON;251249234,582320633
;Grand' Rue;GRAND  RUE;RUE;251246965,583217450
IMPASSE;Impasse Moulin d'Huile;MOULIN D HUILE;HUILE;582678909
IMPASSE;Impasse de Verdun;DE VERDUN;VERDUN;319594713
IMPASSE;Impasse de la Forge;DE LA FORGE;FORGE;319594715
IMPASSE;Impasse de la Poste;DE LA POSTE;POSTE;319594716
IMPASSE;Impasse de la Terrasse;DE LA TERRASSE;TERRASSE;319594717
IMPASSE;Impasse du Réservoir;DU RESERVOIR;RESERVOIR;319594718
;Les Escaliers Prolongés;LES ESCALIERS PROLONGES;PROLONGES;582606420
MONTEE;Montée des Escaliers;DES ESCALIERS;ESCALIERS;319594719
PARKING;Parking du 19 Mars 1962;DU 19 MARS 1962;1962;319596266
PLACE;Place de l'Église;DE L EGLISE;EGLISE;582673769
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;582611681
ROUTE;Route de Théziers;DE THEZIERS;THEZIERS;351262425
RUE;Rue Le Planet;LE PLANET;PLANET;251248738
RUE;Rue de l'Église;DE L EGLISE;EGLISE;319594721
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;319594722
RUE;Rue des Anciennes Ecoles;DES ANCIENNES ECOLES;ECOLES;319594723
RUE;Rue des Arceaux;DES ARCEAUX;ARCEAUX;319594724
RUE;Rue des Clos;DES CLOS;CLOS;251248741
RUE;Rue du Café;DU CAFE;CAFE;319594725
RUE;Rue du Cercle;DU CERCLE;CERCLE;251248737
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;319596267
RUE;Rue du Faubourg;DU FAUBOURG;FAUBOURG;251248740
RUE;Rue du Marché;DU MARCHE;MARCHE;251248739
RUE;Rue du Moulin;DU MOULIN;MOULIN;319596268
RUE;Rue du Pijolet;DU PIJOLET;PIJOLET;319594726
RUE;Rue du Planet;DU PLANET;PLANET;319594727
RUE;Rue du Recas;DU RECAS;RECAS;319594728
