voie;name;name_norm;last_word_norm;ways
AIRE;Aire du Comminges;DU COMMINGES;COMMINGES;500070724
AVENUE;Avenue des Pyrénées;DES PYRENEES;PYRENEES;135006739
CHEMIN;Chemin de Sainte-Anne;DE SAINTE ANNE;ANNE;96393316
CHEMIN;Chemin des Maures;DES MAURES;MAURES;135006736
CHEMIN;Chemin des Pradioles;DES PRADIOLES;PRADIOLES;135006755
;La Pyrénéenne;LA PYRENEENNE;PYRENEENNE;4396473,500070707,500070708,500070709,500070711,500070715,500070720,500070728
ROUTE;Route de Milougan;DE MILOUGAN;MILOUGAN;96393302
RUE;Rue de la Pouchette;DE LA POUCHETTE;POUCHETTE;334778635
RUE;Rue du Moulin;DU MOULIN;MOULIN;334778637
RUE;Rue du Vieux Clarac;DU VIEUX CLARAC;CLARAC;334778638
