voie;name;name_norm;last_word_norm;ways
ALLEE;Allée 1;1;1;352299624
ALLEE;Allée 10;10;10;352299647
ALLEE;Allée 11;11;11;352299635
ALLEE;Allée 12;12;12;352299628
ALLEE;Allée 13;13;13;352299643
ALLEE;Allée 14;14;14;352299639
ALLEE;Allée 15;15;15;352299630
ALLEE;Allée 16;16;16;352299637
ALLEE;Allée 17;17;17;352299640
ALLEE;Allée 18;18;18;352299642
ALLEE;Allée 19;19;19;352299645
ALLEE;Allée 2;2;2;352299622
ALLEE;Allée 20;20;20;352299634
ALLEE;Allée 3;3;3;352299625
ALLEE;Allée 4;4;4;352299615
ALLEE;Allée 5;5;5;352299627
ALLEE;Allée 6;6;6;352299616
ALLEE;Allée 7;7;7;352299621
ALLEE;Allée 8;8;8;352299617
ALLEE;Allée 9;9;9;352299619
ALLEE;Allée Claude Debussy;CLAUDE DEBUSSY;DEBUSSY;337360438
ALLEE;Allée Frédéric Chopin;FREDERIC CHOPIN;CHOPIN;233620202
ALLEE;Allée Ludwig Beethoven;LUDWIG BEETHOVEN;BEETHOVEN;233620200
ALLEE;Allée Maurice Ravel;MAURICE RAVEL;RAVEL;233620203
ALLEE;Allée Wolfgang Mozart;WOLFGANG MOZART;MOZART;233620201
ALLEE;Allée du Commerce Équitable;DU COMMERCE EQUITABLE;EQUITABLE;62240669
ALLEE;Allées Aristide Briand;S ARISTIDE BRIAND;BRIAND;30082515,235886610,235886613,329148218,337767889,615584068
ALLEE;Allées de la Légion d'Honneur;S DE LA LEGION D HONNEUR;HONNEUR;62222318
ANCIEN CHEMIN;Ancien Chemin d'Auch;D AUCH;AUCH;215013856,338451907,351162336,357366446,357366447
AVENUE;Avenue Clément Fayat;CLEMENT FAYAT;FAYAT;62239356
AVENUE;Avenue Léonard de Vinci;LEONARD DE VINCI;VINCI;333056313
AVENUE;Avenue Martial Cazes;MARTIAL CAZES;CAZES;62238984
AVENUE;Avenue Pierre de Coubertin;PIERRE DE COUBERTIN;COUBERTIN;235886599
AVENUE;Avenue Robert Castaing;ROBERT CASTAING;CASTAING;333056314
AVENUE;Avenue Victor Hugo;VICTOR HUGO;HUGO;62222317
AVENUE;Avenue d'Artagnan;D ARTAGNAN;ARTAGNAN;351651670
AVENUE;Avenue de la Côte d'Argent;DE LA COTE D ARGENT;ARGENT;337360436,346808227,356035587,615584070,615584071
AVENUE;Avenue du Bataillon de l'Armagnac;DU BATAILLON DE L ARMAGNAC;ARMAGNAC;62267327
AVENUE;Avenue du Comte de Gaure;DU COMTE DE GAURE;GAURE;264450026
AVENUE;Avenue du Corps Franc Pommiès;DU CORPS FRANC POMMIES;POMMIES;30082110,30082121,30082135,345989821,357471462
AVENUE;Avenue du Docteur Robert Laurentie;DU DOCTEUR ROBERT LAURENTIE;LAURENTIE;338467216
AVENUE;Avenue du Général Charles de Gaulle;DU GENERAL CHARLES DE GAULLE;GAULLE;30082516,298994934
BOULEVARD;Boulevard Dannez;DANNEZ;DANNEZ;62012171
BOULEVARD;Boulevard Paul Valéry;PAUL VALERY;VALERY;62222315
BOULEVARD;Boulevard de Metz;DE METZ;METZ;235886602,352580051,361678844,361678845
BOULEVARD;Boulevard du Biopôle;DU BIOPOLE;BIOPOLE;62239840
CHEMIN;Chemin d'Embatrat;D EMBATRAT;EMBATRAT;353843857,353843860,353843862,353843865
CHEMIN;Chemin d'Engilis;D ENGILIS;ENGILIS;346888888,351162337
CHEMIN;Chemin d'Ennat;D ENNAT;ENNAT;300610093,346885347
CHEMIN;Chemin d'Entrottes;D ENTROTTES;ENTROTTES;125692119,293852147,361721722
CHEMIN;Chemin d'Espagne;D ESPAGNE;ESPAGNE;346766545,346800378
CHEMIN;Chemin d'Estret;D ESTRET;ESTRET;264450036,339940238,346882710,358893328
CHEMIN;Chemin de Bellegarde;DE BELLEGARDE;BELLEGARDE;264449989,352232064
CHEMIN;Chemin de Berdoulet;DE BERDOULET;BERDOULET;62239832,64233536,64233554,339705712
CHEMIN;Chemin de Bruch;DE BRUCH;BRUCH;345920514
CHEMIN;Chemin de Caillaou;DE CAILLAOU;CAILLAOU;264449982
CHEMIN;Chemin de Cardeneau;DE CARDENEAU;CARDENEAU;309945281,346800379
CHEMIN;Chemin de Gélas;DE GELAS;GELAS;346873241,346873243
CHEMIN;Chemin de Hourtané;DE HOURTANE;HOURTANE;351162349
CHEMIN;Chemin de Labarthe;DE LABARTHE;LABARTHE;264571167,353843867
CHEMIN;Chemin de Lamothe;DE LAMOTHE;LAMOTHE;264570151,264571062,361377630
CHEMIN;Chemin de Las Cabannes;DE LAS CABANNES;CABANNES;436746264
CHEMIN;Chemin de Lassalle;DE LASSALLE;LASSALLE;293852149,351162330,351162338,351656850,357368987,357368988
CHEMIN;Chemin de Laurensan;DE LAURENSAN;LAURENSAN;346766564
CHEMIN;Chemin de Maridat;DE MARIDAT;MARIDAT;264449987
CHEMIN;Chemin de Millet;DE MILLET;MILLET;346204390,346204392,353843855
CHEMIN;Chemin de Montestruc;DE MONTESTRUC;MONTESTRUC;267968119,309943861,346779680
CHEMIN;Chemin de Pellecaüs;DE PELLECAUS;PELLECAUS;351162341
CHEMIN;Chemin de Perrey;DE PERREY;PERREY;264449988,264450015,264450020,351178626
CHEMIN;Chemin de Perrin;DE PERRIN;PERRIN;264449977,351619700,351651674,351651675
CHEMIN;Chemin de Ribau;DE RIBAU;RIBAU;263214806
CHEMIN;Chemin de Ribére-Lassus;DE RIBERE LASSUS;LASSUS;346771015
CHEMIN;Chemin de Saint-Amans;DE SAINT AMANS;AMANS;339940231,346800380
CHEMIN;Chemin de Saint-Urbary;DE SAINT URBARY;URBARY;346766547
CHEMIN;Chemin de l'Hôpital;DE L HOPITAL;HOPITAL;264570278
CHEMIN;Chemin de la Barrière;DE LA BARRIERE;BARRIERE;351162331,351162340
CHEMIN;Chemin de la Biodiversité;DE LA BIODIVERSITE;BIODIVERSITE;344658660,344658663,347252612,347252613
CHEMIN;Chemin de la Bordeneuve;DE LA BORDENEUVE;BORDENEUVE;339940236,355962407
CHEMIN;Chemin de la Carrérasse;DE LA CARRERASSE;CARRERASSE;337156041
CHEMIN;Chemin de la Faune et de la Flore;DE LA FAUNE ET DE LA FLORE;FLORE;62240266,62240271,62240272,62240276
CHEMIN;Chemin de la Hount de la Garière;DE LA HOUNT DE LA GARIERE;GARIERE;347252803,356299568
CHEMIN;Chemin de la Maure;DE LA MAURE;MAURE;346766552,355931615
CHEMIN;Chemin de la Picarrère;DE LA PICARRERE;PICARRERE;264449979,345920524,346878005
CHEMIN;Chemin de la Puzaque;DE LA PUZAQUE;PUZAQUE;62239823,62239828,62239830
CHEMIN;Chemin de la Sansoue;DE LA SANSOUE;SANSOUE;125692120,339940599,351162329,357368986,358893326,358893327
CHEMIN;Chemin de las Laques;DE LAS LAQUES;LAQUES;352541611
CHEMIN;Chemin des Carbouès;DES CARBOUES;CARBOUES;263214795,263214805,263214807
CHEMIN;Chemin des Côteaux;DES COTEAUX;COTEAUX;264570277
CHEMIN;Chemin des Oliviers;DES OLIVIERS;OLIVIERS;293852155,346830257
CHEMIN;Chemin des Thermes;DES THERMES;THERMES;346213628
CHEMIN;Chemin du Bosc;DU BOSC;BOSC;264450033
CHEMIN;Chemin du Bouquet;DU BOUQUET;BOUQUET;264450016
CHEMIN;Chemin du Brana;DU BRANA;BRANA;346774736
CHEMIN;Chemin du Conseil;DU CONSEIL;CONSEIL;293852154
CHEMIN;Chemin du Cussé;DU CUSSE;CUSSE;293852150,346766549
CHEMIN;Chemin du Gavach;DU GAVACH;GAVACH;346766555,346766565
CHEMIN;Chemin du Lieutenant;DU LIEUTENANT;LIEUTENANT;264450023,339939061,355926433,355926434,567772851,567772856
CHEMIN;Chemin du Piot;DU PIOT;PIOT;215013866,351654070
CHEMIN;Chemin du Pélat;DU PELAT;PELAT;62303030,264450004,352230760
CHEMIN;Chemin du Tustet;DU TUSTET;TUSTET;223978995,339940237
CHEMIN RURAL;Chemin rural du Piot;DU PIOT;PIOT;351162347
IMPASSE;Impasse Boutet;BOUTET;BOUTET;64233561
IMPASSE;Impasse Eufferte;EUFFERTE;EUFFERTE;64233540
IMPASSE;Impasse Miégeville;MIEGEVILLE;MIEGEVILLE;336080682
IMPASSE;Impasse Odet de Montz;ODET DE MONTZ;MONTZ;64233552
IMPASSE;Impasse Saint-Laurent;SAINT LAURENT;LAURENT;62222322,64233560
IMPASSE;Impasse de la Peyrigne;DE LA PEYRIGNE;PEYRIGNE;62012188
IMPASSE;Impasse des Mimosas;DES MIMOSAS;MIMOSAS;62012199
IMPASSE;Impasse des Mousquetaires;DES MOUSQUETAIRES;MOUSQUETAIRES;64233556
IMPASSE;Impasse des Peupliers;DES PEUPLIERS;PEUPLIERS;337758884
IMPASSE;Impasse du Comte de Tréville;DU COMTE DE TREVILLE;TREVILLE;62238946
;Le Chemin des Vignerons;LE CHEMIN DES VIGNERONS;VIGNERONS;264450008,346766563
LOTISSEMENT;Lotissement Eustache de Beaumarchais;EUSTACHE DE BEAUMARCHAIS;BEAUMARCHAIS;264449972,339939058,339939059,339939060
PASSAGE;Passage de Barrau;DE BARRAU;BARRAU;64233562
PASSAGE;Passage de Lagrange;DE LAGRANGE;LAGRANGE;62220706
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;62056806
PLACE;Place des Myrtilles;DES MYRTILLES;MYRTILLES;337360880,615754108
PLACE;Place du Marcadet;DU MARCADET;MARCADET;337543752
;Plateforme d'Observation;PLATEFORME D OBSERVATION;OBSERVATION;355967454
PROMENADE;Promenades du Perron;S DU PERRON;PERRON;352582299
ROND POINT;Rond-Point René Cassin;RENE CASSIN;CASSIN;233619488
ROND POINT;Rond-Point de la Biodiversité;DE LA BIODIVERSITE;BIODIVERSITE;30082131
ROND POINT;Rond-Point du 19 Mars 1962;DU 19 MARS 1962;1962;30082147
ROUTE;Route d'Auch;D AUCH;AUCH;298994784
ROUTE;Route de Condom;DE CONDOM;CONDOM;352238993
ROUTE;Route de Céran;DE CERAN;CERAN;61981615
ROUTE;Route de Fleurance à Nérac;DE FLEURANCE A NERAC;NERAC;129019303
ROUTE;Route de Goutz;DE GOUTZ;GOUTZ;61982450
ROUTE;Route de Jegun;DE JEGUN;JEGUN;367435150
ROUTE;Route de Réjaumont;DE REJAUMONT;REJAUMONT;174292596
ROUTE;Route de Saint-Clar;DE SAINT CLAR;CLAR;359314769,615584062,615584063,615584065
ROUTE;Route de Sainte-Radegonde;DE SAINTE RADEGONDE;RADEGONDE;346213629
ROUTE;Route de Terraube;DE TERRAUBE;TERRAUBE;62240892
ROUTE;Route de Toulouse;DE TOULOUSE;TOULOUSE;30172841
ROUTE;Route du Gronch;DU GRONCH;GRONCH;346802091
RUE;Rue Adolphe Cadéot;ADOLPHE CADEOT;CADEOT;62012203,62056808
RUE;Rue Albert Camus;ALBERT CAMUS;CAMUS;64233563
RUE;Rue Alexandre Laffont;ALEXANDRE LAFFONT;LAFFONT;62056809
RUE;Rue Amanieu Dupuy;AMANIEU DUPUY;DUPUY;62238925,62242836,359291359
RUE;Rue Anatole France;ANATOLE FRANCE;FRANCE;62222325
RUE;Rue André Arnau;ANDRE ARNAU;ARNAU;337158272
RUE;Rue Antoine Lavaquerie;ANTOINE LAVAQUERIE;LAVAQUERIE;337386422
RUE;Rue Antoinette Cadéot;ANTOINETTE CADEOT;CADEOT;62012657
RUE;Rue Arnaud de Merenx;ARNAUD DE MERENX;MERENX;337385915
RUE;Rue Arnaud de Moles;ARNAUD DE MOLES;MOLES;62012196
RUE;Rue Aygueval;AYGUEVAL;AYGUEVAL;64233545
RUE;Rue Beau Soleil;BEAU SOLEIL;SOLEIL;62220711
RUE;Rue Bernard de Monlezun;BERNARD DE MONLEZUN;MONLEZUN;62238965
RUE;Rue Bertrand Lauzet;BERTRAND LAUZET;LAUZET;62238958,62238961
RUE;Rue Capitaine Maurice Barriac;CAPITAINE MAURICE BARRIAC;BARRIAC;64233544
RUE;Rue Delort;DELORT;DELORT;337154195
RUE;Rue Descartes;DESCARTES;DESCARTES;62241964
RUE;Rue Edmond Michelet;EDMOND MICHELET;MICHELET;62012181,62012190
RUE;Rue Gabriel Bétous;GABRIEL BETOUS;BETOUS;337148337
RUE;Rue Gabriel Fromaget;GABRIEL FROMAGET;FROMAGET;62238948
RUE;Rue Gambetta;GAMBETTA;GAMBETTA;62056811,235886596
RUE;Rue Gaston Ramon;GASTON RAMON;RAMON;62224368
RUE;Rue Georges Lanoir;GEORGES LANOIR;LANOIR;125692121,337360622
RUE;Rue Gustave Eiffel;GUSTAVE EIFFEL;EIFFEL;333057927
RUE;Rue Gérard Barlié;GERARD BARLIE;BARLIE;62220712
RUE;Rue Hector Berlioz;HECTOR BERLIOZ;BERLIOZ;233619757
RUE;Rue Jacques de Brux;JACQUES DE BRUX;BRUX;337360806
RUE;Rue Jean Bousquet;JEAN BOUSQUET;BOUSQUET;125692122
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;62012185,62056817
RUE;Rue Jean Lary;JEAN LARY;LARY;337386423
RUE;Rue Jean Monties;JEAN MONTIES;MONTIES;62224363
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;64233559
RUE;Rue Jean de Merat;JEAN DE MERAT;MERAT;62220708
RUE;Rue Jean-Sébastien Bach;JEAN SEBASTIEN BACH;BACH;174292593
RUE;Rue Joliot Curie;JOLIOT CURIE;CURIE;62241968,339707927,362564155,362564156
RUE;Rue Jules Ferry;JULES FERRY;FERRY;62222320
RUE;Rue Jules Guesde;JULES GUESDE;GUESDE;62012142
RUE;Rue Louis Damblanc;LOUIS DAMBLANC;DAMBLANC;62224361
RUE;Rue Mahourat;MAHOURAT;MAHOURAT;62012173
RUE;Rue Marius Monti;MARIUS MONTI;MONTI;64233547
RUE;Rue Maurice Salles;MAURICE SALLES;SALLES;337385349
RUE;Rue Monge;MONGE;MONGE;336080381
RUE;Rue Montablon;MONTABLON;MONTABLON;62012176,62012194
RUE;Rue Neuve;NEUVE;NEUVE;64233548
RUE;Rue Noël Cadéot;NOEL CADEOT;CADEOT;62221661
RUE;Rue Pasteur;PASTEUR;PASTEUR;62012205
RUE;Rue Pierre Mendès France;PIERRE MENDES FRANCE;FRANCE;337385355,337385544
RUE;Rue Portagion;PORTAGION;PORTAGION;62221660,337150889
RUE;Rue Poulbot;POULBOT;POULBOT;62221659
RUE;Rue René Paquiet;RENE PAQUIET;PAQUIET;64233553,64233558
RUE;Rue Roger Castel;ROGER CASTEL;CASTEL;62238934
RUE;Rue Roger Trémoulet;ROGER TREMOULET;TREMOULET;235886597
RUE;Rue Ronsard;RONSARD;RONSARD;62012184
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;62222319,64233549
RUE;Rue Sainte-Catherine;SAINTE CATHERINE;CATHERINE;178190219
RUE;Rue Thierry Cazes;THIERRY CAZES;CAZES;62012172
RUE;Rue de Perrin;DE PERRIN;PERRIN;264450001
RUE;Rue de Saubat;DE SAUBAT;SAUBAT;62012192
RUE;Rue de l'Espérance;DE L ESPERANCE;ESPERANCE;62012177
RUE;Rue de l'Hopital Saint-Pierre;DE L HOPITAL SAINT PIERRE;PIERRE;62012208
RUE;Rue de la Bourdette;DE LA BOURDETTE;BOURDETTE;36810725
RUE;Rue de la Canaou;DE LA CANAOU;CANAOU;337154199
RUE;Rue de la Fontaine des Lépreux;DE LA FONTAINE DES LEPREUX;LEPREUX;62012186
RUE;Rue de la Grange;DE LA GRANGE;GRANGE;62220710
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;62012204
RUE;Rue de la Oume;DE LA OUME;OUME;62012207
RUE;Rue de la Peyrigne;DE LA PEYRIGNE;PEYRIGNE;62012162,165498092,165498102
RUE;Rue de la Première Armée Française Rhin/Danube;DE LA PREMIERE ARMEE FRANCAISE RHIN DANUBE;DANUBE;30082150,30172840,65841362,615584066,615584067
RUE;Rue de la Providence;DE LA PROVIDENCE;PROVIDENCE;62012164
RUE;Rue de la Pépinière;DE LA PEPINIERE;PEPINIERE;125692123
RUE;Rue de la Réoule;DE LA REOULE;REOULE;64233543,364938799,364938800
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;62012174,62012180,337149100
RUE;Rue de la Résistance;DE LA RESISTANCE;RESISTANCE;62220709
RUE;Rue de la Santé;DE LA SANTE;SANTE;62239229,62239230
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;62012193
RUE;Rue des Alliés;DES ALLIES;ALLIES;62282984
RUE;Rue des Amours;DES AMOURS;AMOURS;62012175
RUE;Rue des Anciens Combattants d'Afrique Française du Nord;DES ANCIENS COMBATTANTS D AFRIQUE FRANCAISE DU NORD;NORD;125692124
RUE;Rue des Arènes;DES ARENES;ARENES;223978984
RUE;Rue des Augustins;DES AUGUSTINS;AUGUSTINS;62012197
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;62224365
RUE;Rue des Fossés;DES FOSSES;FOSSES;62012202
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;62224371
RUE;Rue des Jonquilles;DES JONQUILLES;JONQUILLES;62224366
RUE;Rue des Magnolias;DES MAGNOLIAS;MAGNOLIAS;62012183
RUE;Rue des Mésanges;DES MESANGES;MESANGES;62012166,62012170,62012209
RUE;Rue des Pervenches;DES PERVENCHES;PERVENCHES;339154001
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;223978987
RUE;Rue des Quatre Consuls;DES QUATRE CONSULS;CONSULS;62220707
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;233619487,340940565
RUE;Rue des Tamaris;DES TAMARIS;TAMARIS;62012191
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;62012182
RUE;Rue des Tourterelles;DES TOURTERELLES;TOURTERELLES;62012187
RUE;Rue des Traverses;DES TRAVERSES;TRAVERSES;64233555
RUE;Rue des Écoliers;DES ECOLIERS;ECOLIERS;62222321
RUE;Rue des Églantiers;DES EGLANTIERS;EGLANTIERS;62012167
RUE;Rue du 8 Mai;DU 8 MAI;MAI;223978985
RUE;Rue du Comte de Gaure;DU COMTE DE GAURE;GAURE;62239003
