voie;name;name_norm;last_word_norm;ways
;Boucle Pelouse Sèche;BOUCLE PELOUSE SECHE;SECHE;203364403
CHEMIN;Chemin de Montus;DE MONTUS;MONTUS;94651179
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;141671753
CHEMIN;Chemin du Réoulet;DU REOULET;REOULET;481678957
IMPASSE;Impasse de l'Alaric;DE L ALARIC;ALARIC;338054658
IMPASSE;Impasse du Réoulet;DU REOULET;REOULET;338113438
ROUTE;Route de Barbat;DE BARBAT;BARBAT;94634165
ROUTE;Route de Bernès;DE BERNES;BERNES;300070569
ROUTE;Route de l'Adour;DE L ADOUR;ADOUR;630474853
SENTIER;Sentier Rive de l'Adour;RIVE DE L ADOUR;ADOUR;203364402
SENTIER;Sentier Vers la Rive Droite;VERS LA RIVE DROITE;DROITE;297555203
SENTIER;Sentier Zone Humide;ZONE HUMIDE;HUMIDE;203364120
SENTIER;Sentier de l'Adour Rive Gauche;DE L ADOUR RIVE GAUCHE;GAUCHE;324580454,630355219
;Vers Sentier Rive Gauche;VERS SENTIER RIVE GAUCHE;GAUCHE;203364121
