voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du Souvenir Français;DU SOUVENIR FRANCAIS;FRANCAIS;616662807
AVENUE;Avenue Couziers;COUZIERS;ESTREMAOU;391137877
AVENUE;Avenue Henri Trilha;HENRI TRILHA;TRILHA;147683418
AVENUE;Avenue Jean Casse;JEAN CASSE;CASSE;391137879
AVENUE;Avenue Jules Duffort;JULES DUFFORT;DUFFORT;391137882
AVENUE;Avenue Élysée Duffréchou;ELYSEE DUFFRECHOU;DUFFRECHOU;164051147,391142276,391142277
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;153693828
CHEMIN;Chemin de Brun;DE BRUN;BRUN;201292804
CHEMIN;Chemin de Lermeterie;DE LERMETERIE;LERMETERIE;241865553
CHEMIN;Chemin de Monplaisir;DE MONPLAISIR;MONPLAISIR;446001165
CHEMIN;Chemin de Perpétuat;DE PERPETUAT;PERPETUAT;241865749
CHEMIN;Chemin de l'Estive;DE L ESTIVE;ESTIVE;241865613,241865626
CHEMIN;Chemin du Bois;DU BOIS;BOIS;201292806
CHEMIN;Chemin du Camus;DU CAMUS;CAMUS;201292800,391138552
IMPASSE;Impasse du Couvent;DU COUVENT;COUVENT;391138630
PLACE;Place Alfred Dussard;ALFRED DUSSARD;DUSSARD;391139522
PLACE;Place Daste;DASTE;DUSSARD;391139523
PLACE;Place François Mitterrand;FRANCOIS MITTERRAND;MITTERRAND;147011610,147011618,391137887
PLACE;Place du Foirail;DU FOIRAIL;FOIRAIL;391137888,391140898,616662806
RUE;Rue Albin Bibal;ALBIN BIBAL;BIBAL;147011624
RUE;Rue André Bruyère;ANDRE BRUYERE;BRUYERE;241865693
RUE;Rue Beausoleil;BEAUSOLEIL;PAUL;201292812
RUE;Rue Brochain;BROCHAIN;PERI;147011608,147011613
RUE;Rue Carrero de Las Canlevos;CARRERO DE LAS CANLEVOS;CANLEVOS;391139524
RUE;Rue Henri Nassans;HENRI NASSANS;NASSANS;391138553
RUE;Rue Jean Furcatte;JEAN FURCATTE;FURCATTE;147011620,147011628
RUE;Rue Jean Peri;JEAN PERI;PERI;147011607,147011623
RUE;Rue Jules Sabin Corties;JULES SABIN CORTIES;CORTIES;201292801,241865652
RUE;Rue Lagrange;LAGRANGE;MITTERRAND;147011614
RUE;Rue Lubas;LUBAS;MITTERRAND;147011615
RUE;Rue Marcel Paul;MARCEL PAUL;PAUL;201292811
RUE;Rue Neuve;NEUVE;BOUGUES;147011617,147011622
RUE;Rue Première Armée Française Rhin Danube;PREMIERE ARMEE FRANCAISE RHIN DANUBE;DANUBE;391140899
RUE;Rue Saint-Fris;SAINT FRIS;FRIS;73448190
RUE;Rue de Beauregard;DE BEAUREGARD;BEAUREGARD;201292807
RUE;Rue de Bougues;DE BOUGUES;BOUGUES;147011616
RUE;Rue de Chantegrenouille;DE CHANTEGRENOUILLE;CHANTEGRENOUILLE;391138554
RUE;Rue de l'Alambic;DE L ALAMBIC;ALAMBIC;147011606
RUE;Rue de l'Estremaou;DE L ESTREMAOU;ESTREMAOU;241865759
RUE;Rue de la Brèche;DE LA BRECHE;BRECHE;147011625
RUE;Rue des Jardins;DES JARDINS;JARDINS;391140900
RUE;Rue des Merles;DES MERLES;MERLES;201292810
RUE;Rue des Palombes;DES PALOMBES;PALOMBES;201292798,241865544
RUE;Rue des Pyrénées;DES PYRENEES;PYRENEES;164051149
RUE;Rue des Pénitents Blancs;DES PENITENTS BLANCS;BLANCS;147011619
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;147011627
RUE;Rue des Tourterelles;DES TOURTERELLES;TOURTERELLES;201292799,391138555
RUE;Rue du Commerce;DU COMMERCE;COMMERCE;46040909
RUE;Rue du Corps Franc Pommiès;DU CORPS FRANC POMMIES;POMMIES;391137889
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;391137890
RUE;Rue du Maquis de Meilhan;DU MAQUIS DE MEILHAN;MEILHAN;147011629
RUE;Rue du Moulin;DU MOULIN;MOULIN;146662022
RUE;Rue du Pastouret;DU PASTOURET;PASTOURET;391140901
