voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Brémontier;BREMONTIER;CANTAU;39391998
ALLEE;Allée des Cèdres;DES CEDRES;CEDRES;52273399
ALLEE;Allée des Ormeaux;DES ORMEAUX;ORMEAUX;43330807
ALLEE;Allée des Pins;DES PINS;PINS;31714708
ALLEE;Allée des Pins Francs;DES PINS FRANCS;FRANCS;52273354
ALLEE;Allée des Sables;DES SABLES;SABLES;43330870,43330871,43330872,43330979
ALLEE;Allée des Sapinettes;DES SAPINETTES;SAPINETTES;52273357
ALLEE;Allée des Vignes;DES VIGNES;VIGNES;39392170
ALLEE;Allée du Grusson;DU GRUSSON;GRUSSON;52273347
ALLEE;Allée du Luron;DU LURON;LURON;39392000
ALLEE;Allées Garros;S GARROS;GARROS;47023491
ALLEE;Allées Jean Jaurès;S JEAN JAURES;JAURES;26476478,28940712
AUTOROUTE;Autoroute des Deux Mers;DES DEUX MERS;MERS;5182230,5182232,96715937
AVENUE;Avenue Arthur Gibaud;ARTHUR GIBAUD;GIBAUD;28940859,43887311,43887312,646096024
AVENUE;Avenue Ducos du Hauron;DUCOS DU HAURON;HAURON;31770455
AVENUE;Avenue Jeanne de Devant;JEANNE DE DEVANT;DEVANT;43887290
AVENUE;Avenue Lassalle du Ciron;LASSALLE DU CIRON;CIRON;39392456,39392458,39392483
AVENUE;Avenue Léo Lagrange;LEO LAGRANGE;LAGRANGE;35011573,35011574,39392169,520343406,533600030,563939070,563941781
AVENUE;Avenue Léon Jouhaux;LEON JOUHAUX;JOUHAUX;31770770,39391996,39391997,39392002
AVENUE;Avenue Nelson Mandela;NELSON MANDELA;MANDELA;52271590,563939092
AVENUE;Avenue René Cassin;RENE CASSIN;CASSIN;43330801,43330873
AVENUE;Avenue Robert Vouin;ROBERT VOUIN;VOUIN;26478649
AVENUE;Avenue de Comberlin;DE COMBERLIN;COMBERLIN;31252844,293551081,293551082,596551412
AVENUE;Avenue de la République;DE LA REPUBLIQUE;REPUBLIQUE;25587230,26476374,454008714,454008723,485957226,485957227,485957228,485957229,563934932
AVENUE;Avenue des Résistants;DES RESISTANTS;RESISTANTS;33824470
AVENUE;Avenue du 8 Mai 1945;DU 8 MAI 1945;1945;25605938,153365669,167364527,596551415
AVENUE;Avenue Élie Samson;ELIE SAMSON;SAMSON;26478301,580189841
BOULEVARD;Boulevard François Mauriac;FRANCOIS MAURIAC;MAURIAC;31770016
BOULEVARD;Boulevard Jean Moulin;JEAN MOULIN;MOULIN;34301092
BOULEVARD;Boulevard Léon Blum;LEON BLUM;BLUM;34301094
BOULEVARD;Boulevard Pierre Lagorce;PIERRE LAGORCE;LAGORCE;25356905,25356913,25356979,25356983,25356985,25356986,25356988,25356989,138963698,138976718,138976721,488696648
BOULEVARD;Boulevard Salvador Allende;SALVADOR ALLENDE;ALLENDE;31252655,31252663,52271591,69628992,69628996,462190653,563923777,563923780,662440774,662505728
CHEMIN;Chemin de Bienvenue;DE BIENVENUE;BIENVENUE;43866631
CHEMIN;Chemin de Cantau;DE CANTAU;CANTAU;38630337
CHEMIN;Chemin de Duleau;DE DULEAU;DULEAU;43330802
CHEMIN;Chemin de Peyrot;DE PEYROT;PEYROT;38629803
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;34300988,468138460,468138461,468138462
CHEMIN;Chemin des Tanneries;DES TANNERIES;TANNERIES;34660058
CHEMIN;Chemin des Vergers;DES VERGERS;VERGERS;31252677,346052939
COURS;Cours Gambetta;GAMBETTA;AQUITAINE;26476453,470182840,483316668,483316670,563923775,563923776
COURS;Cours Sadi Carnot;SADI CARNOT;CARNOT;26478625,468008640
COURS;Cours de Verdun;DE VERDUN;VERDUN;25587125,563934936
COURS;Cours des Carmes;DES CARMES;CARMES;26478404,664449218,664449219
COURS;Cours des Fossés;DES FOSSES;FOSSES;25586826,465276297,467781002,468008641,468008642
COURS;Cours du Général Leclerc;DU GENERAL LECLERC;LECLERC;26494345,467639864,467781003,472228540,596893019,654350648
COURS;Cours du Maréchal de Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;26476457,145421490,409585768,467639866,596551426
COURS;Cours du Rocher;DU ROCHER;ROCHER;28940997,580189843
COURS;Cours du XIV Juillet;DU XIV JUILLET;JUILLET;28941626,28941643,50286158,457748577,467639867,563934940
DOMAINE;Domaine Volutis;VOLUTIS;SABLES;43330973,43330974,43330975,43330978,43330984
IMPASSE;Impasse Chantilly;CHANTILLY;PAPON;31516353
IMPASSE;Impasse Simiot;SIMIOT;VOLANT;31770701
IMPASSE;Impasse Tamagnan;TAMAGNAN;SAUZET;426423706
IMPASSE;Impasse du Clos du Cerf-Volant;DU CLOS DU CERF VOLANT;VOLANT;31770698
;La Place des Sarments;LA PLACE DES SARMENTS;SARMENTS;43866634
;Le Domaine des Vignes;LE DOMAINE DES VIGNES;VIGNES;43866635
;Le Parc de Cantau;LE PARC DE CANTAU;CANTAU;70305832
;Le Village Sauzet;LE VILLAGE SAUZET;SAUZET;365346870
;Le Village de Sauzet;LE VILLAGE DE SAUZET;SAUZET;43866419,43866424,43866452
;Les Hameaux de Gacian;LES HAMEAUX DE GACIAN;GACIAN;43866642
;Les Jardins de la Palmeraie;LES JARDINS DE LA PALMERAIE;PALMERAIE;43866434,43866436
LOTISSEMENT;Lotissement ASF;ASF;1962;555526214
LOTISSEMENT;Lotissement Couthures;COUTHURES;ORMEAUX;43330867
LOTISSEMENT;Lotissement La Plaine de Ludeman;LA PLAINE DE LUDEMAN;LUDEMAN;52273392
LOTISSEMENT;Lotissement Peyrot;PEYROT;LANGEVIN;467619188
LOTISSEMENT;Lotissement de Batan;DE BATAN;BATAN;43330803,43330804
;Marquises;MARQUISES;N;365346862
PASSAGE;Passage Gourmand;GOURMAND;1962;491207113
PLACE;Place Henri Labit;HENRI LABIT;LABIT;28939834,470182842
PLACE;Place Stephan Kotsour;STEPHAN KOTSOUR;KOTSOUR;26478615
PLACE;Place de l'Horloge;DE L HORLOGE;HORLOGE;26478276,26478347,654350654
PLACE;Place de la Libération;DE LA LIBERATION;LIBERATION;27461188
PLACE;Place du Foirail;DU FOIRAIL;FOIRAIL;28939896,28940911
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;25586824,38894291,596551416,596551419
ROND POINT;Rond-Point Gascogne;GASCOGNE;AQUITAINE;26476442,454008717,454008719,454008720
ROND POINT;Rond-Point Guyenne;GUYENNE;1945;25725099,596551413,596551414
ROND POINT;Rond-Point Languedoc;LANGUEDOC;AQUITAINE;26476447,596893025
ROND POINT;Rond-Point d'Aquitaine;D AQUITAINE;AQUITAINE;26476422
ROND POINT;Rond-Point des Graves;DES GRAVES;GRAVES;25356762,596551402,596551403,596684259,596893028
ROND POINT;Rond-Point du Sauternais;DU SAUTERNAIS;SAUTERNAIS;25356922
ROUTE;Route de Brannens;DE BRANNENS;BRANNENS;131908796
ROUTE;Route de Pargade;DE PARGADE;PARGADE;43866443
ROUTE;Route de Roaillan;DE ROAILLAN;ROAILLAN;35003481,35011575,35011576,473382215
ROUTE;Route de Villandraut;DE VILLANDRAUT;VILLANDRAUT;131908234
ROUTE;Route des Garres;DES GARRES;GARRES;39392478
ROUTE;Route du Bas;DU BAS;BAS;52271592,659965503
ROUTE;Route du Pioc;DU PIOC;PIOC;43866627
RUE;Rue Abel Gourgues;ABEL GOURGUES;GOURGUES;31252837,47119938
RUE;Rue Albert Camus;ALBERT CAMUS;CAMUS;70246055
RUE;Rue Alexandre II;ALEXANDRE II;II;107351572
RUE;Rue Amand Dumeau;AMAND DUMEAU;DUMEAU;26476726,563923783,563923784
RUE;Rue Anatole France;ANATOLE FRANCE;FRANCE;31770499
RUE;Rue André Calderon;ANDRE CALDERON;CALDERON;31770593,145421488
RUE;Rue André Malraux;ANDRE MALRAUX;MALRAUX;52273341,52273406
RUE;Rue Biran;BIRAN;BEAULIEU;26476806,664449216
RUE;Rue Brion;BRION;BEAULIEU;26476783,26478480
RUE;Rue Charles Brannens;CHARLES BRANNENS;BRANNENS;31518661,457069572,548444045,563923778
RUE;Rue Condorcet;CONDORCET;PAUL;31770649
RUE;Rue Docteur Amand Papon;DOCTEUR AMAND PAPON;PAPON;31474762,31769815
RUE;Rue Dotezac;DOTEZAC;KOTSOUR;26478616
RUE;Rue Fabre;FABRE;MIRAIL;26478259,38632220,39392908,43918870,155136062,155136063,155136064,664449223
RUE;Rue Ferrand;FERRAND;POINCARE;31770485
RUE;Rue Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;31770514
RUE;Rue Gilbert Pauly;GILBERT PAULY;PAULY;47079391
RUE;Rue Grande Péreyre;GRANDE PEREYRE;PEREYRE;70246056
RUE;Rue Guy Arcam;GUY ARCAM;ARCAM;28940983
RUE;Rue Jacques Mauriac;JACQUES MAURIAC;MAURIAC;26476535,468495034
RUE;Rue Jacques Prévert;JACQUES PREVERT;PREVERT;70240955
RUE;Rue Jean de Rancy;JEAN DE RANCY;RANCY;31519004
RUE;Rue Jules Ferry;JULES FERRY;FERRY;28940651,467640692,532416822,532416825,532416826,654350649
RUE;Rue Lafargue;LAFARGUE;THERY;26476723,605078105
RUE;Rue Longin;LONGIN;COULOUMEY;31769796
RUE;Rue Louis Labrousse;LOUIS LABROUSSE;LABROUSSE;31253058
RUE;Rue Louis et Raymond Saint-Blancard;LOUIS ET RAYMOND SAINT BLANCARD;BLANCARD;31252856,145421087,596551427
RUE;Rue Léopold Micé;LEOPOLD MICE;MICE;31516487
RUE;Rue Marcel Paul;MARCEL PAUL;PAUL;31770605,31770618
RUE;Rue Marie Curie;MARIE CURIE;CURIE;43330868
RUE;Rue Maubec;MAUBEC;DUMEAU;26476773,654350647,664449215
RUE;Rue Montaigne;MONTAIGNE;ROQUETAILLADE;31770531
RUE;Rue Montesquieu;MONTESQUIEU;ROQUETAILLADE;31770535
RUE;Rue Pasteur;PASTEUR;PAPON;31516346,31518766
RUE;Rue Paul Langevin;PAUL LANGEVIN;LANGEVIN;463921214,596893017
RUE;Rue Pierre Vignolles;PIERRE VIGNOLLES;VIGNOLLES;31714699
RUE;Rue Pourrat;POURRAT;VERGERS;31252758
RUE;Rue Raymond Poincaré;RAYMOND POINCARE;POINCARE;31770467
RUE;Rue Ronde;RONDE;DUMEAU;26476730
RUE;Rue Saint-Gervais;SAINT GERVAIS;GERVAIS;26478628,563923782,654350655
