voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Lieutenant Louis Marres;LIEUTENANT LOUIS MARRES;MARRES;29707510,175772981
AVENUE;Avenue Saint-Guilhem;SAINT GUILHEM;GUILHEM;27673390,27687226
AVENUE;Avenue de Gignac;DE GIGNAC;GIGNAC;29707602,29708546,71080472,71080482,175471362
AVENUE;Avenue des Treilles;DES TREILLES;TREILLES;150666957
BOULEVARD;Boulevard Félix Giraud;FELIX GIRAUD;GIRAUD;29707499
BOULEVARD;Boulevard Saint-Jean;SAINT JEAN;JEAN;29707583,70915521,162274958
CHEMIN;Chemin Saint Laurent;SAINT LAURENT;LAURENT;175471381
CHEMIN;Chemin Saint-Rome;SAINT ROME;ROME;122394086
CHEMIN;Chemin de Puéchauma;DE PUECHAUMA;PUECHAUMA;71165832,71165845
CHEMIN;Chemin de Pézouillet;DE PEZOUILLET;PEZOUILLET;24789339,24813590,29707257
CHEMIN;Chemin de Saint-Denis;DE SAINT DENIS;DENIS;71932615,207073135
CHEMIN;Chemin de l'Observatoire;DE L OBSERVATOIRE;OBSERVATOIRE;175471363
CHEMIN;Chemin de la Brèche;DE LA BRECHE;BRECHE;71080463,234875810,251085075
CHEMIN;Chemin de la Grange;DE LA GRANGE;GRANGE;193350523,193350524,229335014
CHEMIN;Chemin de la Rade;DE LA RADE;RADE;227513446
CHEMIN;Chemin des Conquêtes;DES CONQUETES;CONQUETES;71932617,162274959
CHEMIN;Chemin des Hauts de Saint-Rome;DES HAUTS DE SAINT ROME;ROME;554557328
CHEMIN;Chemin des Hortes;DES HORTES;HORTES;71165838,226993117
CHEMIN;Chemin des Lavandes;DES LAVANDES;LAVANDES;71080479
CHEMIN;Chemin du Bourguet Naou;DU BOURGUET NAOU;NAOU;71165875
CHEMIN;Chemin du Jougarel;DU JOUGAREL;JOUGAREL;70983053,70983056,445052354
CHEMIN;Chemin du Moulin de Siau;DU MOULIN DE SIAU;SIAU;175471364
CHEMIN;Chemin du Rocher;DU ROCHER;ROCHER;554557331,612264823
CHEMIN;Chemin du Tunnel;DU TUNNEL;TUNNEL;71932602,232233723,232233724,520405179,520405186,520405187,520405188
;DFCI HES 1;DFCI HES 1;1;239571424
IMPASSE;Impasse Michel;MICHEL;MICHEL;71080468
IMPASSE;Impasse Saint-Denis;SAINT DENIS;DENIS;220944863
IMPASSE;Impasse Saint-Rome;SAINT ROME;ROME;122394088
IMPASSE;Impasse de Puéchauma;DE PUECHAUMA;PUECHAUMA;122394093
IMPASSE;Impasse de la Grange;DE LA GRANGE;GRANGE;234875825
IMPASSE;Impasse des Barrières Basses;DES BARRIERES BASSES;BASSES;71080492
IMPASSE;Impasse des Barrières Hautes;DES BARRIERES HAUTES;HAUTES;227513447,294383919,294383920
IMPASSE;Impasse des Mattes;DES MATTES;MATTES;554557327
IMPASSE;Impasse des Pins;DES PINS;PINS;29707430
IMPASSE;Impasse du Cinsault;DU CINSAULT;CINSAULT;397262577
IMPASSE;Impasse les Jardins de Sauve;LES JARDINS DE SAUVE;SAUVE;234875812
;L'Esplanade;L ESPLANADE;ESPLANADE;71080488
LOTISSEMENT;Lotissement Camp de Sauve;CAMP DE SAUVE;SAUVE;71080497
LOTISSEMENT;Lotissement les Primevères;LES PRIMEVERES;PRIMEVERES;234875811
PASSERELLE;Passerelle des Anges;DES ANGES;ANGES;287691296
PLACE;Place de l'Église;DE L EGLISE;EGLISE;100963733
PLACE;Place des Pénitents;DES PENITENTS;PENITENTS;71080496,162274974
PLACE;Place du 8 Mai;DU 8 MAI;MAI;71080506
PLACE;Place du Pluech;DU PLUECH;PLUECH;71165837
PONT;Pont du Diable;DU DIABLE;DIABLE;54532362
ROUTE;Route de Gignac;DE GIGNAC;GIGNAC;233844709,445052355,445052356,578144828
ROUTE;Route du Disque;DU DISQUE;DISQUE;70983055,294383923,294383924
RUE;Rue Cranton;CRANTON;CRANTON;71080501
RUE;Rue Dupin;DUPIN;DUPIN;71080464
RUE;Rue Font Picotière;FONT PICOTIERE;PICOTIERE;612277640
RUE;Rue Jean Casteran;JEAN CASTERAN;CASTERAN;70915532,71080462,71080498,162274975,260284402
RUE;Rue Jean Ribot;JEAN RIBOT;RIBOT;71080503
RUE;Rue Neuve;NEUVE;NEUVE;71080455
RUE;Rue Porte Saint-Guilhem;PORTE SAINT GUILHEM;GUILHEM;70915516
