voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Béziers;DE BEZIERS;BEZIERS;238836358,238836359
AVENUE;Avenue de Saint-Chinian;DE SAINT CHINIAN;CHINIAN;238837222
AVENUE;Avenue de Saint-Just;DE SAINT JUST;JUST;174271751
AVENUE;Avenue de la République;DE LA REPUBLIQUE;REPUBLIQUE;238836996
AVENUE;Avenue de la Source;DE LA SOURCE;SOURCE;414421232
AVENUE;Avenue du Général Leclerc;DU GENERAL LECLERC;LECLERC;41401282
AVENUE;Avenue du Languedoc;DU LANGUEDOC;LANGUEDOC;174271754
AVENUE;Avenue du Stade;DU STADE;STADE;174271764
BOULEVARD;Boulevard Pasteur;PASTEUR;PASTEUR;174271749
BOULEVARD;Boulevard de Lattre de Tassigny;DE LATTRE DE TASSIGNY;TASSIGNY;304128807
BOULEVARD;Boulevard du Ruisseau;DU RUISSEAU;RUISSEAU;41401286,304128810
CHEMIN;Chemin de Combes Mouis;DE COMBES MOUIS;MOUIS;174271763
CHEMIN;Chemin de Saint-Chinian;DE SAINT CHINIAN;CHINIAN;345184442
CHEMIN;Chemin de Saint-Michel;DE SAINT MICHEL;MICHEL;174271755
CHEMIN;Chemin de la Baudière;DE LA BAUDIERE;BAUDIERE;174271748
CHEMIN;Chemin de la Bergerie;DE LA BERGERIE;BERGERIE;238837750
CHEMIN;Chemin de la Gourgue;DE LA GOURGUE;GOURGUE;414421244
CHEMIN;Chemin de la Tondude;DE LA TONDUDE;TONDUDE;414421248
CHEMIN;Chemin de la Vallovière;DE LA VALLOVIERE;VALLOVIERE;345208005,414421254
CHEMIN;Chemin des Amandines;DES AMANDINES;AMANDINES;79804686
CHEMIN;Chemin des Boumious;DES BOUMIOUS;BOUMIOUS;174271756
CHEMIN;Chemin des Rivières;DES RIVIERES;RIVIERES;174271762
CHEMIN;Chemin du Moulin d'Abram;DU MOULIN D ABRAM;ABRAM;174271757
CLOS;Clos du Moulin d'Abram;DU MOULIN D ABRAM;ABRAM;414421259
IMPASSE;Impasse Casimir Péret;CASIMIR PERET;PERET;414421271
IMPASSE;Impasse Jean-Jacques Rousseau;JEAN JACQUES ROUSSEAU;ROUSSEAU;238837974
IMPASSE;Impasse Saint-Roch;SAINT ROCH;ROCH;414421274
IMPASSE;Impasse de Saint-Just;DE SAINT JUST;JUST;304128803,414421279
IMPASSE;Impasse de l'Esplanade;DE L ESPLANADE;ESPLANADE;414421282
IMPASSE;Impasse de la Poste;DE LA POSTE;POSTE;414421285
IMPASSE;Impasse de la Rampe;DE LA RAMPE;RAMPE;414421287
IMPASSE;Impasse des Pins;DES PINS;PINS;304128781
IMPASSE;Impasse des Tilleuls;DES TILLEULS;TILLEULS;304128795
IMPASSE;Impasse du Berger;DU BERGER;BERGER;414421288
IMPASSE;Impasse du Clos des Oliviers;DU CLOS DES OLIVIERS;OLIVIERS;304128793
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;414421291
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;414421293
PLACE;Place du Onze Novembre;DU ONZE NOVEMBRE;NOVEMBRE;414421294
PLACETTE;Placette Neuve;NEUVE;NEUVE;414421298
ROUTE;Route de Quarante;DE QUARANTE;QUARANTE;174271761
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;414421300
RUE;Rue Lamartine;LAMARTINE;LAMARTINE;238837973
RUE;Rue Marcellin Albert;MARCELLIN ALBERT;ALBERT;304128787
RUE;Rue Saint-Vincent;SAINT VINCENT;VINCENT;174271750,238836434
RUE;Rue Vieille;VIEILLE;VIEILLE;414421302
RUE;Rue de la Révolution;DE LA REVOLUTION;REVOLUTION;238838115
RUE;Rue des Caves;DES CAVES;CAVES;414421304
RUE;Rue des Coins;DES COINS;COINS;238838381
RUE;Rue des Oliviers;DES OLIVIERS;OLIVIERS;304128811
RUE;Rue des Vieux Bassins;DES VIEUX BASSINS;BASSINS;304128779
RUE;Rue des Érables;DES ERABLES;ERABLES;414421306
RUE;Rue du Bellay;DU BELLAY;BELLAY;414421308
RUE;Rue du Château;DU CHATEAU;CHATEAU;414421310
RUE;Rue du Pressoir;DU PRESSOIR;PRESSOIR;304128801,304128805,414421312
RUE;Rue du Puech de la Bade;DU PUECH DE LA BADE;BADE;304128778
RUE;Rue Émile Pouytes;EMILE POUYTES;POUYTES;304128785
RUE;Rue Émile Zola;EMILE ZOLA;ZOLA;414421314
VOIE;Voie Verte Capestang - Cruzy;VERTE CAPESTANG   CRUZY;CRUZY;353913339,408310383,498744278,498744282
