voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Beauséjour;BEAUSEJOUR;MIMOSAS;174967687
AVENUE;Avenue Boutonnet;BOUTONNET;BOUVINE;27228044,171619961
AVENUE;Avenue Les Tilleuls;LES TILLEULS;TILLEULS;417433442,503438575
AVENUE;Avenue Saint-Christophe;SAINT CHRISTOPHE;CHRISTOPHE;27508016
AVENUE;Avenue d'Occitanie;D OCCITANIE;OCCITANIE;27508029,27508032
AVENUE;Avenue de la Bouvine;DE LA BOUVINE;BOUVINE;27228042,27228050,554565884
AVENUE;Avenue de la Cave Coopérative;DE LA CAVE COOPERATIVE;COOPERATIVE;24907951
AVENUE;Avenue des Cévennes;DES CEVENNES;CEVENNES;171619967,174987078,503422081
AVENUE;Avenue des Mûriers;DES MURIERS;MURIERS;27508048
AVENUE;Avenue les Bruyères;LES BRUYERES;BRUYERES;27508034
AVENUE;Avenue les Platanes;LES PLATANES;PLATANES;24907944
CHEMIN COMMUNAL;Chemin Communal de La Devèze;DE LA DEVEZE;DEVEZE;372169117
CHEMIN;Chemin de Cammau;DE CAMMAU;CAMMAU;604880072
CHEMIN;Chemin de Plombière;DE PLOMBIERE;PLOMBIERE;604880076
CHEMIN;Chemin de la Bruyère;DE LA BRUYERE;BRUYERE;604405786
CHEMIN;Chemin de la Carrierasse;DE LA CARRIERASSE;CARRIERASSE;143831849
CHEMIN;Chemin de la Font d'Aube;DE LA FONT D AUBE;AUBE;27508015
CHEMIN;Chemin de la Monnaie;DE LA MONNAIE;MONNAIE;604611804
CHEMIN;Chemin de la Monnaie (Ancienne Voie Romaine);DE LA MONNAIE (ANCIENNE VOIE ROMAINE);ROMAINE);36839370
CHEMIN;Chemin des Brus;DES BRUS;BRUS;166337212,171621922
CHEMIN;Chemin des Prés;DES PRES;PRES;143831860
CHEMIN;Chemin du Coulet;DU COULET;COULET;27508044,554565887
CHEMIN;Chemin du Frêne d'Astier;DU FRENE D ASTIER;ASTIER;329337888,604964274,604964276
CHEMIN;Chemin du Meurtre;DU MEURTRE;MEURTRE;604964286
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;174967701,329335903
CHEMIN;Chemin du Prédaïau;DU PREDAIAU;PREDAIAU;143831843,604964278
CHEMIN;Chemin du Viala;DU VIALA;VIALA;27508045
DESCENTE;Descente des Clauzes;DES CLAUZES;CLAUZES;58519497
DESCENTE;Descente les Oliviers;LES OLIVIERS;OLIVIERS;27508042
IMPASSE;Impasse Des Pins;DES PINS;PINS;27228029
;La Languedocienne;LA LANGUEDOCIENNE;LANGUEDOCIENNE;317086587,391973411
LOTISSEMENT;Lotissement Lou Grand Camp;LOU GRAND CAMP;CAMP;156278905
LOTISSEMENT;Lotissement Lou Grès II;LOU GRES II;II;171621919
PLACE;Place Chevaliers de Malte;CHEVALIERS DE MALTE;MALTE;27228030
PLACE;Place de l'Église;DE L EGLISE;EGLISE;174987079
PLACE;Place de la Pinède;DE LA PINEDE;PINEDE;27508004
PLACE;Place du Clos Fleuri;DU CLOS FLEURI;FLEURI;58519505
PLACE;Place du Dradailhon;DU DRADAILHON;DRADAILHON;174968662
PLACE;Place du Foyer;DU FOYER;FOYER;174987080
PLACE;Place du Trident;DU TRIDENT;TRIDENT;58519494
ROUTE;Route de Lunel-Viel;DE LUNEL VIEL;VIEL;174987081,554565892
ROUTE;Route de Saint-Géniès;DE SAINT GENIES;GENIES;27508036,46428293,554565893
ROUTE;Route de Verargues;DE VERARGUES;VERARGUES;27228046,27508007
RUE;Rue Basse;BASSE;CIGALES;27508011
RUE;Rue Nourrit;NOURRIT;GENIES;27508037
RUE;Rue Pioch Boucheté;PIOCH BOUCHETE;BOUCHETE;174967694
RUE;Rue Tour du Château;TOUR DU CHATEAU;CHATEAU;27508040
RUE;Rue de Camargue;DE CAMARGUE;CAMARGUE;58519500,604880071
RUE;Rue de Senat;DE SENAT;SENAT;27508030
RUE;Rue de l'Église;DE L EGLISE;EGLISE;27508028,328976869
RUE;Rue de l'Épargne;DE L EPARGNE;EPARGNE;27508023
RUE;Rue de la Barbe;DE LA BARBE;BARBE;27508020
RUE;Rue de la Bouvine;DE LA BOUVINE;BOUVINE;27506547
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;27508038
RUE;Rue des Arbousiers;DES ARBOUSIERS;ARBOUSIERS;174968663,174968664
RUE;Rue des Chardonnerets;DES CHARDONNERETS;CHARDONNERETS;27508018
RUE;Rue des Cigales;DES CIGALES;CIGALES;27508005,328976870
RUE;Rue des Clauzes;DES CLAUZES;CLAUZES;174967697,554565894
RUE;Rue des Mimosas;DES MIMOSAS;MIMOSAS;173961628
RUE;Rue des Nouvelles;DES NOUVELLES;NOUVELLES;27508033
RUE;Rue des Écoles;DES ECOLES;ECOLES;27508043
RUE;Rue du Centre;DU CENTRE;CENTRE;27508019
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;27506543
RUE;Rue du Clos des Vignes;DU CLOS DES VIGNES;VIGNES;58519504
RUE;Rue du Languedoc;DU LANGUEDOC;LANGUEDOC;27508027
RUE;Rue du Laurier Tin;DU LAURIER TIN;TIN;27506546
RUE;Rue du Marché;DU MARCHE;MARCHE;27508024
RUE;Rue du Puits;DU PUITS;PUITS;27508039
RUE;Rue du Stade;DU STADE;STADE;27228031,27506542,27508012,27508014,143831852
