voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Cambous;DE CAMBOUS;CAMBOUS;132519867,135992117
CHEMIN;Chemin de Pailhas;DE PAILHAS;PAILHAS;399030818
CHEMIN;Chemin de Peyres Canes;DE PEYRES CANES;CANES;59170752
CHEMIN;Chemin de Roussières;DE ROUSSIERES;ROUSSIERES;59170753
CHEMIN;Chemin de Viols le Fort à Montpellier;DE VIOLS LE FORT A MONTPELLIER;MONTPELLIER;359169847,359169848
CHEMIN;Chemin de l'Arnède;DE L ARNEDE;ARNEDE;59170755,258886392,282045915
CHEMIN;Chemin de la Bergerie;DE LA BERGERIE;BERGERIE;259792761
CHEMIN;Chemin de la Petite Lavogne;DE LA PETITE LAVOGNE;LAVOGNE;59170763
CHEMIN;Chemin de la Poterie;DE LA POTERIE;POTERIE;259792764
CHEMIN;Chemin des Drailles;DES DRAILLES;DRAILLES;264166658
CHEMIN;Chemin des Escalous;DES ESCALOUS;ESCALOUS;116868091
IMPASSE;Impasse de Cigalière;DE CIGALIERE;CIGALIERE;259792786
IMPASSE;Impasse de l'Olivier;DE L OLIVIER;OLIVIER;259792767
IMPASSE;Impasse des Chênes-Verts;DES CHENES VERTS;VERTS;259792769
PLACE;Place Paul Pépin;PAUL PEPIN;PEPIN;637321451
RUE;Rue Paul Pépin;PAUL PEPIN;PEPIN;132519081
SENTIER;Sentier du Château;DU CHATEAU;CHATEAU;132519614
