voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Artisans;DES ARTISANS;ARTISANS;71033186
AVENUE;Avenue Georges Pian;GEORGES PIAN;PIAN;71405527
AVENUE;Avenue d'Éole;D EOLE;EOLE;71142866
AVENUE;Avenue de la Rance;DE LA RANCE;RANCE;71142867
AVENUE;Avenue des Pins;DES PINS;PINS;71142873
AVENUE;Avenue des Sports;DES SPORTS;SPORTS;71033231
AVENUE;Avenue du Grognet;DU GROGNET;GROGNET;71033214,71033236
AVENUE;Avenue du Maréchal Juin;DU MARECHAL JUIN;JUIN;26094665,537463970
;Barrage de la Rance;BARRAGE DE LA RANCE;RANCE;46775192,151987055,230105442,230105443
BOULEVARD;Boulevard de la Libération;DE LA LIBERATION;LIBERATION;125913801
CHEMIN;Chemin Jean Langlais;JEAN LANGLAIS;LANGLAIS;127041008
CHEMIN;Chemin de Belle Entrée;DE BELLE ENTREE;ENTREE;71033209
CHEMIN;Chemin de Huet;DE HUET;HUET;196966423,268995498
CHEMIN;Chemin de la Grève;DE LA GREVE;GREVE;71033196
CHEMIN;Chemin de la Holand;DE LA HOLAND;HOLAND;71033217,71033223
CHEMIN;Chemin de la Noë;DE LA NOE;NOE;127076142
CHEMIN;Chemin de la Pagnais;DE LA PAGNAIS;PAGNAIS;71142869,197364727
CHEMIN;Chemin de la Théaudais;DE LA THEAUDAIS;THEAUDAIS;196966403,196966424
CHEMIN;Chemin de la Vallée;DE LA VALLEE;VALLEE;270552592
CHEMIN;Chemin de la Verdure;DE LA VERDURE;VERDURE;268624501
CHEMIN;Chemin de la Ville Biais;DE LA VILLE BIAIS;BIAIS;385183283
CHEMIN;Chemin des Glycines;DES GLYCINES;GLYCINES;127076143
CHEMIN;Chemin du Moulin du Rocher;DU MOULIN DU ROCHER;ROCHER;71804578
CHEMIN;Chemin du Tertou;DU TERTOU;TERTOU;71142874
COUR;Cour Beau Soleil;BEAU SOLEIL;SOLEIL;168118594
ESCALIER;Escalier Florentine-Marie Daut;FLORENTINE MARIE DAUT;DAUT;410093837
HAMEAU;Hameau de Ville Rucette;DE VILLE RUCETTE;RUCETTE;268628305
HAMEAU;Hameau de la Ville Rucette;DE LA VILLE RUCETTE;RUCETTE;268628144
IMPASSE;Impasse de Rucette;DE RUCETTE;RUCETTE;71033180
IMPASSE;Impasse de l'École;DE L ECOLE;ECOLE;71033142
IMPASSE;Impasse de l'Étang;DE L ETANG;ETANG;196966415
IMPASSE;Impasse de la Butte;DE LA BUTTE;BUTTE;127041009
IMPASSE;Impasse de la Chenotière;DE LA CHENOTIERE;CHENOTIERE;196966409
IMPASSE;Impasse de la Rance;DE LA RANCE;RANCE;71142878
IMPASSE;Impasse de la Ville Mahé;DE LA VILLE MAHE;MAHE;196966397
IMPASSE;Impasse des Baulais du Haut;DES BAULAIS DU HAUT;HAUT;71033194
IMPASSE;Impasse des Boschiaux;DES BOSCHIAUX;BOSCHIAUX;196966416
IMPASSE;Impasse des Bouvreuils;DES BOUVREUILS;BOUVREUILS;71142868
IMPASSE;Impasse des Calfats;DES CALFATS;CALFATS;127070412
IMPASSE;Impasse des Champs;DES CHAMPS;CHAMPS;127040025
