voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Chéreaux;DES CHEREAUX;CHEREAUX;173272147
ALLEE;Allée des Coutures;DES COUTURES;COUTURES;173324531
ALLEE;Allée des Mésanges;DES MESANGES;MESANGES;173324529
ALLEE;Allée des Pinsons;DES PINSONS;PINSONS;173332918
CHEMIN RURAL;Chemin Rural de Neuillay-les-Bois à la Boutardière;DE NEUILLAY LES BOIS A LA BOUTARDIERE;BOUTARDIERE;543409968,543409970
CHEMIN RURAL;Chemin Rural des Varennes aux Mardelles;DES VARENNES AUX MARDELLES;MARDELLES;543409967
CHEMIN;Chemin du Bois;DU BOIS;BOIS;329490594
CHEMIN;Chemin du Verger;DU VERGER;VERGER;329499677
CHEMIN RURAL;Chemin rural dit des Chéreaux;DIT DES CHEREAUX;CHEREAUX;173339648
CHEMIN RURAL;Chemin rural dit des Rogatis;DIT DES ROGATIS;ROGATIS;173339660
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;173332916
;Les Champs d'en Bas;LES CHAMPS D EN BAS;BAS;173274126
PLACE;Place de l'Église;DE L EGLISE;EGLISE;152898691,173274128,173332902,173332906,549424246
RUE;Rue Edme Richard;EDME RICHARD;RICHARD;127349123,145494938,173342057,566201711
RUE;Rue Haute;HAUTE;CHATEAU;173282997
RUE;Rue Louis Girard;LOUIS GIRARD;GIRARD;152898702,226851637,226851638
RUE;Rue Petite du Château;PETITE DU CHATEAU;CHATEAU;173282994
RUE;Rue de Château Fort;DE CHATEAU FORT;FORT;152898675,152898689,173272145,173272148,173272149,173272154
RUE;Rue de Chézeauneuf;DE CHEZEAUNEUF;CHEZEAUNEUF;173274127
RUE;Rue de l'Ormelle;DE L ORMELLE;ORMELLE;173272156
RUE;Rue de la Croix aux Ladres;DE LA CROIX AUX LADRES;LADRES;173324506
RUE;Rue de la Demoiselle;DE LA DEMOISELLE;DEMOISELLE;173324514
RUE;Rue de la Gare;DE LA GARE;GARE;329515173
RUE;Rue de la Grande Croix;DE LA GRANDE CROIX;CROIX;173324532
RUE;Rue de la Saura;DE LA SAURA;SAURA;173332909
RUE;Rue de la Tuilerie;DE LA TUILERIE;TUILERIE;152898701,173272153,173272157
RUE;Rue des Cours;DES COURS;COURS;152898673,173282999
RUE;Rue des Marais;DES MARAIS;MARAIS;152898666
RUE;Rue des Plantes;DES PLANTES;PLANTES;173339653
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;173324504,173324516,173324526
RUE;Rue du 11 Novembre 1918;DU 11 NOVEMBRE 1918;1918;152898694
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;152898708
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;152898710
RUE;Rue du Berry;DU BERRY;BERRY;173324515
RUE;Rue du Chemin de Ronde;DU CHEMIN DE RONDE;RONDE;173324508
RUE;Rue du Château;DU CHATEAU;CHATEAU;152898668,173272152,173272155
RUE;Rue du Clos;DU CLOS;CLOS;173324523
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;173332920
RUE;Rue du Périgord;DU PERIGORD;PERIGORD;173324507
RUE;Rue du Tecq;DU TECQ;TECQ;173332913
