voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Marronniers;DES MARRONNIERS;MARRONNIERS;163919139,281799185,456390678,456390679
;Chançay − Ancienne Poste;CHANCAY − ANCIENNE POSTE;POSTE;400514932
;Chançay − Gare SNCF;CHANCAY − GARE SNCF;SNCF;400514933,400514934
;Chançay − Mairie;CHANCAY − MAIRIE;MAIRIE;400514935,400514936
CHEMIN RURAL;Chemin Rural de Courçay à la Chollet;DE COURCAY A LA CHOLLET;CHOLLET;451755993
CHEMIN RURAL;Chemin Rural de La Baterie à la Mssotterie;DE LA BATERIE A LA MSSOTTERIE;MSSOTTERIE;451755989
CHEMIN;Chemin de Chançay;DE CHANCAY;CHANCAY;259752327
CHEMIN;Chemin de la Bourdillière;DE LA BOURDILLIERE;BOURDILLIERE;530831852
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;530831856
IMPASSE;Impasse de la Touchonnerie;DE LA TOUCHONNERIE;TOUCHONNERIE;549763051
IMPASSE;Impasse des Coquelicots;DES COQUELICOTS;COQUELICOTS;296478496
IMPASSE;Impasse des Grandes Bastes;DES GRANDES BASTES;BASTES;296478512
;Les Bastes;LES BASTES;BASTES;400514983,400514984
RUE;Rue Roche Fleurie;ROCHE FLEURIE;FLEURIE;134766790,134766791
RUE;Rue Saint-Vincent;SAINT VINCENT;VINCENT;261084629
RUE;Rue d'Amboise;D AMBOISE;AMBOISE;134766788
RUE;Rue de Vaumorin;DE VAUMORIN;VAUMORIN;127608679
RUE;Rue de l'Aube;DE L AUBE;AUBE;530831847
RUE;Rue de l'Église;DE L EGLISE;EGLISE;134770280
RUE;Rue de la Bergeonnerie;DE LA BERGEONNERIE;BERGEONNERIE;127608814
RUE;Rue de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;419545260,648234572
RUE;Rue de la Croix Rouge;DE LA CROIX ROUGE;ROUGE;296478509
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;261084627
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;406273529
RUE;Rue de la Thierrière;DE LA THIERRIERE;THIERRIERE;134732200,420644974
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;224235002
RUE;Rue des Anciens d'AFN;DES ANCIENS D AFN;AFN;43013900,224640292,418906609,418906615
RUE;Rue des Barres;DES BARRES;BARRES;127608811
RUE;Rue des Bastes;DES BASTES;BASTES;134770282
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;134778594
RUE;Rue des Tournesols;DES TOURNESOLS;TOURNESOLS;296478517
RUE;Rue des Violettes;DES VIOLETTES;VIOLETTES;127611502
RUE;Rue des Écoles;DES ECOLES;ECOLES;327242233,406280373
RUE;Rue du Château Gaillard;DU CHATEAU GAILLARD;GAILLARD;296478516
RUE;Rue du Château de Vaux;DU CHATEAU DE VAUX;VAUX;43014243
RUE;Rue du Clos Baglin;DU CLOS BAGLIN;BAGLIN;134770277,404911083
RUE;Rue du Haut Fourneau;DU HAUT FOURNEAU;FOURNEAU;406282283
RUE;Rue du Toit à Fourrai;DU TOIT A FOURRAI;FOURRAI;379007935
SENTIER;Sentier Rural de la Colinière à la Croix-Blanche;RURAL DE LA COLINIERE A LA CROIX BLANCHE;BLANCHE;648234576
VOIE;Voie Verte au Pays de Vouvray;VERTE AU PAYS DE VOUVRAY;VOUVRAY;260910737,327242252,327242254,418906610,418906611,418906612,418906616,442012991
