voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin des Pas Perdus;DES PAS PERDUS;PERDUS;60164000
CHEMIN;Chemin des Touches;DES TOUCHES;TOUCHES;62027818
;Ciran − Lotissement;CIRAN − LOTISSEMENT;LOTISSEMENT;404249522,404249523
;Ciran − École;CIRAN − ECOLE;ECOLE;404249524,404249525
IMPASSE;Impasse de la Braudière;DE LA BRAUDIERE;BRAUDIERE;60164011
;La Chaumine;LA CHAUMINE;CHAUMINE;665047295
;La Pointe;LA POINTE;POINTE;267174128
MAIL;Mail de la Mairie;DE LA MAIRIE;MAIRIE;550468952
;Niord;NIORD;DESCARTES;267174127
PLACE;Place de l'Église;DE L EGLISE;EGLISE;60163985
ROUTE;Route du Moulin Pottiers;DU MOULIN POTTIERS;POTTIERS;60163980
RUE;Rue Agnès Sorel;AGNES SOREL;SOREL;60163977
RUE;Rue Alfred de Vigny;ALFRED DE VIGNY;VIGNY;116811937
RUE;Rue George Sand;GEORGE SAND;SAND;60163987
RUE;Rue Jean-Baptiste Lanchais;JEAN BAPTISTE LANCHAIS;LANCHAIS;60164001
RUE;Rue René Descartes;RENE DESCARTES;DESCARTES;116811938,204389792
RUE;Rue de la Braudière;DE LA BRAUDIERE;BRAUDIERE;60163994
RUE;Rue des Mariés;DES MARIES;MARIES;60164007
RUE;Rue des Pas Perdus;DES PAS PERDUS;PERDUS;60163993,484584193
RUE;Rue du 8 Mai;DU 8 MAI;MAI;60163976
VOIE COMMUNALE;Voie Communale;;SOREL;60163979,60164003,62027785,62027793,62027799,62027802,62027814,62027816,62027819,62027836,62027842,62027843,62027845,62027847,62027853,554301109
