voie;name;name_norm;last_word_norm;ways
CHEMIN RURAL;Chemin Rural de Prouray à l'Érable;DE PROURAY A L ERABLE;ERABLE;546140251
ROUTE;Route de Civray;DE CIVRAY;CIVRAY;227962871
RUE;Rue Alfred Driancourt;ALFRED DRIANCOURT;DRIANCOURT;119944994
RUE;Rue Charles Fonteneau;CHARLES FONTENEAU;FONTENEAU;119944987
RUE;Rue Drouin;DROUIN;DROUIN;119945006
RUE;Rue Emile Gatillon;EMILE GATILLON;GATILLON;119944999
RUE;Rue Marcel Millet;MARCEL MILLET;MILLET;119944997
RUE;Rue Solange Grégoire;SOLANGE GREGOIRE;GREGOIRE;119945005
RUE;Rue des Jonquilles;DES JONQUILLES;JONQUILLES;119944988,119945004
RUE;Rue du Chillou;DU CHILLOU;CHILLOU;119945007
RUE;Rue du Moulin;DU MOULIN;MOULIN;119945001
RUE;Rue du Paly;DU PALY;PALY;119944979
