voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin des Coteaux;DES COTEAUX;COTEAUX;119569537
IMPASSE;Impasse de l'École;DE L ECOLE;ECOLE;119569538
IMPASSE;Impasse du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;223123499
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;545532462
RUE;Rue A et M de Nadaillac;A ET M DE NADAILLAC;NADAILLAC;223123545
RUE;Rue de Montoire;DE MONTOIRE;MONTOIRE;118994756
RUE;Rue de Tours;DE TOURS;TOURS;96316586,96316613,223123378
RUE;Rue de la Croix Saint-Nicolas;DE LA CROIX SAINT NICOLAS;NICOLAS;118994810
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;85984966
RUE;Rue des Brunelleries;DES BRUNELLERIES;BRUNELLERIES;185992380
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;223123500
RUE;Rue du 8 Mai;DU 8 MAI;MAI;118994754
RUE;Rue du Grand Beauvais;DU GRAND BEAUVAIS;BEAUVAIS;119569456
RUE;Rue du Petit Beauvais;DU PETIT BEAUVAIS;BEAUVAIS;185992378
RUE;Rue du Stade;DU STADE;STADE;185992379
