voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse Abbé Pivet;ABBE PIVET;PIVET;132369549
ROUTE;Route des Troglodytes;DES TROGLODYTES;TROGLODYTES;467818189
RUE;Rue Alfred de Vigny;ALFRED DE VIGNY;VIGNY;132369552
RUE;Rue François Rabelais;FRANCOIS RABELAIS;RABELAIS;132369553
RUE;Rue Honoré de Balzac;HONORE DE BALZAC;BALZAC;132369554
RUE;Rue Marie-Thérèse de Poix;MARIE THERESE DE POIX;POIX;132369555
RUE;Rue René Boylesves;RENE BOYLESVES;BOYLESVES;132369556
RUE;Rue René Descartes;RENE DESCARTES;DESCARTES;112711767
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;132369557,132369558
RUE;Rue des Anciens d'A.F.N.;DES ANCIENS D A F N;N;132369559,282043434
RUE;Rue des Rigaudières;DES RIGAUDIERES;RIGAUDIERES;132369560
RUE;Rue des Saulniers;DES SAULNIERS;SAULNIERS;282043433,282043435,282044066
RUE;Rue du 11 Novembre 1918;DU 11 NOVEMBRE 1918;1918;132369561
RUE;Rue du 8 Mai;DU 8 MAI;MAI;62300928
RUE;Rue du Saut du Loup;DU SAUT DU LOUP;LOUP;132369572
