voie;name;name_norm;last_word_norm;ways
ANCIEN CHEMIN;Ancien Chemin de Chagneux;DE CHAGNEUX;CHAGNEUX;25822135
;Chagneux;CHAGNEUX;CHAGNEUX;244867310,244867311
CHEMIN;Chemin de Guimetière;DE GUIMETIERE;GUIMETIERE;375298583
CHEMIN;Chemin de l'Ancienne Piscine;DE L ANCIENNE PISCINE;PISCINE;204514432
CHEMIN;Chemin des Charrets;DES CHARRETS;CHARRETS;132015723
CHEMIN;Chemin des Garrigues;DES GARRIGUES;GARRIGUES;204514391,204514436
CHEMIN;Chemin des Gorges;DES GORGES;GORGES;506632501
CHEMIN;Chemin des Réchauds;DES RECHAUDS;RECHAUDS;375371028
CHEMIN;Chemin des Verneux;DES VERNEUX;VERNEUX;234836237,401191048
CHEMIN;Chemin du Marronnier;DU MARRONNIER;MARRONNIER;375298576
CHEMIN;Chemin du Puiseau;DU PUISEAU;PUISEAU;375371022
;Cognin-les-Gorges - Le Village;COGNIN LES GORGES   LE VILLAGE;VILLAGE;244867314
IMPASSE;Impasse de Boutalaviére;DE BOUTALAVIERE;BOUTALAVIERE;375298584
IMPASSE;Impasse de Chatonnière;DE CHATONNIERE;CHATONNIERE;204514394
IMPASSE;Impasse de la Lia;DE LA LIA;LIA;375371024
IMPASSE;Impasse de la Motte;DE LA MOTTE;MOTTE;375433931
IMPASSE;Impasse de la Tour;DE LA TOUR;TOUR;8057881
IMPASSE;Impasse de la Vie du Ferron;DE LA VIE DU FERRON;FERRON;204514395
IMPASSE;Impasse des Baties;DES BATIES;BATIES;204514396
IMPASSE;Impasse des Charrets;DES CHARRETS;CHARRETS;375298575
IMPASSE;Impasse du Fleuret;DU FLEURET;FLEURET;375371027
IMPASSE;Impasse du Port;DU PORT;PORT;375433930
IMPASSE;Impasse du Rivier;DU RIVIER;RIVIER;375298574
IMPASSE;Impasse du Tilleul;DU TILLEUL;TILLEUL;204514397
LOTISSEMENT;Lotissement de la Tour;DE LA TOUR;TOUR;204514398
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;4305363,204514404,204514405,204514406
PLACE;Place du Vieux Village;DU VIEUX VILLAGE;VILLAGE;204514407
PLACE;Place du Village;DU VILLAGE;VILLAGE;204514392
PONT;Pont de Trellins;DE TRELLINS;TRELLINS;122064078
ROUTE;Route de Bassetiére;DE BASSETIERE;BASSETIERE;375371030
ROUTE;Route de Chagneux;DE CHAGNEUX;CHAGNEUX;122067594,377577483,377577486
ROUTE;Route de Guimetière;DE GUIMETIERE;GUIMETIERE;375298582
ROUTE;Route de Montchardon;DE MONTCHARDON;MONTCHARDON;375298586
ROUTE;Route de Nalletiére;DE NALLETIERE;NALLETIERE;8043596
ROUTE;Route de la Vorcière;DE LA VORCIERE;VORCIERE;35929630,234835476,627869725
ROUTE;Route des Cassiéres;DES CASSIERES;CASSIERES;25822141
ROUTE;Route du Couet;DU COUET;COUET;375298579
ROUTE;Route du Giet;DU GIET;GIET;122067619,377577488
ROUTE;Route du Rivier;DU RIVIER;RIVIER;122064080
RUE;Rue Saint-Joseph;SAINT JOSEPH;JOSEPH;4305366,204514408
RUE;Rue de Chaponnière;DE CHAPONNIERE;CHAPONNIERE;204514409
RUE;Rue de Malleval;DE MALLEVAL;MALLEVAL;4305365,22908576
RUE;Rue de l'Assemblée;DE L ASSEMBLEE;ASSEMBLEE;204514411
RUE;Rue de la Charrière;DE LA CHARRIERE;CHARRIERE;204514412
RUE;Rue de la Faure;DE LA FAURE;FAURE;13514488
RUE;Rue de la Trainière;DE LA TRAINIERE;TRAINIERE;8057893
RUE;Rue de la Vieille Église;DE LA VIEILLE EGLISE;EGLISE;4305364
RUE;Rue des Sorbiers;DES SORBIERS;SORBIERS;204514413
RUE;Rue du 29 Janvier 1944;DU 29 JANVIER 1944;1944;4305362
RUE;Rue du Pont;DU PONT;PONT;13514483,13514485,13514486
