voie;name;name_norm;last_word_norm;ways
AIRE;Aire de Poliénas;DE POLIENAS;POLIENAS;185442716
ALLEE;Allée de l'Étang;DE L ETANG;ETANG;39464415
ALLEE;Allée des Écureuils;DES ECUREUILS;ECUREUILS;102431232
ALLEE;Allée du Château;DU CHATEAU;CHATEAU;40202014,501442699,501442700
CHEMIN;Chemin Courbouril;COURBOURIL;ARMIEUX;182129685
CHEMIN;Chemin Favolière;FAVOLIERE;DRIOUX;183800137
CHEMIN;Chemin Pré Charmeil;PRE CHARMEIL;CHARMEIL;182130145
CHEMIN;Chemin Pré de la Dame;PRE DE LA DAME;DAME;300873681
CHEMIN;Chemin Triolle;TRIOLLE;ALBENC;102406533
CHEMIN;Chemin aux Hayes;AUX HAYES;HAYES;182134342
CHEMIN;Chemin aux Routes;AUX ROUTES;ROUTES;182128613
CHEMIN;Chemin d'en Voeurs;D EN VOEURS;VOEURS;182128611,496233496
CHEMIN;Chemin de Chateauneuf;DE CHATEAUNEUF;CHATEAUNEUF;539317996
CHEMIN;Chemin de Margarat;DE MARGARAT;MARGARAT;333497489,601103929
CHEMIN;Chemin de Poliénas;DE POLIENAS;POLIENAS;601103911
CHEMIN;Chemin de Rossonnet;DE ROSSONNET;ROSSONNET;182136019
CHEMIN;Chemin de Tolimond;DE TOLIMOND;TOLIMOND;496233488,601103894
CHEMIN;Chemin de Traverse;DE TRAVERSE;TRAVERSE;182128315,182128318
CHEMIN;Chemin de la Côte Belle;DE LA COTE BELLE;BELLE;182129511
CHEMIN;Chemin des Apôtres;DES APOTRES;APOTRES;183801076
CHEMIN;Chemin des Fontaines;DES FONTAINES;FONTAINES;182128576
CHEMIN;Chemin des Glières;DES GLIERES;GLIERES;182129574
CHEMIN;Chemin des Petites Mortes;DES PETITES MORTES;MORTES;102406535
CHEMIN;Chemin des Routes;DES ROUTES;ROUTES;182128612,182128616
CHEMIN;Chemin du Canal;DU CANAL;CANAL;102691760
CHEMIN;Chemin du Caroz;DU CAROZ;CAROZ;190816453,501442695,501442696
CHEMIN;Chemin du Champ de la Croix;DU CHAMP DE LA CROIX;CROIX;496233495
CHEMIN;Chemin du Droux;DU DROUX;DROUX;392861993
CHEMIN;Chemin du Vieux Four;DU VIEUX FOUR;FOUR;549864121
CHEMIN;Chemin l'Île d'Armieux;L ILE D ARMIEUX;ARMIEUX;182129684
CHEMIN;Chemin le Devez;LE DEVEZ;DEVEZ;182130154
CHEMIN;Chemin le Moirot;LE MOIROT;MOIROT;416085892
CHEMIN;Chemin les Drioux;LES DRIOUX;DRIOUX;182136513
CHEMIN;Chemin les Glairons;LES GLAIRONS;GLAIRONS;40202013,501442703,501442704
CHEMIN;Chemin les Mortes;LES MORTES;MORTES;40202012
CHEMIN;Chemin les Mounières;LES MOUNIERES;MOUNIERES;182133622
CHEMIN;Chemin les Tapes;LES TAPES;TAPES;416085896
CHEMIN;Chemin les Vorses;LES VORSES;VORSES;182134431
GRANDE RUE;Grande Rue;;VILLE;102406539
IMPASSE;Impasse Clovis Mounier;CLOVIS MOUNIER;MOUNIER;416107847
IMPASSE;Impasse de Castody;DE CASTODY;CASTODY;183800806
IMPASSE;Impasse de Champisse;DE CHAMPISSE;CHAMPISSE;102431229
IMPASSE;Impasse de Chateauneuf;DE CHATEAUNEUF;CHATEAUNEUF;601103924
IMPASSE;Impasse de la Roche;DE LA ROCHE;ROCHE;182128442
IMPASSE;Impasse des Sports;DES SPORTS;SPORTS;182135404
IMPASSE;Impasse du Château d'Eau;DU CHATEAU D EAU;EAU;102431234
IMPASSE;Impasse du Gorgeat;DU GORGEAT;GORGEAT;182128314
IMPASSE;Impasse du Lotaret;DU LOTARET;LOTARET;182135484
MONTEE;Montée des Mayettes;DES MAYETTES;MAYETTES;102406530
MONTEE;Montée du Moulin;DU MOULIN;MOULIN;151517185
ROUTE;Route Charbonnière;CHARBONNIERE;APOTRES;183801119
ROUTE;Route Pont Chapelan;PONT CHAPELAN;CHAPELAN;416085894
ROUTE;Route de Bigeollet;DE BIGEOLLET;BIGEOLLET;416085895
ROUTE;Route de Champisse;DE CHAMPISSE;CHAMPISSE;102431239
ROUTE;Route de Chateauneuf;DE CHATEAUNEUF;CHATEAUNEUF;415873888
ROUTE;Route de Favolière;DE FAVOLIERE;FAVOLIERE;183800807
ROUTE;Route de Linage;DE LINAGE;LINAGE;182128317
ROUTE;Route de Rochefort;DE ROCHEFORT;ROCHEFORT;415113760
ROUTE;Route de Tullins;DE TULLINS;TULLINS;415874760
ROUTE;Route de Vinay;DE VINAY;VINAY;102457776,475042644
ROUTE;Route de l'Albenc;DE L ALBENC;ALBENC;102406532,102406538
ROUTE;Route de l'Ormandière;DE L ORMANDIERE;ORMANDIERE;415332676
ROUTE;Route de la Gare;DE LA GARE;GARE;379806203
ROUTE;Route de la Plaine;DE LA PLAINE;PLAINE;102406528
ROUTE;Route de la Roche;DE LA ROCHE;ROCHE;102406534
ROUTE;Route de la Thivollière;DE LA THIVOLLIERE;THIVOLLIERE;102426476
ROUTE;Route de la Ville;DE LA VILLE;VILLE;102406536
ROUTE;Route des Antonnières;DES ANTONNIERES;ANTONNIERES;38710514
ROUTE;Route des Essarts;DES ESSARTS;ESSARTS;415873887
ROUTE;Route des Faviers;DES FAVIERS;FAVIERS;182133621
ROUTE;Route des Grandes Vignes;DES GRANDES VIGNES;VIGNES;102406529
ROUTE;Route des Gravières;DES GRAVIERES;GRAVIERES;102426475
ROUTE;Route des Mièges;DES MIEGES;MIEGES;102431233
ROUTE;Route des Roches;DES ROCHES;ROCHES;102691694
ROUTE;Route des Étangs de Montenas;DES ETANGS DE MONTENAS;MONTENAS;8057811
ROUTE;Route du 19 Mars 1962;DU 19 MARS 1962;1962;102406531
ROUTE;Route du Guy;DU GUY;GUY;415874761
ROUTE;Route du Moulin;DU MOULIN;MOULIN;102139616,501442693,501442694
ROUTE;Route du Pont Rouge;DU PONT ROUGE;ROUGE;182134949,501442731,501442732
ROUTE;Route du Puits;DU PUITS;PUITS;8057800
ROUTE;Route les Morrelières;LES MORRELIERES;MORRELIERES;416085897
ROUTE;Route les Pautres;LES PAUTRES;PAUTRES;340409434
ROUTE;Route les Verchamps;LES VERCHAMPS;VERCHAMPS;102426469
ROUTE;Route les Vignes;LES VIGNES;VIGNES;182135791
RUE;Rue de la Marcousse;DE LA MARCOUSSE;MARCOUSSE;415332675
RUE;Rue du Gorgeat;DU GORGEAT;GORGEAT;182128233
;Service Autoroute;SERVICE AUTOROUTE;AUTOROUTE;69042215
VOIE;Voie verte des berges de l'Isère;VERTE DES BERGES DE L ISERE;ISERE;173095022,501259448,501259449
