voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Catinière;CATINIERE;COMBE;59208751
CHEMIN;Chemin de Collonges;DE COLLONGES;COLLONGES;218673280
CHEMIN;Chemin de la Bourbre;DE LA BOURBRE;BOURBRE;243531405,243531406
CHEMIN;Chemin de la Brocardière;DE LA BROCARDIERE;BROCARDIERE;59171796,312248224
CHEMIN;Chemin de la Chapelle;DE LA CHAPELLE;CHAPELLE;59208745
CHEMIN;Chemin de la Croix;DE LA CROIX;CROIX;218673282
CHEMIN;Chemin de la Grepatière;DE LA GREPATIERE;GREPATIERE;59208753
CHEMIN;Chemin de la Source;DE LA SOURCE;SOURCE;360746442
CHEMIN;Chemin des Allimards;DES ALLIMARDS;ALLIMARDS;360746443
CHEMIN;Chemin des Bois;DES BOIS;BOIS;59208743
CHEMIN;Chemin des Fosges;DES FOSGES;FOSGES;59208747,145257074
CHEMIN;Chemin des Fougères;DES FOUGERES;FOUGERES;59208735,59208763,413181940
CHEMIN;Chemin des Trois Chênes;DES TROIS CHENES;CHENES;59198186
CHEMIN;Chemin du Barriot;DU BARRIOT;BARRIOT;59208758,220971872
CHEMIN;Chemin du Bois Rayer;DU BOIS RAYER;RAYER;57841110
CHEMIN;Chemin du Brenier;DU BRENIER;BRENIER;59208738
CHEMIN;Chemin du Combeau;DU COMBEAU;COMBEAU;37683606
CHEMIN;Chemin du Fayet;DU FAYET;FAYET;184252749
CHEMIN;Chemin du Petit Buclas;DU PETIT BUCLAS;BUCLAS;360746444
CHEMIN;Chemin du Poutat;DU POUTAT;POUTAT;360746445
;GR65;GR65;BAZIN;107541857,289042805
IMPASSE;Impasse de Biol;DE BIOL;BIOL;222970868
IMPASSE;Impasse de Châteaufeuillet;DE CHATEAUFEUILLET;CHATEAUFEUILLET;184252640
IMPASSE;Impasse de la Combe;DE LA COMBE;COMBE;59208750
IMPASSE;Impasse de la Corniole;DE LA CORNIOLE;CORNIOLE;219418725
IMPASSE;Impasse de la Mare;DE LA MARE;MARE;59208742
IMPASSE;Impasse des Durands;DES DURANDS;DURANDS;59208746
IMPASSE;Impasse des Promeneurs;DES PROMENEURS;PROMENEURS;59208736
IMPASSE;Impasse des Prés;DES PRES;PRES;59208739
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;360918751
IMPASSE;Impasse du Vernatet;DU VERNATET;VERNATET;289042804
;Les Routes Le Mont;LES ROUTES LE MONT;MONT;57898983
MONTEE;Montée de Bazin;DE BAZIN;BAZIN;59208762,145254162
ROUTE;Route de la Bougentière;DE LA BOUGENTIERE;BOUGENTIERE;245407537
ROUTE;Route de la Vallée;DE LA VALLEE;VALLEE;39496594
ROUTE;Route des Allimards;DES ALLIMARDS;ALLIMARDS;57943039
ROUTE;Route des Anciennes Carrières;DES ANCIENNES CARRIERES;CARRIERES;360918753
ROUTE;Route du 19 Mars 1962;DU 19 MARS 1962;1962;59208744
ROUTE;Route du Centre;DU CENTRE;CENTRE;37683605,59208737
ROUTE;Route du Lac;DU LAC;LAC;59208756
ROUTE;Route du Passage;DU PASSAGE;PASSAGE;39496593
ROUTE;Route du Poutat;DU POUTAT;POUTAT;58065404
ROUTE;Route du Val de Bourbre;DU VAL DE BOURBRE;BOURBRE;219625994
ROUTE;Route du Vieux Saint-Ondras;DU VIEUX SAINT ONDRAS;ONDRAS;59208754,145249887,145250065,220971874,244951226
RUE;Rue Maupassant;MAUPASSANT;BOURBRE;220551309,360918758
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;219418726
SENTIER;Sentier des Taillis;DES TAILLIS;TAILLIS;145257387
