voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Erythrônes;DES ERYTHRONES;ERYTHRONES;119746512
CHEMIN;Chemin de Lonaz;DE LONAZ;LONAZ;185504213
CHEMIN;Chemin de Marsonnas;DE MARSONNAS;MARSONNAS;185504214,664527735
CHEMIN;Chemin du Chanelet;DU CHANELET;CHANELET;119746502
CHEMIN;Chemin du Cuquelu;DU CUQUELU;CUQUELU;185501327,579724685
;Grande Rue;GRANDE RUE;RUE;185486110
IMPASSE;Impasse André Charrière;ANDRE CHARRIERE;CHARRIERE;119746534
IMPASSE;Impasse Charles Charrière;CHARLES CHARRIERE;CHARRIERE;119746529
IMPASSE;Impasse Sur Chaux;SUR CHAUX;CHAUX;337861880
IMPASSE;Impasse des Frênes;DES FRENES;FRENES;185504215
IMPASSE;Impasse des Primevères;DES PRIMEVERES;PRIMEVERES;119746533
IMPASSE;Impasse des Roses;DES ROSES;ROSES;430874572
IMPASSE;Impasse du Bercail;DU BERCAIL;BERCAIL;185501329
IMPASSE;Impasse du Souvenir;DU SOUVENIR;SOUVENIR;185501330
;Le Molard;LE MOLARD;MOLARD;185504733
LOTISSEMENT;Lotissement les Jonquilles;LES JONQUILLES;JONQUILLES;185504227,185504229,252128236
PLACE;Place Jean Buffavand;JEAN BUFFAVAND;BUFFAVAND;185501328
PLACE;Place Louis Delorme;LOUIS DELORME;DELORME;317092419,430874573
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;498325782
ROUTE;Route d'Arnans;D ARNANS;ARNANS;237640638
ROUTE;Route de Condamine;DE CONDAMINE;CONDAMINE;185486106
ROUTE;Route de Lains;DE LAINS;LAINS;498325771
ROUTE;Route de Montdidier;DE MONTDIDIER;MONTDIDIER;185504216
ROUTE;Route de Saint-Julien;DE SAINT JULIEN;JULIEN;498325784
ROUTE;Route de Valfin;DE VALFIN;VALFIN;60432524
ROUTE;Route de Villeneuve;DE VILLENEUVE;VILLENEUVE;464794944
ROUTE;Route du Jura;DU JURA;JURA;430874574
ROUTE;Route du Mont;DU MONT;MONT;185501331
RUE;Rue Greffut;GREFFUT;GREFFUT;498325788,498325789
RUE;Rue de l'École;DE L ECOLE;ECOLE;430874575
RUE;Rue de la Croix;DE LA CROIX;CROIX;430874576,430874577
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;119746516,185504731,579724608
RUE;Rue de la Fruitière;DE LA FRUITIERE;FRUITIERE;185501332
RUE;Rue de la Roche des Brandons;DE LA ROCHE DES BRANDONS;BRANDONS;119746528,185501334
RUE;Rue des Champs Rouges;DES CHAMPS ROUGES;ROUGES;185504217
RUE;Rue des Crocus;DES CROCUS;CROCUS;185501336,252128151
RUE;Rue des Célibataires;DES CELIBATAIRES;CELIBATAIRES;119746527
RUE;Rue des Fours;DES FOURS;FOURS;185504230
RUE;Rue des Lilas;DES LILAS;LILAS;185504218,262728768
RUE;Rue des Mûres;DES MURES;MURES;185504732
RUE;Rue des Narcisses;DES NARCISSES;NARCISSES;119746521
RUE;Rue des Noisetiers;DES NOISETIERS;NOISETIERS;513644838
RUE;Rue des Roches;DES ROCHES;ROCHES;185504219
RUE;Rue des Saules;DES SAULES;SAULES;185504220,664527733
RUE;Rue des Vernes;DES VERNES;VERNES;185504221
RUE;Rue des Violettes;DES VIOLETTES;VIOLETTES;185501337
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;185486114,498325786,562245402
RUE;Rue du Chêne;DU CHENE;CHENE;430874578
RUE;Rue du Cotet;DU COTET;COTET;119746505
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;119746530
RUE;Rue du Moularot;DU MOULAROT;MOULAROT;185502744
RUE;Rue du Puits;DU PUITS;PUITS;185486109
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;185501338
