voie;name;name_norm;last_word_norm;ways
;Clef Bernard;CLEF BERNARD;BERNARD;255654668
;Meix des Voidets;MEIX DES VOIDETS;VOIDETS;276702203
ROUTE;Route de Lons-le-Saunier;DE LONS LE SAUNIER;SAUNIER;453308497,607435653
RUE;Rue Principale;PRINCIPALE;ETANG;244235796
RUE;Rue de Champrougier;DE CHAMPROUGIER;CHAMPROUGIER;376382846
RUE;Rue de l'Ancien Chalet;DE L ANCIEN CHALET;CHALET;244235789
RUE;Rue de l'École;DE L ECOLE;ECOLE;244235788
RUE;Rue de la Sorgiat;DE LA SORGIAT;SORGIAT;255654660,276701913
RUE;Rue des Fouillés;DES FOUILLES;FOUILLES;276701912
RUE;Rue du Grand Étang;DU GRAND ETANG;ETANG;244235790
ETANG;Étang du Roselet;DU ROSELET;ROSELET;276702504
