voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Balerne;DE BALERNE;BALERNE;252282291,561903694,561903695
CHEMIN;Chemin de la Fontenette;DE LA FONTENETTE;FONTENETTE;250135584
CHEMIN;Chemin de la Voie de la Sauge;DE LA VOIE DE LA SAUGE;SAUGE;250135635
CHEMIN;Chemin des Champs Ferru;DES CHAMPS FERRU;FERRU;226125999,321927658
CHEMIN;Chemin des Plainiaux;DES PLAINIAUX;PLAINIAUX;226125997
CHEMIN;Chemin des Saugettes;DES SAUGETTES;SAUGETTES;250135578
CHEMIN;Chemin du Marais;DU MARAIS;MARAIS;226125996
LOTISSEMENT;Lotissement Sur le Puits;SUR LE PUITS;PUITS;250135604
ROUTE;Route de Loulle;DE LOULLE;LOULLE;577465336
RUE;Rue Alain Besançon;ALAIN BESANCON;BESANCON;226126004
RUE;Rue Principale;PRINCIPALE;LANCOT;40109895,40109898
RUE;Rue de Perrière;DE PERRIERE;PERRIERE;226126000,321927662,587389713
RUE;Rue de Traverse;DE TRAVERSE;TRAVERSE;250135627
RUE;Rue de l'École;DE L ECOLE;ECOLE;321927663
RUE;Rue de l'Église;DE L EGLISE;EGLISE;226126002,321927664
RUE;Rue de la Balerne;DE LA BALERNE;BALERNE;40109896
RUE;Rue de la Combe;DE LA COMBE;COMBE;321927665
RUE;Rue de la Cure;DE LA CURE;CURE;226125998
RUE;Rue du Stade;DU STADE;STADE;149202227,226126003
