voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de l'Épinay;DE L EPINAY;EPINAY;240940209
CHEMIN;Chemin de la Guide;DE LA GUIDE;GUIDE;72111712,508676415,596973873,596973877,596973881,596973883,596973886,647268828
CHEMIN;Chemin de la Plage;DE LA PLAGE;PLAGE;85945308
CHEMIN;Chemin de la Trêche;DE LA TRECHE;TRECHE;238498423
CHEMIN;Chemin du Calvaire;DU CALVAIRE;CALVAIRE;205603271,205623953
CHEMIN;Chemin du Pompage;DU POMPAGE;POMPAGE;105168157
CHEMIN;Chemin du Stade;DU STADE;STADE;85945306,85945311,85945312
GRANDE RUE;Grande Rue;;GRANCHER;332531529,420289703,586358011,586358015,647268785,647268786,647268788,647268814,647268820
PLACE;Place de l'Église;DE L EGLISE;EGLISE;211948435
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;72111711,72111721
;Près de la Frairie;PRES DE LA FRAIRIE;FRAIRIE;84092889
ROUTE;Route d'Orgelet;D ORGELET;ORGELET;209787096,209787097,332531547,508672147,647268787
ROUTE;Route de Blaisnay;DE BLAISNAY;BLAISNAY;84088886,84092880
ROUTE;Route de Blesnay;DE BLESNAY;BLESNAY;84087853
ROUTE;Route de Lons;DE LONS;LONS;647189768
ROUTE;Route de Poitte;DE POITTE;POITTE;209787105,647268821
ROUTE;Route de la Saisse;DE LA SAISSE;SAISSE;37577362,83247441,224740471,224740472,647268825,650775790,650775791,650775792,667693845
RUE;Rue Bernard Thurel;BERNARD THUREL;THUREL;72111716,507196279,586358018
RUE;Rue Curtil Gauthier;CURTIL GAUTHIER;GAUTHIER;85446899,85446903,264915046
RUE;Rue Gutt Grancher;GUTT GRANCHER;GRANCHER;85945310
RUE;Rue Pierre Morel;PIERRE MOREL;MOREL;84092876,84092884
RUE;Rue Tristan;TRISTAN;MOREL;84092881,84092886,264913826
RUE;Rue de la Gare;DE LA GARE;GARE;72111723,647268784,647268811,647268812
RUE;Rue des Artisans;DES ARTISANS;ARTISANS;85446907
RUE;Rue des Chevilles;DES CHEVILLES;CHEVILLES;84092871,84092877,84092883,84092890,507317111
RUE;Rue des Cités;DES CITES;CITES;105168165
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;37577359,85446904,85446908,85446909,85446910,85446912,510237243
RUE;Rue du Crès;DU CRES;CRES;85945307
RUE;Rue du Gutt Grancher;DU GUTT GRANCHER;GRANCHER;241232094
