voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Fontaine au Loup;DE LA FONTAINE AU LOUP;LOUP;96883734,96993211
CHEMIN;Chemin de la Latte;DE LA LATTE;LATTE;96758815
CHEMIN;Chemin de la Lune;DE LA LUNE;LUNE;95558006
CHEMIN;Chemin des Tilleuls;DES TILLEULS;TILLEULS;96758817
CHEMIN;Chemin du Clos;DU CLOS;CLOS;96758809
CHEMIN;Chemin du Vieux Chêne;DU VIEUX CHENE;CHENE;96883719
IMPASSE;Impasse du Village;DU VILLAGE;VILLAGE;96758823
ROUTE;Route de Chalain;DE CHALAIN;CHALAIN;96758819
ROUTE;Route de Crançot;DE CRANCOT;CRANCOT;40763086
ROUTE;Route de Lons;DE LONS;LONS;96758821
ROUTE;Route de Publy;DE PUBLY;PUBLY;96758818
ROUTE;Route de la Gare de Publy;DE LA GARE DE PUBLY;PUBLY;95558020
RUE;Rue de l'École;DE L ECOLE;ECOLE;96758808
RUE;Rue de l'Église;DE L EGLISE;EGLISE;96758833,96758834
RUE;Rue de la Facette;DE LA FACETTE;FACETTE;96758820
RUE;Rue de la Perouse;DE LA PEROUSE;PEROUSE;96758811
RUE;Rue des Cartes;DES CARTES;CARTES;96758813,96758816
RUE;Rue des Fontaines;DES FONTAINES;FONTAINES;251638085
RUE;Rue du Château;DU CHATEAU;CHATEAU;96758825,96758829
RUE;Rue du Saugeais;DU SAUGEAIS;SAUGEAIS;96758822
RUELLE;Ruelle de la Hie;DE LA HIE;HIE;96758812
;Sur le Mont;SUR LE MONT;MONT;96883709,96993212
