voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Lacrauste;DE LACRAUSTE;LACRAUSTE;406639385
CHEMIN DEPARTEMENTAL;Chemin Départemental 351 de Saint-Perdon à Maurrin;351 DE SAINT PERDON A MAURRIN;MAURRIN;106496319,327943563,337344742
CHEMIN;Chemin de Bigarre;DE BIGARRE;BIGARRE;406639415
CHEMIN;Chemin de Palot;DE PALOT;PALOT;406639450
CHEMIN;Chemin de Parroc;DE PARROC;PARROC;406639451
CHEMIN;Chemin de Pernauton;DE PERNAUTON;PERNAUTON;365806703
CHEMIN;Chemin de Postillon;DE POSTILLON;POSTILLON;406639457
CHEMIN;Chemin de Pèdelay;DE PEDELAY;PEDELAY;406639458
CHEMIN;Chemin du Petit Mirail;DU PETIT MIRAIL;MIRAIL;406639483
IMPASSE;Impasse Péoublanc;PEOUBLANC;PEOUBLANC;406639503
IMPASSE;Impasse de Cournaou;DE COURNAOU;COURNAOU;365806706
IMPASSE;Impasse de Parroc;DE PARROC;PARROC;406639510
IMPASSE;Impasse de Pétepau;DE PETEPAU;PETEPAU;406639511
IMPASSE;Impasse de la Fontaine;DE LA FONTAINE;FONTAINE;366343014
ROUTE;Route d'Aurice;D AURICE;AURICE;140214499
ROUTE;Route de Aurice;DE AURICE;AURICE;93692388
ROUTE;Route de Haut Mauco;DE HAUT MAUCO;MAUCO;334212169,334478007
ROUTE;Route de Lagante;DE LAGANTE;LAGANTE;158477163
ROUTE;Route de Leyseres;DE LEYSERES;LEYSERES;224409731
ROUTE;Route de Mont de Marsan;DE MONT DE MARSAN;MARSAN;25584981,334358696,334362283
ROUTE;Route de Saint-Sever;DE SAINT SEVER;SEVER;25584957,25584991,327943564
VOIE;Voie de Désenclavement;DE DESENCLAVEMENT;DESENCLAVEMENT;180915584,180915585
