voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Basta;DE BASTA;BASTA;174831514
CHEMIN;Chemin de Charpant;DE CHARPANT;CHARPANT;233550926
CHEMIN;Chemin de Corceils;DE CORCEILS;CORCEILS;174831455
CHEMIN;Chemin de Gestède;DE GESTEDE;GESTEDE;233550849
CHEMIN;Chemin de Lacrouzade;DE LACROUZADE;LACROUZADE;233550931
CHEMIN;Chemin de Larroque;DE LARROQUE;LARROQUE;624712458
CHEMIN;Chemin de Lartigue;DE LARTIGUE;LARTIGUE;374001261
CHEMIN;Chemin de Marticot;DE MARTICOT;MARTICOT;233550972
CHEMIN;Chemin de Monein;DE MONEIN;MONEIN;233550924
CHEMIN;Chemin de Peyroux;DE PEYROUX;PEYROUX;624712457
CHEMIN;Chemin de Puyaire;DE PUYAIRE;PUYAIRE;233550903
CHEMIN;Chemin de Spalette;DE SPALETTE;SPALETTE;233550870
CHEMIN;Chemin de l'Arriou;DE L ARRIOU;ARRIOU;174831343
CHEMIN;Chemin du Moulin de Gestède;DU MOULIN DE GESTEDE;GESTEDE;374001265
CHEMIN;Chemin du Quillet;DU QUILLET;QUILLET;174831443
CHEMIN;Cheminde Balieyre;DE BALIEYRE;BALIEYRE;404123243,404123244
IMPASSE;Impasse de Tartas;DE TARTAS;TARTAS;233550963
IMPASSE;Impasse de la Gravière;DE LA GRAVIERE;GRAVIERE;374001270
IMPASSE;Impasse du Ristiou;DU RISTIOU;RISTIOU;233550857
IMPASSE;Impasse du Tourneur;DU TOURNEUR;TOURNEUR;233550962
LOTISSEMENT;Lotissement Camdigas;CAMDIGAS;CAMDIGAS;233550922,233550955
PISTE;Piste des Kiwis;DES KIWIS;KIWIS;218611932
PLACE;Place de Montgaillard;DE MONTGAILLARD;MONTGAILLARD;374001272
PLACE;Place de Pampara;DE PAMPARA;PAMPARA;70602204
ROUTE;Route d'Orthevielle;D ORTHEVIELLE;ORTHEVIELLE;130385884
ROUTE;Route de Condom;DE CONDOM;CONDOM;374001275,374001276
ROUTE;Route de Dax;DE DAX;DAX;39676187,39676188,233550845
ROUTE;Route de Hourcs;DE HOURCS;HOURCS;174831346
ROUTE;Route de Lahourcade;DE LAHOURCADE;LAHOURCADE;70604696
ROUTE;Route de Libarey;DE LIBAREY;LIBAREY;173424497
ROUTE;Route de Maoumic;DE MAOUMIC;MAOUMIC;129908205
ROUTE;Route de la Sablière;DE LA SABLIERE;SABLIERE;70604831
ROUTE;Route des Gaves;DES GAVES;GAVES;70602206
ROUTE;Route des Lavoirs;DES LAVOIRS;LAVOIRS;130385885
ROUTE;Route du Bayle;DU BAYLE;BAYLE;233550873
ROUTE;Route du Tuc;DU TUC;TUC;88928091,249358986,249358987
RUE;Rue Bergès;BERGES;BERGES;233550862
RUE;Rue Lamouliatte;LAMOULIATTE;LAMOULIATTE;233550899
RUE;Rue de Mongay;DE MONGAY;MONGAY;374001279
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;70602207,374001280
RUE;Rue de la Poste;DE LA POSTE;POSTE;233550939
RUE;Rue des Genêts;DES GENETS;GENETS;374001281
RUE;Rue des Lilas;DES LILAS;LILAS;374001282
RUE;Rue des Mimosas;DES MIMOSAS;MIMOSAS;233550938
RUE;Rue des Tulipes;DES TULIPES;TULIPES;233550948
