voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Coulée;DE LA COULEE;COULEE;584963767
CHEMIN;Chemin des Moines;DES MOINES;MOINES;206912671
CHEMIN;Chemin des Soldats;DES SOLDATS;SOLDATS;162560436,162560448,518663174
CHEMIN;Chemin du Roi;DU ROI;ROI;206912675
GRANDE RUE;Grande Rue;;AVARAY;162560430,162560441,518663162
ROUTE;Route d'Avaray;D AVARAY;AVARAY;160527470
ROUTE;Route de Courbouzon;DE COURBOUZON;COURBOUZON;208119833
RUE;Rue Baudière;BAUDIERE;SOLDATS;162560440
RUE;Rue Buzus;BUZUS;SOLDATS;162560450
RUE;Rue de Champsort;DE CHAMPSORT;CHAMPSORT;157306962
RUE;Rue de Coulvrin;DE COULVRIN;COULVRIN;208123448
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;162560458
RUE;Rue des Colombiers;DES COLOMBIERS;COLOMBIERS;518663178
RUE;Rue des Colombiers Prolongée;DES COLOMBIERS PROLONGEE;PROLONGEE;584963768
RUE;Rue des Trois Cailloux;DES TROIS CAILLOUX;CAILLOUX;162560456
RUE;Rue des Écoles;DES ECOLES;ECOLES;518663163
RUE;Rue du Carroir;DU CARROIR;CARROIR;162560455
SENTIER;Sentiers des Reberts;S DES REBERTS;REBERTS;208325536
