voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Beauregard;DE BEAUREGARD;BEAUREGARD;24660873
ALLEE;Allée de Benne;DE BENNE;BENNE;193565375
ALLEE;Allée de Boulogne;DE BOULOGNE;BOULOGNE;193547431,331997388
ALLEE;Allée de Chailles à Mont-près-Chambord;DE CHAILLES A MONT PRES CHAMBORD;CHAMBORD;388234778,471902988
ALLEE;Allée de Clénord;DE CLENORD;CLENORD;246393180
ALLEE;Allée de Pezay;DE PEZAY;PEZAY;88090504
ALLEE;Allée de la Duchesse de Châteauroux;DE LA DUCHESSE DE CHATEAUROUX;CHATEAUROUX;125694373
ALLEE;Allée de la Gare;DE LA GARE;GARE;190592441
ALLEE;Allée de la Reine de Navarre;DE LA REINE DE NAVARRE;NAVARRE;23375060
ALLEE;Allée des Bruyères;DES BRUYERES;BRUYERES;368177441
ALLEE;Allée des Fougères;DES FOUGERES;FOUGERES;190585775
ALLEE;Allée des Pâtis;DES PATIS;PATIS;264209574
ALLEE;Allée des Ragottinières;DES RAGOTTINIERES;RAGOTTINIERES;190714739
ALLEE;Allée du Parc;DU PARC;PARC;26994123
ALLEE;Allée du Roi de Pologne;DU ROI DE POLOGNE;POLOGNE;30413500
CHEMIN;Chemin Vert;VERT;VERT;190592438
CHEMIN;Chemin de l'Aubert;DE L AUBERT;AUBERT;368177443
CHEMIN;Chemin de la Coquerie;DE LA COQUERIE;COQUERIE;549054867,549054868
CHEMIN;Chemin de la Mazaudière;DE LA MAZAUDIERE;MAZAUDIERE;538305430
CHEMIN;Chemin de la Taille;DE LA TAILLE;TAILLE;368177447
CHEMIN;Chemin de la Vallée des Calauzières;DE LA VALLEE DES CALAUZIERES;CALAUZIERES;330384752
CHEMIN;Chemin des Barrières;DES BARRIERES;BARRIERES;368177452,368177454
CHEMIN;Chemin des Brosses;DES BROSSES;BROSSES;330384753
CHEMIN;Chemin des Filaines;DES FILAINES;FILAINES;368177457,368177458
CHEMIN;Chemin des Gravelles;DES GRAVELLES;GRAVELLES;536906592
CHEMIN;Chemin des Prairies de la Corne;DES PRAIRIES DE LA CORNE;CORNE;264211413
CHEMIN;Chemin des Prés de la Fontaine;DES PRES DE LA FONTAINE;FONTAINE;130332642,190707278,190707281
CHEMIN;Chemin des Terres Vagues;DES TERRES VAGUES;VAGUES;368177460
CHEMIN;Chemin des Varennes;DES VARENNES;VARENNES;190592451
CHEMIN;Chemin du Bisson;DU BISSON;BISSON;190585788
