voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de la Gare;DE LA GARE;GARE;86355807
CHEMIN;Chemin de Tourailles au Bas-Breuil;DE TOURAILLES AU BAS BREUIL;BREUIL;86381885
CHEMIN;Chemin du Bas-Breuil;DU BAS BREUIL;BREUIL;86356119
CHEMIN;Chemin du Ruisseau;DU RUISSEAU;RUISSEAU;86356165
GRANDE RUE;Grande Rue;;PAIX;5003954
IMPASSE;Impasse Huche-Pie;HUCHE PIE;PIE;364609657
IMPASSE;Impasse du Gas;DU GAS;GAS;568710686
;Le Dessus de la Buche;LE DESSUS DE LA BUCHE;BUCHE;310067220,310067225
ROUTE;Route Communale de Villefrancoeur à La Chapelle Vendômoise;COMMUNALE DE VILLEFRANCOEUR A LA CHAPELLE VENDOMOISE;VENDOMOISE;86350218
RUE;Rue Courteras;COURTERAS;PLANTES;128175742
RUE;Rue Lavoisier;LAVOISIER;ECOLE;86351249
RUE;Rue de Saint-Avertin;DE SAINT AVERTIN;AVERTIN;86356120
RUE;Rue de l'École;DE L ECOLE;ECOLE;86351248
RUE;Rue de la Bigotterie;DE LA BIGOTTERIE;BIGOTTERIE;86350219
RUE;Rue de la Cognée;DE LA COGNEE;COGNEE;86357646,337996914
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;86351023
RUE;Rue de la Mare;DE LA MARE;MARE;364609655
RUE;Rue de la Ménerie;DE LA MENERIE;MENERIE;86356164
RUE;Rue des Glomières;DES GLOMIERES;GLOMIERES;128175746
RUE;Rue des Plantes;DES PLANTES;PLANTES;128172466
RUE;Rue des Rottes Vertes;DES ROTTES VERTES;VERTES;128175754,337996915
RUE;Rue du Cormier;DU CORMIER;CORMIER;128175750
RUE;Rue du Loriot;DU LORIOT;LORIOT;128175744
RUE;Rue du Moulin;DU MOULIN;MOULIN;42270961
RUE;Rue du Poirier Vert;DU POIRIER VERT;VERT;364609658
RUE;Rue du Prieuré;DU PRIEURE;PRIEURE;42270960
RUE;Rue les Clos du Village;LES CLOS DU VILLAGE;VILLAGE;364609652
SENTIER;Sentier des Ruches;DES RUCHES;RUCHES;568710685
