voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Michaël Faraday;MICHAEL FARADAY;FARADAY;242352769
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;154492548
ALLEE;Allée des Alouettes;DES ALOUETTES;ALOUETTES;154492114,284412277,284412278
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;284058517,284058518
ALLEE;Allée des Charmes;DES CHARMES;CHARMES;154492118,202992064,284417577
ALLEE;Allée des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;280129394,284417192
ALLEE;Allée des Coquelicots;DES COQUELICOTS;COQUELICOTS;280759584
ALLEE;Allée des Cèdres;DES CEDRES;CEDRES;154492818
ALLEE;Allée des Mimosas;DES MIMOSAS;MIMOSAS;284415550,284418184
ALLEE;Allée des Pins;DES PINS;PINS;154492119
ALLEE;Allée des Platanes;DES PLATANES;PLATANES;280585067
ALLEE;Allée des Rouardes;DES ROUARDES;ROUARDES;352669798
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;154492822
ALLEE;Allée des Érables;DES ERABLES;ERABLES;154492820
ALLEE;Allée du Jarez;DU JAREZ;JAREZ;154492547
ALLEE;Allée du Square;DU SQUARE;SQUARE;170554967,170554973,280591572
AVENUE;Avenue Berthelot;BERTHELOT;MALADIERE;30605893,148750953,148750954,148750955,148750956,154975867
AVENUE;Avenue Pasteur;PASTEUR;MALADIERE;30605902,155534384,524282872
BOULEVARD;Boulevard Saint-Paul;SAINT PAUL;PAUL;155534175
BOULEVARD;Boulevard de Fonsala;DE FONSALA;FONSALA;154838473
BOULEVARD;Boulevard de Fontsala;DE FONTSALA;FONTSALA;154838474
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;281902404
CHEMIN;Chemin de la Borie;DE LA BORIE;BORIE;242349892
CHEMIN;Chemin de la Chapelle;DE LA CHAPELLE;CHAPELLE;284500491
CHEMIN;Chemin de la Maladière;DE LA MALADIERE;MALADIERE;267037581
CHEMIN;Chemin des Chataigniers;DES CHATAIGNIERS;CHATAIGNIERS;154492116
CHEMIN;Chemin des Chênes;DES CHENES;CHENES;154492541
CHEMIN;Chemin des Rouardes;DES ROUARDES;ROUARDES;352669802
CHEMIN;Chemin du Ruisseau;DU RUISSEAU;RUISSEAU;126713292,314618631,314618632
CLOS;Clos de Voron;DE VORON;VORON;270390527
COURS;Cours Marin;MARIN;PASTEUR;154975868,280533215
COURS;Cours Sainte-Hélène;SAINTE HELENE;HELENE;281161409
GRANDE RUE;Grande Rue de Saint-Julien;DE SAINT JULIEN;JULIEN;68205425
IMPASSE;Impasse Léon Nizaise;LEON NIZAISE;NIZAISE;280533657
IMPASSE;Impasse Marin;MARIN;CITES;170554977
IMPASSE;Impasse des Ardennes;DES ARDENNES;ARDENNES;154492543
IMPASSE;Impasse des Charmes;DES CHARMES;CHARMES;154492113
IMPASSE;Impasse des Côteaux;DES COTEAUX;COTEAUX;415100425
IMPASSE;Impasse des Vergers;DES VERGERS;VERGERS;415100427
IMPASSE;Impasse du Garat;DU GARAT;GARAT;322683939
;Les Cotes du Fay;LES COTES DU FAY;FAY;202995674
PLACE;Place Joseph Lanet;JOSEPH LANET;LANET;362100892
ROND POINT;Rond-Point de la Maladière;DE LA MALADIERE;MALADIERE;30605881
ROUTE;Route de Battant;DE BATTANT;BATTANT;154492115
ROUTE;Route de Cellieu;DE CELLIEU;CELLIEU;40522648
ROUTE;Route de Lyon;DE LYON;LYON;656546756
ROUTE;Route de Planèze;DE PLANEZE;PLANEZE;126713293,154492826
ROUTE;Route de l'Aérodrome;DE L AERODROME;AERODROME;126713294
ROUTE;Route des Ardennes;DES ARDENNES;ARDENNES;154492544
ROUTE;Route des Côtes;DES COTES;COTES;170554962,284416046,284416047
ROUTE;Route du Fay;DU FAY;FAY;202995679,303355923,303355924
RUE;Rue André Langard;ANDRE LANGARD;LANGARD;280533246
RUE;Rue Borel;BOREL;SQUARE;170554968
RUE;Rue Des Arcs;DES ARCS;ARCS;202995681,303355925
RUE;Rue Ferrouillat;FERROUILLAT;CHATAIGNIERS;280533216,280533247
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;170554963
RUE;Rue Louis Magnard;LOUIS MAGNARD;MAGNARD;154975872,154975873
RUE;Rue Louis Pasteur;LOUIS PASTEUR;PASTEUR;154973550
RUE;Rue Léon Nicaise;LEON NICAISE;NICAISE;280533929
RUE;Rue d'Onzion;D ONZION;ONZION;155534177,265200020
RUE;Rue de Planèze;DE PLANEZE;PLANEZE;243677267
RUE;Rue de Plat du Gier;DE PLAT DU GIER;GIER;264923566
