voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Clemenceau;CLEMENCEAU;FOLLEREAU;75260554
ALLEE;Allée Fernand Léger;FERNAND LEGER;LEGER;75260603
ALLEE;Allée Fourneyron;FOURNEYRON;LUCY;75260527
ALLEE;Allée Gauguin;GAUGUIN;CLAUDEL;160469405
ALLEE;Allée Lavoisier;LAVOISIER;EGLISE;245411449,245411451
ALLEE;Allée Louis Detrat;LOUIS DETRAT;DETRAT;275947460
ALLEE;Allée Matisse;MATISSE;CLAUDEL;160469424
ALLEE;Allée Picasso;PICASSO;CLAUDEL;160469109
ALLEE;Allée de Longiron;DE LONGIRON;LONGIRON;150794425
ALLEE;Allée de Soleymieux;DE SOLEYMIEUX;SOLEYMIEUX;75260673
ALLEE;Allée de l'Industrie;DE L INDUSTRIE;INDUSTRIE;75260686
ALLEE;Allée de l'Onzon;DE L ONZON;ONZON;75260688
ALLEE;Allée de l'Étang;DE L ETANG;ETANG;75260530,531395088
ALLEE;Allée de la Buissonnière;DE LA BUISSONNIERE;BUISSONNIERE;401947807
ALLEE;Allée de la Halle;DE LA HALLE;HALLE;150763804
ALLEE;Allée de la Liberté;DE LA LIBERTE;LIBERTE;75260636
ALLEE;Allée des Charmes;DES CHARMES;CHARMES;75260667,160470200
ALLEE;Allée des Chataîgniers;DES CHATAIGNIERS;CHATAIGNIERS;75260697
ALLEE;Allée des Cèdres;DES CEDRES;CEDRES;75260676
ALLEE;Allée des Jeux;DES JEUX;JEUX;75260641
ALLEE;Allée des Merisiers;DES MERISIERS;MERISIERS;160476348
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;401952585
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;160470132,232744977
ALLEE;Allée des Écoles;DES ECOLES;ECOLES;75260539
ALLEE;Allée des Églantines;DES EGLANTINES;EGLANTINES;160470164
ALLEE;Allée du 14 Juillet;DU 14 JUILLET;JUILLET;275948166,275951849,275952708
