voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de la Gare;DE LA GARE;GARE;241096083
AVENUE;Avenue du Grand Pont;DU GRAND PONT;PONT;241096084
AVENUE;Avenue du Stade;DU STADE;STADE;48955102,241096085
IMPASSE;Impasse des Cornadoux;DES CORNADOUX;CORNADOUX;163101105
;La Méridienne;LA MERIDIENNE;MERIDIENNE;4316661,48955082,48955083,48955092,48955093,48955096,48955097,48955110,48955112,69989351,69989381,69989388,69989390,95834008,95834018,443726275,443726276,443726277,443726278,467482832,467594303,467594309,467594313,467594314,467594315
PLACE;Place Etienne Pichat;ETIENNE PICHAT;PICHAT;367730895
PLACE;Place de l'Église;DE L EGLISE;EGLISE;241096088
PLACE;Place de la Halle;DE LA HALLE;HALLE;69989356,69989370
ROUTE;Route Impériale;IMPERIALE;PICHAT;367730897
ROUTE;Route de Frugères;DE FRUGERES;FRUGERES;69989354,69989393,95834013,160226923,241096086,410092524
ROUTE;Route de Frugères-les-Mines à Brioude;DE FRUGERES LES MINES A BRIOUDE;BRIOUDE;175325116
ROUTE;Route de Lempdes;DE LEMPDES;LEMPDES;69989397,345581827,345581830,345581831
RUE;Rue André Momège;ANDRE MOMEGE;MOMEGE;161319879
RUE;Rue Antoine Brandon;ANTOINE BRANDON;BRANDON;161319880
RUE;Rue Flandre Dunkerque;FLANDRE DUNKERQUE;DUNKERQUE;163097018
RUE;Rue Jean Bost;JEAN BOST;BOST;161319882
RUE;Rue Lafayette;LAFAYETTE;EGLISE;241096092
RUE;Rue Léonce Lagarde;LEONCE LAGARDE;LAGARDE;241096093
RUE;Rue Saint-Verny;SAINT VERNY;VERNY;241096094
RUE;Rue Traversière;TRAVERSIERE;CORNADOUX;163101106
RUE;Rue de Largelier;DE LARGELIER;LARGELIER;163101107,163101108
RUE;Rue de l'Enfer;DE L ENFER;ENFER;163101109
RUE;Rue de la Croix Saint-Géraud;DE LA CROIX SAINT GERAUD;GERAUD;161319875
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;241096095,241096096
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;163101113
RUE;Rue de la Prade;DE LA PRADE;PRADE;163101110,163101111
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;69989402
RUE;Rue de la Tourette;DE LA TOURETTE;TOURETTE;163101112
RUE;Rue des Barrys;DES BARRYS;BARRYS;163101114
RUE;Rue des Buanderies;DES BUANDERIES;BUANDERIES;163101115
RUE;Rue des Gorges d'Allagnon;DES GORGES D ALLAGNON;ALLAGNON;241096097
RUE;Rue des Martres;DES MARTRES;MARTRES;161319887
RUE;Rue des Moulins;DES MOULINS;MOULINS;163101116
RUE;Rue des Écoles;DES ECOLES;ECOLES;161319883
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;163101117
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;161319890
RUE;Rue du Béal;DU BEAL;BEAL;163101118
RUE;Rue du Champ de Vaize;DU CHAMP DE VAIZE;VAIZE;161319876
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;161319893
RUE;Rue du Docteur Raymond;DU DOCTEUR RAYMOND;RAYMOND;161319891
RUE;Rue du Pradou;DU PRADOU;PRADOU;163101119
RUE;Rue du Verger;DU VERGER;VERGER;275795933
RUE;Rue du Vieux Pont;DU VIEUX PONT;PONT;163101120
