voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse des Acacias;DES ACACIAS;ACACIAS;382871812
IMPASSE;Impasse des Genêts;DES GENETS;GENETS;382871813
IMPASSE;Impasse du Lac;DU LAC;LAC;191613841
IMPASSE;Impasse du Martin-Pêcheur;DU MARTIN PECHEUR;PECHEUR;191613842
;La Branday;LA BRANDAY;BRANDAY;525200967
;La Brosse;LA BROSSE;BROSSE;191613840
;La Rivière;LA RIVIERE;RIVIERE;523841237
;Le Breuil;LE BREUIL;BREUIL;191546502
;Le Drillay;LE DRILLAY;DRILLAY;191546495
;Le Flachou;LE FLACHOU;FLACHOU;191546497
;Le Pont;LE PONT;PONT;191549895
PLACE;Place de Retz;DE RETZ;RETZ;191613843
PLACE;Place de l’Église;DE L’EGLISE;L’EGLISE;191624351
RUE;Rue Résidence du Tenu;RESIDENCE DU TENU;TENU;191546527
RUE;Rue de Nantes;DE NANTES;NANTES;158886457,158886462,158886480,186749639,190970628,239966177,285046501,453297008,639343112
RUE;Rue de l'Atlantique;DE L ATLANTIQUE;ATLANTIQUE;191613845
RUE;Rue de l'Herbretière;DE L HERBRETIERE;HERBRETIERE;191546539
RUE;Rue de l'Ormeau;DE L ORMEAU;ORMEAU;382871819
RUE;Rue de la Brosse;DE LA BROSSE;BROSSE;522635013
RUE;Rue de la Charrie;DE LA CHARRIE;CHARRIE;304404858,304404859
RUE;Rue de la Forge;DE LA FORGE;FORGE;191613846
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;158886473,191613847,523809044,523809046
RUE;Rue de la Masure;DE LA MASURE;MASURE;191539546
RUE;Rue de la Touche;DE LA TOUCHE;TOUCHE;191613848
RUE;Rue de la Tremblée;DE LA TREMBLEE;TREMBLEE;191546560
RUE;Rue des Aulnes;DES AULNES;AULNES;191613849
RUE;Rue des Bel-Air;DES BEL AIR;AIR;191613850
RUE;Rue des Charmes;DES CHARMES;CHARMES;191610077
RUE;Rue des Chênes;DES CHENES;CHENES;191613851
RUE;Rue des Filées;DES FILEES;FILEES;191613852
RUE;Rue des Fosses;DES FOSSES;FOSSES;523809053,523809055,523809057,523809061,523809063,523809065
RUE;Rue des Frênes;DES FRENES;FRENES;191610078,191610079
RUE;Rue des Grandes Vignes;DES GRANDES VIGNES;VIGNES;191610080
RUE;Rue des Magnolias;DES MAGNOLIAS;MAGNOLIAS;191613854,191624353
RUE;Rue des Marronniers;DES MARRONNIERS;MARRONNIERS;382871823
RUE;Rue des Meuniers;DES MEUNIERS;MEUNIERS;389894891
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;191613855,523314769
RUE;Rue des Saules;DES SAULES;SAULES;191613856
RUE;Rue des Sports;DES SPORTS;SPORTS;191613857
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;382871825
RUE;Rue des Tronfaviers;DES TRONFAVIERS;TRONFAVIERS;191613844,523314768
RUE;Rue du Grand Moulin;DU GRAND MOULIN;MOULIN;389894890
RUE;Rue du Jardin;DU JARDIN;JARDIN;191610081
RUE;Rue du Lac;DU LAC;LAC;191613858
RUE;Rue du Moulin;DU MOULIN;MOULIN;191549901
RUE;Rue du Moulin de la Chollerie;DU MOULIN DE LA CHOLLERIE;CHOLLERIE;321711416
RUE;Rue du Porteau;DU PORTEAU;PORTEAU;191613859,191624352
RUE;Rue du Tenu;DU TENU;TENU;304404860,522635016
;Sainte-Marie;SAINTE MARIE;MARIE;191546559
;Sainte-Thérèse;SAINTE THERESE;THERESE;191549905
