voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de l'Ecobu;DE L ECOBU;ECOBU;226753147
;CR de Villouet à Châteaufort;CR DE VILLOUET A CHATEAUFORT;CHATEAUFORT;330812712,544779673
CHEMIN RURAL;Chemin Rural de la Margatière à Candé;DE LA MARGATIERE A CANDE;CANDE;386665206
CHEMIN;Chemin de Saint-Hubert au Moulin-Poirier;DE SAINT HUBERT AU MOULIN POIRIER;POIRIER;299871084,381759025,381759026
CHEMIN;Chemin de l'Enfer;DE L ENFER;ENFER;226753131
CHEMIN;Chemin de la Bouriquais;DE LA BOURIQUAIS;BOURIQUAIS;269991003
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;336391605
CHEMIN;Chemin du Prateau;DU PRATEAU;PRATEAU;226753157
IMPASSE;Impasse des Lys;DES LYS;LYS;549184355
IMPASSE;Impasse des Romarins;DES ROMARINS;ROMARINS;226753162
PLACE;Place des Bruyères;DES BRUYERES;BRUYERES;336391623,336391624
PLACE;Place du Chêne Vert;DU CHENE VERT;VERT;226753125,336391606
RUE;Rue Marie Lardeux;MARIE LARDEUX;LARDEUX;131676774
RUE;Rue Mélanie Chalopin;MELANIE CHALOPIN;CHALOPIN;226753155
RUE;Rue Roc en Paille;ROC EN PAILLE;PAILLE;226753132
RUE;Rue Saint-Maurice;SAINT MAURICE;MAURICE;336391609
RUE;Rue de l'Echalier;DE L ECHALIER;ECHALIER;226753165
RUE;Rue de la Gare;DE LA GARE;GARE;131680689
RUE;Rue des Lilas;DES LILAS;LILAS;226753133,226753136
RUE;Rue des Margots;DES MARGOTS;MARGOTS;226753141,336391617,336391619
RUE;Rue du Docteur Thuau;DU DOCTEUR THUAU;THUAU;226753150
RUE;Rue du Maréchal de Bourmont;DU MARECHAL DE BOURMONT;BOURMONT;174274676
RUE;Rue du Mont-Friloux;DU MONT FRILOUX;FRILOUX;336391602
RUE;Rue du Moulin Foulon;DU MOULIN FOULON;FOULON;99024103,226753118,226753119
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;226753127
RUE;Rue du Recteur Morin;DU RECTEUR MORIN;MORIN;226753126
SQUARE;Square du Vallet;DU VALLET;VALLET;226753152
VOIE COMMUNALE;Voie Communale de Grison;DE GRISON;GRISON;371572668
VOIE COMMUNALE;Voie Communale de Rochementru;DE ROCHEMENTRU;ROCHEMENTRU;480035227
VOIE COMMUNALE;Voie Communale de Rochementru à Freigné;DE ROCHEMENTRU A FREIGNE;FREIGNE;480035224
VOIE COMMUNALE;Voie Communale des Basses Places;DES BASSES PLACES;PLACES;252728845
VOIE COMMUNALE;Voie Communale du Pin à Candé;DU PIN A CANDE;CANDE;237589589
