voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Espieteuses;DES ESPIETEUSES;ESPIETEUSES;495920360
AVENUE;Avenue de Villefranche;DE VILLEFRANCHE;VILLEFRANCHE;110763937
CHEMIN;Chemin de Saint-Saturnin;DE SAINT SATURNIN;SATURNIN;355182843
CHEMIN;Chemin de la Jousse;DE LA JOUSSE;JOUSSE;114422765
CHEMIN;Chemin des Carrats;DES CARRATS;CARRATS;122565360
CHEMIN;Chemin des Essons;DES ESSONS;ESSONS;122586129
CHEMIN;Chemin des Oiseaux;DES OISEAUX;OISEAUX;122565364,217739252,217739253
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;114424759,122590613
IMPASSE;Impasse Louis Bouleau;LOUIS BOULEAU;BOULEAU;278474945
IMPASSE;Impasse des Presles;DES PRESLES;PRESLES;320730836
IMPASSE;Impasse du Ruisseau;DU RUISSEAU;RUISSEAU;114424007,385882455
;Les Petits Moreaux;LES PETITS MOREAUX;MOREAUX;114715577
;Pierron aux Chariots;PIERRON AUX CHARIOTS;CHARIOTS;122516286
ROUTE;Route de Brigny;DE BRIGNY;BRIGNY;320730837
ROUTE;Route de Joigny;DE JOIGNY;JOIGNY;122516291
ROUTE;Route de Villejalot;DE VILLEJALOT;VILLEJALOT;113974869,122516287,122516288
ROUTE;Route des Fontenouilles;DES FONTENOUILLES;FONTENOUILLES;122565374
ROUTE;Route des Giraults;DES GIRAULTS;GIRAULTS;122565376
ROUTE;Route des Gremets;DES GREMETS;GREMETS;114714774
RUE;Rue Christian Fouliol;CHRISTIAN FOULIOL;FOULIOL;122592917
RUE;Rue Roger Piron;ROGER PIRON;PIRON;114423648
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;122516289,320730838,320730840,320730842,320730845,320730846,320730847
RUE;Rue de l'Avenir;DE L AVENIR;AVENIR;114422772
RUE;Rue de l'Initiative;DE L INITIATIVE;INITIATIVE;114422767
RUE;Rue de l'Égalité;DE L EGALITE;EGALITE;111150671,530343526,530343527
RUE;Rue de l'Église;DE L EGLISE;EGLISE;114424474,122516290
RUE;Rue de la Charité;DE LA CHARITE;CHARITE;114422770
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;113977447,114424472
RUE;Rue de la Gare;DE LA GARE;GARE;122590611
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;111150656
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;114425355
RUE;Rue des Chevreuils;DES CHEVREUILS;CHEVREUILS;114424473
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;385882457
RUE;Rue des Entrepreneurs;DES ENTREPRENEURS;ENTREPRENEURS;114422771
RUE;Rue des Forges;DES FORGES;FORGES;111150669
RUE;Rue des Jonquilles;DES JONQUILLES;JONQUILLES;114425353,495920358
RUE;Rue des Lilas;DES LILAS;LILAS;114423810
RUE;Rue des Lys;DES LYS;LYS;320730849
RUE;Rue des Mélèzes;DES MELEZES;MELEZES;385882456
RUE;Rue des Mésanges;DES MESANGES;MESANGES;320730850
RUE;Rue des Presles;DES PRESLES;PRESLES;122565378
RUE;Rue des Roses;DES ROSES;ROSES;114423809
RUE;Rue du Gué Saint-Jean;DU GUE SAINT JEAN;JEAN;114421509,227841193,227841194
RUE;Rue du Gâtinais;DU GATINAIS;GATINAIS;122565380,278474946,278474947,320730851,320730852,320730853,320730854,320730855
RUE;Rue du Marchais Sassin;DU MARCHAIS SASSIN;SASSIN;114424005
RUE;Rue du Pressoir;DU PRESSOIR;PRESSOIR;114423423
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;114423811,388488579,530343524,530343525
