voie;name;name_norm;last_word_norm;ways
PLACE;Place de l'Église;DE L EGLISE;EGLISE;634886009
ROUTE;Route Forestière de Lorris à Gien;FORESTIERE DE LORRIS A GIEN;GIEN;201474852
ROUTE;Route de Saint-Benoit;DE SAINT BENOIT;BENOIT;203212757
ROUTE;Route de la Beauce;DE LA BEAUCE;BEAUCE;202804637
ROUTE;Route de la Fontaine Gandejan;DE LA FONTAINE GANDEJAN;GANDEJAN;202810298
ROUTE;Route de la Fontaine aux Loups;DE LA FONTAINE AUX LOUPS;LOUPS;202812986
ROUTE;Route de la Rue Creuse;DE LA RUE CREUSE;CREUSE;202810505
ROUTE;Route du Pré Salon;DU PRE SALON;SALON;202804636
RUE;Rue de Langesse;DE LANGESSE;LANGESSE;77452046
RUE;Rue de Varennes;DE VARENNES;VARENNES;334870739
RUE;Rue du Bouloy;DU BOULOY;BOULOY;481634666
RUE;Rue du Solin;DU SOLIN;SOLIN;112941426
RUE;Rue du Vieux Château;DU VIEUX CHATEAU;CHATEAU;481634669
