voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Laveyssière;LAVEYSSIERE;SOUILLAC;4269095
AVENUE;Avenue de Nassogne;DE NASSOGNE;NASSOGNE;72611311
AVENUE;Avenue de Souillac;DE SOUILLAC;SOUILLAC;4269093,164968548,361598455,543569759,543569761,661023181,661023183,661023184,661023185,661023186,661023189,661023190
AVENUE;Avenue de Turenne;DE TURENNE;TURENNE;314168444
AVENUE;Avenue de la Dordogne;DE LA DORDOGNE;DORDOGNE;43287486,543569763
AVENUE;Avenue du Général De Gaulle;DU GENERAL DE GAULLE;GAULLE;255013992,433528624
AVENUE;Avenue du Saint-Esprit;DU SAINT ESPRIT;ESPRIT;92512345
BOULEVARD;Boulevard du Capitani;DU CAPITANI;CAPITANI;47057345,361177038,661023188
CHEMIN;Chemin Botanique;BOTANIQUE;VIERGE;234087236,234087237,234087238
CHEMIN;Chemin de la Callope;DE LA CALLOPE;CALLOPE;300302312
CHEMIN;Chemin de la Carrette;DE LA CARRETTE;CARRETTE;164968602,164968608
CHEMIN;Chemin de la Condamine;DE LA CONDAMINE;CONDAMINE;164968600,164968626,164968686
CHEMIN;Chemin de la Serre;DE LA SERRE;SERRE;164968607
CHEMIN;Chemin de la Vierge;DE LA VIERGE;VIERGE;164968696
CHEMIN;Chemin de sous les Murs;DE SOUS LES MURS;MURS;255017318
CHEMIN;Chemin des Dames;DES DAMES;DAMES;164968619
CHEMIN;Chemin des Vaches;DES VACHES;VACHES;367131500
CHEMIN;Chemin du Cap de Ville;DU CAP DE VILLE;VILLE;164968609
CHEMIN;Chemin du Carbon Blanc;DU CARBON BLANC;BLANC;164968657
CHEMIN;Chemin du Tilliry;DU TILLIRY;TILLIRY;300304110
CHEMIN;Chemin du Tivoli;DU TIVOLI;TIVOLI;164968620
;Copeyre;COPEYRE;VIERGE;166584027
COUR;Cour du Palais de la Raymondie;DU PALAIS DE LA RAYMONDIE;RAYMONDIE;443561993
IMPASSE;Impasse des Argentiers;DES ARGENTIERS;ARGENTIERS;300288160
IMPASSE;Impasse des Cordeliers;DES CORDELIERS;CORDELIERS;300302314
IMPASSE;Impasse des Mirepoisses;DES MIREPOISSES;MIREPOISSES;164968579
;La Croix Rempart;LA CROIX REMPART;REMPART;255014910
LAC;Lac Saulet;SAULET;VIERGE;200669562
;Les Combelles;LES COMBELLES;COMBELLES;354001065,354001066
PASSAGE;Passage Saint-Maur;SAINT MAUR;MAUR;360705380
PASSAGE;Passage du Sel;DU SEL;SEL;300294339
PASSAGE;Passage du Sonneur;DU SONNEUR;SONNEUR;300298970
PLACE;Place Henri Ramet;HENRI RAMET;RAMET;300065408
PLACE;Place Mathieu Meteye;MATHIEU METEYE;METEYE;164968628
PLACE;Place de la Bride;DE LA BRIDE;BRIDE;290926504
PLACE;Place de la Rode;DE LA RODE;RODE;302791993
PLACE;Place du Four Bas;DU FOUR BAS;BAS;300294343
PONT;Pont de Gluges;DE GLUGES;GLUGES;47057338
;Puy Lombry;PUY LOMBRY;LOMBRY;273215476,300304109
ROUTE;Route de Brive;DE BRIVE;BRIVE;47055749,361598457,361598458,361598459
ROUTE;Route de Turenne;DE TURENNE;TURENNE;433528674,433528677,433553151,433553152,433553154
RUE;Rue Albert Lachièze;ALBERT LACHIEZE;LACHIEZE;43288466,290931812
RUE;Rue Courte;COURTE;RAYMONDIE;592126453
RUE;Rue Droite;DROITE;VILLE;164968615,302791994
RUE;Rue Duguesclin;DUGUESCLIN;RAMET;300065409
RUE;Rue François Grandou;FRANCOIS GRANDOU;GRANDOU;164968617
RUE;Rue Henri Court Mantel;HENRI COURT MANTEL;MANTEL;300065407
RUE;Rue Jean Gourdal;JEAN GOURDAL;GOURDAL;300298973
RUE;Rue Mercière;MERCIERE;LYS;300065411,300065412
RUE;Rue Montpezat;MONTPEZAT;CROIX;164968695
RUE;Rue Neuve;NEUVE;LYS;300286547
RUE;Rue Peyre Pélicier;PEYRE PELICIER;PELICIER;300294341
RUE;Rue Sainte-Anne;SAINTE ANNE;ANNE;290931810
RUE;Rue Sans Lys;SANS LYS;LYS;300065410
RUE;Rue Senlis;SENLIS;TILLIRY;300382847
RUE;Rue Serpente;SERPENTE;ESPOUJOLS;290931807
RUE;Rue Tournemire;TOURNEMIRE;LYS;300065413
RUE;Rue Traversière;TRAVERSIERE;SOUILLAC;164968656
RUE;Rue de Belle Croix;DE BELLE CROIX;CROIX;164968694
RUE;Rue de l'Église;DE L EGLISE;EGLISE;164968601
RUE;Rue de l'Équerre;DE L EQUERRE;EQUERRE;290194855
RUE;Rue de la Bride;DE LA BRIDE;BRIDE;300298971
RUE;Rue de la Conserverie;DE LA CONSERVERIE;CONSERVERIE;300298972
RUE;Rue de la Porte Penche;DE LA PORTE PENCHE;PENCHE;290927974
RUE;Rue de la Remise;DE LA REMISE;REMISE;300288161
RUE;Rue des Argentiers;DES ARGENTIERS;ARGENTIERS;300288162,300302311
RUE;Rue des Espoujols;DES ESPOUJOLS;ESPOUJOLS;290927977,433528681
RUE;Rue des Foins;DES FOINS;FOINS;360705381
RUE;Rue des Jardins;DES JARDINS;JARDINS;164968623
RUE;Rue des Mirepoises;DES MIREPOISES;MIREPOISES;290926499
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;92512349
RUE;Rue du 19 Mars;DU 19 MARS;MARS;92512346
RUE;Rue du 8 Mai;DU 8 MAI;MAI;164968681
RUE;Rue du Barri de Brive;DU BARRI DE BRIVE;BRIVE;164968582
RUE;Rue du Barri de Souillac;DU BARRI DE SOUILLAC;SOUILLAC;164968640
