voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Champagne;DE CHAMPAGNE;CHAMPAGNE;253955785
ALLEE;Allée de Tauziet;DE TAUZIET;TAUZIET;335047887
ALLEE;Allée des Bécots;DES BECOTS;BECOTS;253950698,253950699
AVENUE;Avenue Belle Colline;BELLE COLLINE;COLLINE;219935284
CHEMIN;Chemin De Michelet;DE MICHELET;MICHELET;154318725
CHEMIN;Chemin Mole Daspe;MOLE DASPE;DASPE;219935292
CHEMIN;Chemin de Doublet;DE DOUBLET;DOUBLET;176221784
CHEMIN;Chemin de Jean Bart;DE JEAN BART;BART;242906916
CHEMIN;Chemin de Jolibert;DE JOLIBERT;JOLIBERT;253939330
CHEMIN;Chemin de Lézian;DE LEZIAN;LEZIAN;219935288
;Grand Houstaud;GRAND HOUSTAUD;HOUSTAUD;253955786
IMPASSE;Impasse Plombard;PLOMBARD;LAVOIR;524231594
IMPASSE;Impasse de Laubaney;DE LAUBANEY;LAUBANEY;253955788
IMPASSE;Impasse des Charmilles;DES CHARMILLES;CHARMILLES;219935307
IMPASSE;Impasse des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;253943211,253943212
IMPASSE;Impasse des Cèdres Blancs;DES CEDRES BLANCS;BLANCS;154317461
IMPASSE;Impasse des Cèdres Bleus;DES CEDRES BLEUS;BLEUS;253945351
IMPASSE;Impasse des Cèdres Dorés;DES CEDRES DORES;DORES;154317464,253943216
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;524231593
PLACE;Place des Bécots;DES BECOTS;BECOTS;253951924
ROUTE;Route de Beauvallon;DE BEAUVALLON;BEAUVALLON;26370388
ROUTE;Route de la Cerisière;DE LA CERISIERE;CERISIERE;154318360
ROUTE;Route du Lac;DU LAC;LAC;30668929
ROUTE;Route du Levant du Bourg;DU LEVANT DU BOURG;BOURG;219935287
ROUTE;Route du Stade;DU STADE;STADE;39333172
RUE;Rue Grand Houstaud;GRAND HOUSTAUD;HOUSTAUD;219935306
RUE;Rue Maxime Boisvert;MAXIME BOISVERT;BOISVERT;219935289
RUE;Rue Michel Montaigne;MICHEL MONTAIGNE;MONTAIGNE;402791427
RUE;Rue de Sabatey;DE SABATEY;SABATEY;253941820
RUE;Rue de l'École;DE L ECOLE;ECOLE;466196970
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;419780606
RUE;Rue des Pommiers;DES POMMIERS;POMMIERS;253943213
RUE;Rue du Chêne Vert;DU CHENE VERT;VERT;30664031
RUE;Rue du Moulin à Vent;DU MOULIN A VENT;VENT;253955790
