voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Calvaire;DU CALVAIRE;CALVAIRE;128896574
PLACE;Place André Grabiou;ANDRE GRABIOU;GRABIOU;128897260
PLACE;Place de l'Église;DE L EGLISE;EGLISE;128896560
PLACE;Place du Centre;DU CENTRE;CENTRE;186297654
PLACE;Place du Périgord;DU PERIGORD;PERIGORD;128897261
RUE;Rue Camille Pons;CAMILLE PONS;PONS;128896562
RUE;Rue Georges Saphy;GEORGES SAPHY;SAPHY;128897262
RUE;Rue Jacques Aussel;JACQUES AUSSEL;AUSSEL;128896563
RUE;Rue Jean Mermoz;JEAN MERMOZ;MERMOZ;128896580
RUE;Rue de la Plaine;DE LA PLAINE;PLAINE;128896564
RUE;Rue des Pyrénées;DES PYRENEES;PYRENEES;128896579
RUE;Rue Émile Debrel;EMILE DEBREL;DEBREL;128896565
